strain,"1,2-propanediol","2,3-butanediol",HMDA,putrescine,glutarate,adipate,hexanoate,octanoate,coumarate,isobutyrate,butanol,NaCl,M9,global,comp
12PD1-10,0.3511506711497228,0.3468048712374752,-0.2256116700119205,-0.27870366985538,0.0727423152163806,0.05333068654483777,0.13796371084436695,-0.255671903451689,,0.07042262261983841,-0.4707254476365199,-0.11699414450653918,0.18664659855821772,-0.04716230348499245,12PD
12PD1-2,0.4230135857116728,0.39236783119761093,-0.2256116700119205,-0.27870366985538,0.0363864902027459,0.08204938962355184,0.2158362726640656,-0.03919135922030067,,0.0817544198496235,0.31577877583147845,-0.11699414450653918,0.2497281405595134,0.10941308066061874,12PD
12PD1-4,0.3847093972537287,0.359651544805444,-0.2256116700119205,-0.27870366985538,0.07200734225191391,0.04836926037308953,0.2940518703557172,-0.255671903451689,,-0.3181406486173551,-0.4707254476365199,-0.11699414450653918,0.2730734010719753,-0.0925843035302952,12PD
12PD2-5,0.3968722639892149,0.35698085875730207,-0.2256116700119205,-0.27870366985538,0.04370665554464406,0.148187437291613,-0.2205427163200705,-0.255671903451689,,-0.20751585075134207,-0.4707254476365199,-0.11699414450653918,0.20644226061855542,-0.11300493883509433,12PD
12PD2-8,0.29830622341779445,0.3370892977299878,-0.2256116700119205,-0.27870366985538,0.028266394193023,0.1042017264705626,0.1097151359427001,-0.255671903451689,,-0.3181406486173551,-0.4707254476365199,-0.11699414450653918,0.05959141793466719,-0.11176279762348007,12PD
12PD2-9,0.3158157717674908,0.34898405804973515,-0.2256116700119205,-0.27870366985538,0.03388377264812003,0.03899215779032545,0.27653494326997624,-0.05355237640545354,,0.028335346775274554,-0.4707254476365199,-0.11699414450653918,0.04068081638394446,-0.02957169302786144,12PD
12PD3-10,0.3072237262912199,0.24196390277960877,-0.2256116700119205,-0.27870366985538,0.06245260010483993,0.14078727560163803,0.10998655573960021,-0.255671903451689,,0.03238935684867713,-0.4707254476365199,-0.11699414450653918,0.014435317604475533,-0.06584651885049417,12PD
12PD3-7,0.4141917408875532,0.3611959077385572,-0.2256116700119205,-0.27870366985538,0.031015627298663067,-0.187738611142839,0.21343682051440863,0.25796531259197547,,0.1459851400298587,-0.4707254476365199,-0.11699414450653918,0.10837937454318193,-0.006467148584017328,12PD
12PD3-8,0.31312114911021494,0.32988978379487993,-0.2256116700119205,-0.27870366985538,0.0768109813160433,0.0944549030389722,0.13119946551182743,-0.255671903451689,,0.007504787349703433,-0.4707254476365199,-0.11699414450653918,0.04810494489452683,-0.056853711957643056,12PD
12PD4-6,0.26854915292913356,0.2412335101453038,-0.2256116700119205,-0.27870366985538,-0.002123753009612578,-0.007203972815895301,0.17475284942030503,0.0892186213568721,,-0.3181406486173551,-0.4707254476365199,-0.11699414450653918,0.10503152998148259,-0.10445326482898523,12PD
12PD4-8,0.2885473282738593,0.2601755761516405,-0.0855445624638408,-0.09317603308120208,0.034051459610805634,0.05865653545392127,0.1072177715614982,0.049756483802151065,,0.14763886443082314,-0.2655345241100354,0.0367773836663213,0.04288303599433693,0.03238875930325955,12PD
12PD4-9,0.2786417612256913,0.2864076960157147,0.0796917853775673,-0.10447872204905263,0.04003837938575187,0.06589083930301658,0.12923119500946723,-0.255671903451689,,0.08811097171048243,-0.4707254476365199,0.044335558179509967,0.1277245721270397,-0.0146226468997503,12PD
12PD5-1,0.21417387494755713,0.33050453838633226,-0.2256116700119205,-0.27870366985538,-0.125065206012288,-0.09364496280950052,0.2259061991555799,0.2066332059236872,,-0.22525757075911165,-0.4707254476365199,-0.11699414450653918,0.0386461367152224,-0.08021716497577162,12PD
12PD5-3,0.4282621939779907,0.345146137763626,-0.2256116700119205,-0.27870366985538,-0.13780859813716814,0.09127812547392965,0.1262068079097775,-0.255671903451689,,-0.3181406486173551,-0.4707254476365199,-0.11699414450653918,0.15829289992238327,-0.12253756305042161,12PD
12PD5-9,0.25945320430371316,0.29413698457185816,-0.2256116700119205,-0.27870366985538,-0.1213731411402486,0.10722658164355899,0.19647002018452195,0.3330736630524409,,0.09075185589661394,-0.4707254476365199,-0.11699414450653918,0.13743244420136183,-0.010591540662923076,12PD
12PD6-3,0.19304950087732564,0.18093305839205795,-0.1531074280861139,-0.27870366985538,-0.03476278320160105,0.03350247875872113,0.1037851147181945,-0.19196770256216303,,-0.3181406486173551,-0.4707254476365199,-0.0775318794135514,0.06662790763602093,-0.13724454245925005,12PD
12PD6-6,0.2450703559037641,0.1913472124511724,-0.2256116700119205,-0.1829570206827078,-0.014995218003519566,0.020763411937343965,0.1220739443689129,-0.008541942443526731,,-0.3181406486173551,-0.4707254476365199,0.021262634816116264,0.07684168465448676,-0.11407972508237359,12PD
12PD6-9,0.19193772306569915,0.1917107589429938,-0.0011822271566304492,-0.27870366985538,-0.034431136718721965,0.009569718279381266,0.0798169418231518,-0.08913567371182667,,-0.3181406486173551,-0.3705117645347515,-0.010883744189310268,0.02058455924554113,-0.10160617116030043,12PD
12PD7-5,0.2985787636873118,0.31912110155442125,-0.02351712174964073,-0.12396052428675856,0.06361083056744855,0.10048916154142486,0.12485113481300752,0.047400849617287,,-0.15856161139585923,-0.2980242046953984,0.09682451482466296,0.050930291662032605,-0.0003440278917151469,12PD
12PD7-6,0.3854583544583744,0.4035140986072532,0.041385462533678,-0.27870366985538,-0.0068287778541657,0.0606873061459788,-0.42727044923250074,-0.255671903451689,,-0.0827093890014316,-0.4707254476365199,0.04483490773235295,-0.0134752004799649,-0.09091388052362549,12PD
12PD7-7,0.25064571007451186,0.2881922921138376,0.02317218041990653,-0.2738189817884349,-0.05499305989673845,-0.13771527132349368,0.0105454686539811,-0.1771551810329356,,-0.04041103925827567,-0.4707254476365199,0.020731058337558634,0.025622820347155503,-0.08271071508116327,12PD
12PD8-10,0.31767209904641674,0.29473970571859426,-0.2256116700119205,-0.27870366985538,0.13484993194598294,0.13986828423193817,0.16925616077208794,0.23659199994823923,,0.1009685033447516,-0.4707254476365199,0.0434399520572851,0.24417964535554917,0.007877102973074994,12PD
12PD8-6,0.4143460102629665,0.314931875079566,-0.2256116700119205,-0.27870366985538,-0.10783510951509763,0.13670329557508318,0.1718694121909533,-0.255671903451689,,-0.3181406486173551,-0.30635140367900476,-0.11699414450653918,0.1383169595376856,-0.09159081758165491,12PD
12PD8-7,0.3395422085503889,0.3025198801889983,-0.17704815885310596,-0.27870366985538,0.07452617585059836,0.0737364120830654,-0.2196837847627718,0.1477466213663844,,-0.1912052199462689,-0.4707254476365199,0.0152041186332192,0.13867200608696933,-0.08343447725525639,12PD
23BD1-6,0.14652891960793102,0.1545149222643739,-0.0806974815231022,-0.03736768539117847,-0.004655078392332033,0.0319200572871393,0.02544195476315057,0.13559788325133354,-0.3141461115127855,-0.2520203035084143,-0.024668424887932732,0.019139867113669,-0.05098259815039557,-0.057314298949607614,23BD
23BD1-8,0.12317108830031753,0.1165576778342543,-0.09089925607827816,-0.05773270105690591,-0.0136791771343093,0.009271180257182167,0.022960440976981997,0.19061936726007186,0.0637993885506267,-0.3395206709725991,0.01570229849819697,0.008639739695596801,-0.023853379677613737,-0.016170196996735685,23BD
