,"1,2-Pentanediol","1,3-Propanediol","1,4-Butanediol","1,5-Pentanediol",Ethanolamine
23BD1-6,0.335744931,0.638632512,0.501054239,0.482354153,0.252400543
23BD1-8,0.341399306,0.585713801,0.439920519,0.44292941,0.257180761
23BD1-9,0.31371582,0.577702183,0.470584495,0.450052943,0.265386883
23BD2-4,0.33753236,0.499525902,0.414427525,0.373014457,0.106738829
23BD2-5,0.357007582,0.519583115,0.436994326,0.384447745,0.118769055
23BD2-7,0.367079568,0.529498192,0.417533297,0.376201653,0.111290036
23BD2-9,0.37699416,0.513922408,0.426822393,0.385880427,0.136118802
23BD3-3,0.421535303,0.647429445,0.565464955,0.399640524,0.105223724
23BD3-4,0.36113347,0.588691728,0.360711171,0.369218942,0.080872876
23BD3-9,0.409275059,0.681233044,0.522852643,0.334912021,0.088184398
23BD4-3,0.417343315,0.645587222,0.509801504,0.46852318,0.243039178
23BD4-4,0.45900695,0.643856031,0.507538183,0.456206933,0.185389844
23BD4-7,0.443020922,0.625525181,0.477002635,0.429854074,0.125348693
23BD5-1,0.339588242,0.651491652,0.474305526,0.458992715,0.220915197
23BD5-10,0.348331937,0.66600233,0.523941983,0.485281347,0.229499603
23BD5-7,0.366310965,0.65791062,0.498527689,0.458405564,0.231255206
23BD6-1,0.4434929,0.655972738,0.514927682,0.475442474,0.200379991
23BD7-10,0.45312824,0.609212449,0.473398074,0.471407328,0.170683673
23BD7-4,0.461716437,0.617080031,0.481225277,0.472652032,0.153711542
23BD7-5,0.535012198,0.62046735,0.502968918,0.482690101,0.189762173
23BD7-7,0.460658507,0.629185614,0.496554229,0.464156849,0.149873884
23BD8-2,0.224914034,0.713709605,0.46991099,0.45871608,0.223237013
23BD8-5,0.493194606,0.62450225,0.434126497,0.397307433,0.171861229
23BD8-7,0.485608969,0.622586401,0.415483443,0.375943694,0.237052924
MG1655,0.365927155,0.395155751,0.192449296,0.18928127,0.281313968
