,Propionate,Butyrate,Valerate,hexanoate,Decanoate
MG1655,0.676,0.154,0.191,0.288,0.446
OCTA1-3,0.81,0.198,0,0.274,0.501
OCTA1-5,0.764,0.252,0,0.397,0.773
OCTA1-9,0.76,0,0,0.408,0.754
OCTA2-4,0.33,0.198,0.193,0.368,0.678
OCTA2-9,0.616,0.173,0.169,0.349,0.652
OCTA2-10,0.619,0.01,0,0.351,0.479
OCTA2-14,0.641,0.013,0,0.408,0.31
OCTA2-16,0.623,0.014,0.086,0.408,0.309
OCTA4-5,0.503,0,0,0.438,0.125
OCTA4-9,0.489,0,0,0.473,0.182
OCTA4-10,0.524,0,0,0.395,0.382
OCTA4-13,0.787,0.049,0.496,0.438,0.612
OCTA5-4,0.622,0.126,0.206,0.333,0.602
OCTA5-8,0.671,0.115,0.217,0.36,0.633
OCTA5-9,0.651,0.157,0.232,0.341,0.659
OCTA6-5,0.69,0,0,0.414,0.618
OCTA6-6,0.402,0,0.158,0.382,0.606
OCTA6-7,0.713,0,0,0.416,0.622
OCTA7-2,0.785,0.375,0.191,0.456,0.732
OCTA7-9,0.767,0.064,0.198,0.435,0.726
OCTA7-10,0.832,0.121,0.217,0.442,0.777
OCTA8-5,0.49,0.161,0.215,0.254,0.627
OCTA8-7,0.429,0.146,0.204,0.259,0.662
OCTA8-10,0.456,0.161,0.209,0.266,0.615
