,2-Methylbutyrate,2-Methylhexanoate,4-Methylvalerate,Butyrate,Isovalerate,Valerate
IBUA1-5,0.302394644,0.255430434,0.383386932,0.084759938,0.384491472,0
IBUA1-7,0.27319909,0.244730724,0.328215491,0.230159864,0.314778186,0.205533264
IBUA1-9,0.240498534,0.209478075,0.316691614,0.099674363,0.325666617,0.139748424
IBUA2-1,0.35389762,0.307968959,0.310567957,0,0.351583051,0.144302483
IBUA2-6,0.137029191,0.205514786,0.381194408,0,0.31470301,0
IBUA2-9,0.441669958,0.286454384,0.311714341,0.084181833,0.360540989,0.219462399
IBUA3-10,0.34476805,0.262488041,0.301786962,0.265361412,0.279008591,0.319278596
IBUA3-2,0.333644777,0.230051043,0.412972375,0.243898829,0.378662317,0.182669793
IBUA3-4,0.338289864,0.359430738,0.487647507,0.342864977,0.41291371,0.248175857
IBUA4-1,0.320870552,0.32441787,0.392440471,0.261206105,0.315484763,0.260593878
IBUA4-8,0.361659824,0.456540882,0.431127993,0.044054218,0.372562358,0.253344422
IBUA4-9,0.317536516,0.270703218,0.064755014,0.274538052,0.334210045,0.280235172
IBUA5-2,0.354692924,0.351690256,0.423740187,0.318725206,0.380348006,0.36726686
IBUA5-5,0.339965841,0.350588169,0.388088784,0.311165581,0.386863339,0.336684009
IBUA5-6,0.34791645,0.185583513,0.415203874,0.294513904,0.392125849,0.32529093
IBUA6-10,0,0.153416536,0.454968965,0,0.390337821,0
IBUA6-7,0.303287716,0.417909157,0.417572371,0.335179675,0.389817431,0.347977359
IBUA6-9,0,0.230221697,0.383909074,0,0.350946768,0
IBUA7-6,0.310184545,0.152359639,0.332314525,0.254818972,0.310238266,0
IBUA7-7,0.291277644,0.201965106,0.307074094,0.30370752,0.322295092,0
IBUA7-9,0.334005409,0.188736743,0.390768165,0.293096473,0.315522563,0
IBUA8-10,0.306672335,0.268500368,0.429106674,0.313816331,0.423688245,0.13092454
IBUA8-3,0.302356441,0.301014444,0.43466861,0.336997878,0.412037315,0.36283847
IBUA8-4,0.308196106,0.296438506,0.423492813,0.344534258,0.410674052,0.291447861
MG1655,0.248187597,0.241272876,0.289819401,0.17541441,0.247211933,0.196706671
