,"1,3-Diaminopropane","1,5-Diaminopantene",Citrulline,Ethylenediamine,Ornithine,Spermidine
HMDA1-10,0.210468078,0.364898724,0.60144416,0.339047349,0.763770374,0.242956981
HMDA1-6,0.11946087,0.426450619,0.889835442,0.345711638,0.799460278,0.25962363
HMDA1-8,0.054040981,0.274173339,0.594943413,0.305690024,0.717080086,0.168170729
HMDA2-1,0.075877033,0.406141817,0.445486086,0.224345673,0.724672776,0.081752117
HMDA2-8,0.072628707,0.417761114,0.51597415,0.164561872,0.760074463,0.073003654
HMDA2-9,0.078799815,0.422681573,0.506645943,0.211508044,0.704049431,0.057092479
HMDA3-4,0.106103308,0.520975397,0.636595496,0.308015296,0.911073224,0.358604027
HMDA3-5,0,0.532031633,0.546988252,0.319281953,0.834912574,0.392633203
HMDA3-6,0.083084953,0.523952052,0.654693441,0.276247071,0.901370494,0.362507426
HMDA4-2,0.117539103,0.468785772,0.560768703,0.285983719,0.814072528,0.275226391
HMDA4-6,0.167006603,0.497945729,0.524947596,0.297700211,0.801213145,0.26082629
HMDA4-9,0.139082025,0.475456515,0.58344953,0.212377494,0.760602596,0.24107306
HMDA5-10,0.099605165,0.403514317,0.512566603,0.438532037,0.818446357,0.336082275
HMDA5-4,0,0.52630602,0.626705526,0.40622525,0.750248553,0.372227381
HMDA5-5,0,0.533064589,0.653778252,0.439478452,0.783315391,0.397767412
HMDA6-10,0.166149115,0.461485455,0.412369936,0.285055203,0.734456146,0.315921201
HMDA6-3,0.194798002,0.429150464,0.402320551,0.312150175,0.851696775,0.213571984
HMDA6-7,0.173519984,0.461003028,0.564617194,0.350476641,0.809741073,0.24712392
HMDA7-1,0.053842665,0.433378074,0.518414866,0,0.809857769,0.241443353
HMDA7-10,0.062318056,0.459672685,0.506907632,0,0.806731651,0.24110771
HMDA7-7,0.055472671,0.439184689,0.462393429,0,0.809544557,0.227379328
HMDA8-10,0.106218437,0.497247654,0.496784532,0.158473998,0.887428653,0.248471877
HMDA8-5,0.133835596,0.495824331,0.486550525,0.203121544,0.714848278,0.290818105
HMDA8-9,0.129995214,0.498286761,0.463040954,0.104240055,0.746117584,0.284035936
MG1655,0,0.169350074,0.295794347,0.162348964,0.375494761,0.232116061
