,Fumarate,Itaconate,Malate,Pimelate,Sebacate,Succinate
MG1655,0.216,0.248,0.235,0.275,0.167,0.169
GLUT1-3_1,0.293,0.454,0.294,0.369,0.074,0.231
GLUT1-9_1,0.274,0.446,0.259,0.337,0.043,0.194
GLUT1-10_1,0.289,0.446,0.286,0.399,0.278,0.246
GLUT2-1_1,0.277,0.385,0.273,0.362,0.153,0.232
GLUT2-9_1,0.267,0.415,0.27,0.349,0.282,0.213
GLUT2-10_1,0.312,0.494,0.282,0.383,0.093,0.277
GLUT3-5_1,0.263,0.31,0.257,0.28,0.106,0.242
GLUT3-7_1,0.264,0.326,0.234,0.36,0.068,0.235
GLUT3-9_1,0.305,0.257,0.252,0.351,0.158,0.221
GLUT4-1_1,0.295,0.414,0.264,0.378,0.266,0.263
GLUT4-4_1,0.287,0.339,0.264,0.388,0.265,0.242
GLUT4-10_1,0.274,0.328,0.25,0.371,0.113,0.231
GLUT5-4_1,0.386,0.398,0.272,0.433,0.183,0.281
GLUT5-5_1,0.375,0.368,0.275,0.42,0.117,0.264
GLUT5-9_1,0.37,0.438,0.246,0.428,0.143,0.244
GLUT6-4_1,0.281,0.36,0.251,0.356,0.085,0.241
GLUT6-5_1,0.279,0.42,0.241,0.348,0.123,0.243
GLUT6-10_1,0.277,0.502,0.245,0.353,0.132,0.211
GLUT7-2_1,0.304,0.441,0.275,0.349,0.173,0.223
GLUT7-6_1,0.261,0.293,0.247,0.357,0.141,0.195
GLUT7-7_1,0.193,0.239,0.185,0.335,0.112,0.156
GLUT8-5_1,0.247,0.372,0.18,0.349,0.3,0.198
GLUT8-6_1,0.272,0.236,0.208,0.184,0.464,0.236
GLUT8-9_1,0.196,0.224,0.192,0.259,0.471,0.25
