,Propionate,octanoate,Decanoate
MG1655,0.661,0.541,0.567
HEXA1-1_1,0.694,0.314,0.582
HEXA1-4_1,0.616,0.293,0.189
HEXA1-5_1,0.65,0.671,0.422
HEXA2-3_1,0.715,0.177,0.566
HEXA2-9_1,0.662,0.169,0.508
HEXA2-10_1,0.599,0.232,0.528
HEXA3-1_1,0.746,0.968,0.392
HEXA3-7_1,0.639,0.412,0.355
HEXA3-9_1,0.629,0.441,0.342
HEXA4-4_1,0.716,0.327,0.596
HEXA4-7_1,0.713,0.262,0.599
HEXA4-10_1,0.693,0.467,0.543
HEXA5-7_1,0.57,0.498,0.468
HEXA5-8_1,0.599,0.46,0.503
HEXA5-10_1,0.599,0.49,0.443
HEXA6-4_1,0.585,0.451,0.478
HEXA6-7_1,0.569,0.412,0.475
HEXA6-9_1,0.585,0.487,0.511
HEXA7-2_1,0.653,0.44,0.167
HEXA7-3_1,0.659,0.396,0.156
HEXA7-4_1,0.632,0.469,0.489
HEXA8-1_1,0.602,0.488,0.309
HEXA8-2_1,0.636,0.337,0.59
HEXA8-5_1,0.644,0.23,0.51
