,"1,3-Diaminopropane","1,5-Diaminopantene",Citrulline,Ethylenediamine,Ornithine,Spermidine
MG1655,0,0.189,0.347,0.220735639,0.229,0.229307204
PUTR1-3,0.200263588,0.326,0.559,0.158201809,0.359,0.358537866
PUTR1-6,0.16900282,0.344,0.563,0.162014592,0.361,0.360853762
PUTR1-9,0.262412172,0.412,0.547,0.406819321,0.346,0.345821103
PUTR2-4,0.178214841,0.345,0.493,0.191221622,0.214,0.213587168
PUTR2-8,0.131496843,0.365,0.528,0.194604592,0.219,0.218548349
PUTR2-6,0.171763473,0.346,0.508,0.24068913,0.209,0.208630321
PUTR3-1,0.22341289,0.477,0.601,0.430772393,0.369,0.368574648
PUTR3-9,0.117012852,0.343,0.414,0.248030892,0.232,0.231529317
PUTR3-10,0.232173348,0.469,0.599,0.40316438,0.385,0.384706723
PUTR4-3,0.228686402,0.434,0.571,0.413161915,0.357,0.356907762
PUTR4-7,0.224826144,0.448,0.569,0.367421103,0.363,0.363370104
PUTR4-8,0.228764208,0.432,0.536,0.348992985,0.344,0.344086545
PUTR5-1,0.093598063,0.329,0.385,0.405132405,0.215,0.215045887
PUTR5-6,0.12394219,0.367,0.463,0.395090705,0.35,0.350026701
PUTR5-8,0.155962401,0.355,0.432,0.408472925,0.338,0.338440425
PUTR6-2,0.199062316,0.391,0.433,0.375341087,0.336,0.335651962
PUTR6-7,0.25108504,0.449,0.575,0.48648667,0.35,0.350426352
PUTR6-10,0.221722112,0.408,0.534,0.46203099,0.365,0.365097612
PUTR7-1,0.140374653,0.352,0.202,0.356337846,0.302,0.301881485
PUTR7-7,0.221333074,0.342,0.471,0.413943938,0.336,0.335747981
PUTR7-9,0.226129057,0.376,0.46,0.380139189,0.327,0.327248032
PUTR8-3,0.18118483,0.467,0.542,0.448722036,0.319,0.318661733
PUTR8-6,0.138181583,0.437,0.574,0.369419039,0.308,0.307755736
PUTR8-10,0.112122914,0.488,0.575,0.327255498,0.3,0.299610391
