,Fumarate,Itaconate,Malate,Pimelate,Sebacate,Succinate
ADIP1-1,0.347024472,0.465817716,0.33312127,0.432488727,0.243534256,0.299162136
ADIP1-6,0.362172353,0.48263424,0.290303872,0.430724273,0.271788468,0.250064224
ADIP1-9,0.327702005,0.433682279,0.336261859,0.421237967,0.247553056,0.289509943
ADIP2-10,0.35268722,0.437880303,0.346540619,0.479158095,0.289829861,0.261558952
ADIP2-5,0.358492263,0.439597395,0.338047026,0.474074963,0.315292032,0.260492252
ADIP2-6,0.379841387,0.469660638,0.347964032,0.480111048,0.318936917,0.278274619
ADIP3-2,0.327334662,0.458619399,0.318121705,0.437536453,0.25395348,0.311489416
ADIP3-4,0.323521614,0.450588999,0.34728462,0.43523967,0.262307857,0.307976559
ADIP3-8,0.342796734,0.432597344,0.329003026,0.425802777,0.252616719,0.304012672
ADIP4-1,0.264460379,0.339415419,0.274702197,0.348073388,0.308489159,0.206426142
ADIP4-4,0.183096338,0.232716238,0.193419234,0.230415541,0.11891843,0.144319558
ADIP4-8,0.254007847,0.325762498,0.238439696,0.349078936,0.28948187,0.227962288
ADIP5-2,0.279776144,0.354403952,0.299259295,0.385124255,0.288474225,0.191537068
ADIP5-5,0.203817343,0.19471608,0.219135167,0.265154962,0.186068535,0.175642815
ADIP5-6,0.444381117,0.527237093,0.404451603,0.482526309,0.272667464,0.361220678
ADIP6-10,0.308212944,0.343400002,0.323248558,0.36013867,0.267496133,0.285076226
ADIP6-3,0.274880146,0.32745023,0.294958945,0.345660027,0.268299093,0.245711426
ADIP6-9,0.24970785,0.336883464,0.250478228,0.278462579,0.181141628,0.209747338
ADIP7-10,0.335369369,0.346326072,0.328987938,0.314906398,0.245432878,0.322097131
ADIP7-2,0.311644546,0.341899173,0.329216143,0.392586374,0.35582747,0.294168996
ADIP7-5,0.325567943,0.402423949,0.326438684,0.375768679,0.35347933,0.273761795
ADIP8-10,0.220729672,0.290313406,0.202161545,0.248944935,0.164929507,0.131236763
ADIP8-11,0.241181216,0.273586874,0.21659959,0.245072591,0.193728247,0.173092249
ADIP8-12,,,,,,
ADIP8-14,0.18863001,0.384576375,0.223214915,0.30032731,0.187461461,0.221955035
ADIP8-15,,,,,,
ADIP8-16,,,,,,
ADIP8-17,0.23855292,0.328385157,0.222654898,0.248957131,0.159538436,0.15540725
ADIP8-18,,,,,,
ADIP8-19,,,,,,
ADIP8-20,0.202864443,0.292101411,0.190912169,0.226071578,0.25704611,0.103195037
ADIP8-3,0.202370648,0.308460581,0.193611714,0.234537683,0.171402925,0.146187251
ADIP8-7,0.188130694,0.235075948,0.202240363,0.267895837,0.157101112,0.163113964
MG1655,0.21209937,0.257385331,0.222113899,0.27148712,0.134768614,0.142923644
