compound	strain	growth_rate	experiment	well	repl
1,2-propanediol	MG1655	0.3020983296729705	ALE_1,2-propanediol_duplicates_121514	A01	1
1,2-propanediol	12PD1-2	0.4929042724639701	ALE_1,2-propanediol_duplicates_121514	A02	1
1,2-propanediol	12PD1-4	0.6529374431157772	ALE_1,2-propanediol_duplicates_121514	A03	1
1,2-propanediol	12PD1-10	0.563795926020197	ALE_1,2-propanediol_duplicates_121514	A04	1
1,2-propanediol	12PD2-8	0.34674093825842617	ALE_1,2-propanediol_duplicates_121514	A05	1
1,2-propanediol	12PD2-9	0.4124633277141909	ALE_1,2-propanediol_duplicates_121514	A06	1
1,2-propanediol	12PD3-7	0.6619820558854309	ALE_1,2-propanediol_duplicates_121514	A07	1
1,2-propanediol	12PD3-8	0.6293934235509895	ALE_1,2-propanediol_duplicates_121514	A08	1
1,2-propanediol	12PD3-10	0.5901803712933948	ALE_1,2-propanediol_duplicates_121514	B01	1
1,2-propanediol	12PD4-6	0.5234388161537495	ALE_1,2-propanediol_duplicates_121514	B02	1
1,2-propanediol	12PD4-8	0.44905383947857047	ALE_1,2-propanediol_duplicates_121514	B03	1
1,2-propanediol	12PD4-9	0.5754663563003527	ALE_1,2-propanediol_duplicates_121514	B04	1
1,2-propanediol	12PD5-1	0.6858016127591761	ALE_1,2-propanediol_duplicates_121514	B05	1
1,2-propanediol	12PD5-3	0.4987739789561335	ALE_1,2-propanediol_duplicates_121514	B06	1
1,2-propanediol	12PD6-3	0.45790358062158065	ALE_1,2-propanediol_duplicates_121514	B07	1
1,2-propanediol	12PD6-9	0.5429980369668956	ALE_1,2-propanediol_duplicates_121514	B08	1
1,2-propanediol	12PD7-5	0.4188271711605359	ALE_1,2-propanediol_duplicates_121514	C01	1
1,2-propanediol	12PD7-6	0.8651562876661265	ALE_1,2-propanediol_duplicates_121514	C02	1
1,2-propanediol	12PD8-6	0.6251819105625401	ALE_1,2-propanediol_duplicates_121514	C03	1
1,2-propanediol	12PD8-7	0.5584643314213253	ALE_1,2-propanediol_duplicates_121514	C04	1
1,2-propanediol	12PD8-10	0.5561970791455058	ALE_1,2-propanediol_duplicates_121514	C05	1
1,2-propanediol	12PD1-2	0.0	ALE_1,2-propanediol_duplicates_121514	C06	3
1,2-propanediol	12PD1-4	0.7268364952555959	ALE_1,2-propanediol_duplicates_121514	C07	3
1,2-propanediol	12PD1-10	0.5560753169101509	ALE_1,2-propanediol_duplicates_121514	C08	3
1,2-propanediol	MG1655	0.17744143220234024	ALE_1,2-propanediol_duplicates_121514	D01	2
1,2-propanediol	12PD1-2	0.7323931784757769	ALE_1,2-propanediol_duplicates_121514	D02	2
1,2-propanediol	12PD1-4	0.7112498353553651	ALE_1,2-propanediol_duplicates_121514	D03	2
1,2-propanediol	12PD1-10	0.5870154628074394	ALE_1,2-propanediol_duplicates_121514	D04	2
1,2-propanediol	12PD2-8	0.5808267162992735	ALE_1,2-propanediol_duplicates_121514	D05	2
1,2-propanediol	12PD2-9	0.37110739900427775	ALE_1,2-propanediol_duplicates_121514	D06	2
1,2-propanediol	12PD3-7	0.5899615119820719	ALE_1,2-propanediol_duplicates_121514	D07	2
1,2-propanediol	12PD3-8	0.6186871210760094	ALE_1,2-propanediol_duplicates_121514	D08	2
1,2-propanediol	12PD3-10	0.5100036382331645	ALE_1,2-propanediol_duplicates_121514	E01	2
1,2-propanediol	12PD4-6	0.26006914346732846	ALE_1,2-propanediol_duplicates_121514	E02	2
1,2-propanediol	12PD4-8	0.5755729582990611	ALE_1,2-propanediol_duplicates_121514	E03	2
1,2-propanediol	12PD4-9	0.7191858776814297	ALE_1,2-propanediol_duplicates_121514	E04	2
1,2-propanediol	12PD5-1	0.5637799287522709	ALE_1,2-propanediol_duplicates_121514	E05	2
1,2-propanediol	12PD5-3	0.45787461306636096	ALE_1,2-propanediol_duplicates_121514	E06	2
1,2-propanediol	12PD6-3	0.38748314149688046	ALE_1,2-propanediol_duplicates_121514	E07	2
1,2-propanediol	12PD6-9	0.43581761456719836	ALE_1,2-propanediol_duplicates_121514	E08	2
1,2-propanediol	12PD7-5	0.46953773393989495	ALE_1,2-propanediol_duplicates_121514	F01	2
1,2-propanediol	12PD7-6	0.6691150775833158	ALE_1,2-propanediol_duplicates_121514	F02	2
1,2-propanediol	12PD8-6	0.6127441002172067	ALE_1,2-propanediol_duplicates_121514	F03	2
1,2-propanediol	12PD8-7	0.48039628455248606	ALE_1,2-propanediol_duplicates_121514	F04	2
1,2-propanediol	12PD8-10	0.5649740923004568	ALE_1,2-propanediol_duplicates_121514	F05	2
1,2-propanediol	12PD2-8	0.6926175247110538	ALE_1,2-propanediol_duplicates_121514	F06	3
1,2-propanediol	12PD2-9	0.3448698261712695	ALE_1,2-propanediol_duplicates_121514	F07	3
1,2-propanediol	12PD3-7	0.5690534296004892	ALE_1,2-propanediol_duplicates_121514	F08	3
2,3-butanediol	MG1655	0.08240499588722092	ALE_2,3-butanediol_duplicates_122414	A01	1
2,3-butanediol	23BD1-6	0.2928454820752345	ALE_2,3-butanediol_duplicates_122414	A02	1
2,3-butanediol	23BD1-9	0.2892550852346868	ALE_2,3-butanediol_duplicates_122414	A03	1
2,3-butanediol	23BD2-4	0.5131469326012849	ALE_2,3-butanediol_duplicates_122414	A04	1
2,3-butanediol	23BD2-7	0.46302174659064504	ALE_2,3-butanediol_duplicates_122414	A05	1
2,3-butanediol	23BD2-9	0.5225716619712815	ALE_2,3-butanediol_duplicates_122414	A06	1
2,3-butanediol	23BD3-3	0.4786303578542826	ALE_2,3-butanediol_duplicates_122414	A07	1
2,3-butanediol	23BD3-4	0.41478441413727696	ALE_2,3-butanediol_duplicates_122414	A08	1
2,3-butanediol	23BD3-9	0.4117055452063125	ALE_2,3-butanediol_duplicates_122414	B01	1
2,3-butanediol	23BD4-3	0.3080275214673949	ALE_2,3-butanediol_duplicates_122414	B02	1
2,3-butanediol	23BD4-4	0.3670059355857085	ALE_2,3-butanediol_duplicates_122414	B03	1
2,3-butanediol	23BD4-7	0.3441004847871019	ALE_2,3-butanediol_duplicates_122414	B04	1
2,3-butanediol	23BD5-1	0.32719799468867466	ALE_2,3-butanediol_duplicates_122414	B05	1
2,3-butanediol	23BD5-7	0.0	ALE_2,3-butanediol_duplicates_122414	B06	1
2,3-butanediol	23BD5-10	0.29841502058351693	ALE_2,3-butanediol_duplicates_122414	B07	1
2,3-butanediol	23BD6-1	0.39390356875897664	ALE_2,3-butanediol_duplicates_122414	B08	1
2,3-butanediol	23BD7-4	0.4774584743196341	ALE_2,3-butanediol_duplicates_122414	C01	1
