,0,1,2,3,4
126,7,6,3,1,ADIP6-10
127,7,7,1,1,ADIP7-2
128,7,7,2,1,ADIP7-5
129,7,8,1,1,ADIP8-3
130,7,8,2,1,ADIP8-7
131,7,8,3,1,ADIP8-10
132,8,1,1,1,IBUA1-7
133,8,1,2,1,IBUA1-9
134,8,2,1,1,IBUA2-1
135,8,2,2,1,IBUA2-6
136,8,2,3,1,IBUA2-9
137,8,3,1,1,IBUA3-2
138,8,3,2,1,IBUA3-10
139,8,4,1,1,IBUA4-1
140,8,4,2,1,IBUA4-8
141,8,4,3,1,IBUA4-9
142,8,5,1,1,IBUA5-2
143,8,5,2,1,IBUA5-6
144,8,6,1,1,IBUA6-7
145,8,6,2,1,IBUA6-9
146,8,7,1,1,IBUA7-6
147,8,7,2,1,IBUA7-7
148,8,7,3,1,IBUA7-9
149,8,8,1,1,IBUA8-3
150,8,8,2,1,IBUA8-4
151,8,8,3,1,IBUA8-10
152,9,1,1,1,HEXA1-1
153,9,1,2,1,HEXA1-4
154,9,1,3,1,HEXA1-5
155,9,2,1,1,HEXA2-3
156,9,2,2,1,HEXA2-9
157,9,2,3,1,HEXA2-10
158,9,3,1,1,HEXA3-1
159,9,3,2,1,HEXA3-7
160,9,3,3,1,HEXA3-9
161,9,4,1,1,HEXA4-4
162,9,4,2,1,HEXA4-7
163,9,4,3,1,HEXA4-10
164,9,5,1,1,HEXA6-5
165,9,5,2,1,HEXA6-6
166,9,5,3,1,HEXA6-7
167,9,5,4,1,HEXA6-9
168,9,6,1,1,HEXA7-2
169,9,7,1,1,HEXA8-1
170,9,7,2,1,HEXA8-2
171,9,7,3,1,HEXA8-5
172,10,1,1,1,23BD1-6
173,10,1,2,1,23BD1-9
174,10,2,1,1,23BD2-4
175,10,2,2,1,23BD2-7
176,10,2,3,1,23BD2-9
177,10,3,1,1,23BD3-3
178,10,3,2,1,23BD3-4
179,10,3,3,1,23BD3-9
180,10,4,1,1,23BD4-3
181,10,4,2,1,23BD4-4
182,10,4,3,1,23BD4-7
183,10,5,1,1,23BD5-1
184,10,5,2,1,23BD5-7
185,10,5,3,1,23BD5-10
186,10,6,1,1,23BD6-1
187,10,7,1,1,23BD7-4
188,10,7,2,1,23BD7-5
189,10,7,3,1,23BD7-7
190,10,8,1,1,23BD8-2
191,10,8,2,1,23BD8-7
192,10,8,3,1,23BD8-9
193,11,1,1,1,12PD1-2
194,11,1,2,1,12PD1-4
195,11,1,3,1,12PD1-10
196,11,2,1,1,12PD2-8
197,11,2,2,1,12PD2-9
198,11,3,1,1,12PD3-7
199,11,3,2,1,12PD3-8
200,11,3,3,1,12PD3-10
201,11,4,1,1,12PD4-6
202,11,4,2,1,12PD4-8
203,11,4,3,1,12PD4-9
204,11,5,1,1,12PD5-1
205,11,5,2,1,12PD5-3
206,11,6,1,1,12PD6-3
207,11,6,2,1,12PD6-9
208,11,7,1,1,12PD7-5
209,11,7,2,1,12PD7-6
210,11,8,1,1,12PD8-6
211,11,8,2,1,12PD8-7
212,11,8,3,1,12PD8-10
213,12,1,1,1,OCTA1-3
214,12,1,2,1,OCTA1-5
215,12,1,3,1,OCTA1-9
216,12,2,1,1,OCTA2-10
217,12,2,2,1,OCTA2-14
218,12,2,3,1,OCTA2-16
219,12,3,1,1,OCTA4-9
220,12,3,2,1,OCTA4-10
221,12,3,3,1,OCTA4-13
222,12,4,1,1,OCTA5-4
223,12,4,2,1,OCTA5-8
224,12,4,3,1,OCTA5-9
225,12,5,1,1,OCTA6-5
226,12,5,2,1,OCTA6-6
227,12,5,3,1,OCTA6-7
228,12,6,1,1,OCTA7-2
229,12,6,2,1,OCTA7-9
230,12,6,3,1,OCTA7-10
231,12,7,1,1,OCTA8-5
232,12,7,2,1,OCTA8-7
233,13,3,1,1,GLU1-1
234,13,4,1,1,GLU2-1
235,13,5,1,1,GLU3-1
236,13,6,1,1,GLU4-1
237,13,7,51,1,GLU5-1
238,13,8,1,1,GLU6-1
239,13,9,1,1,GLU7-1
240,13,10,1,1,GLU8-1
