,0,1,2,3,4
0,1,1,1,1,BUT1-2
1,1,1,2,1,BUT1-3
2,1,1,3,1,BUT1-5
3,1,2,1,1,BUT2-9
4,1,3,1,1,BUT3-3
5,1,3,2,1,BUT3-6
6,1,3,3,1,BUT3-7
7,1,4,1,1,BUT4-4
8,1,4,2,1,BUT4-7
9,1,4,3,1,BUT4-9
10,1,5,1,1,BUT5-2
11,1,5,2,1,BUT5-3
12,1,6,1,1,BUT6-1
13,1,6,2,1,BUT6-3
14,1,6,3,1,BUT6-8
15,1,7,1,1,BUT7-6
16,1,7,2,1,BUT7-7
17,1,7,3,1,BUT7-9
18,1,8,1,1,BUT9-7
19,1,8,2,1,BUT9-10
20,2,1,1,1,GLUT1-3
21,2,1,2,1,GLUT1-9
22,2,1,3,1,GLUT1-10
23,2,2,1,1,GLUT2-1
24,2,2,2,1,GLUT2-9
25,2,2,3,1,GLUT2-10
26,2,2,3,2,GLUT2-10-rerun
27,2,3,1,1,GLUT3-5
28,2,3,2,1,GLUT3-7
29,2,3,2,2,GLUT3-7-rerun
30,2,3,3,1,GLUT3-9
31,2,4,1,1,GLUT4-1
32,2,4,2,1,GLUT4-4
33,2,4,2,2,GLUT4-4-rerun
34,2,4,3,1,GLUT4-10
35,2,5,1,1,GLUT5-4
36,2,5,2,1,GLUT5-5
37,2,5,3,1,GLUT5-9
38,2,5,3,2,GLUT5-9-rerun
39,2,6,1,1,GLUT6-4
40,2,6,2,1,GLUT6-5
41,2,6,2,2,GLUT6-5-rerun
42,2,6,3,1,GLUT6-10
43,2,7,1,1,GLUT7-2
44,2,7,1,2,GLUT7-2-rerun
45,2,7,2,1,GLUT7-6
46,2,7,3,1,GLUT7-7
47,2,7,3,2,GLUT7-7-rerun
48,2,8,1,1,GLUT8-5
49,2,8,1,2,GLUT8-5-rerun
50,2,8,2,1,GLUT8-6
51,2,8,3,1,GLUT8-9
52,3,1,1,1,COUM1-2
53,3,2,1,1,COUM2-3
54,3,2,2,1,COUM2-4
55,3,2,3,1,COUM2-7
56,3,3,1,1,COUM3-1
57,3,3,2,1,COUM3-9
58,3,3,3,1,COUM3-10
59,3,4,1,1,COUM4-2
60,3,4,2,1,COUM4-5
61,3,4,3,1,COUM4-10
62,3,5,1,1,COUM5-3
63,3,5,2,1,COUM5-5
64,3,5,3,1,COUM5-8
65,3,6,1,1,COUM6-2
66,3,6,2,1,COUM6-5
67,3,6,3,1,COUM6-9
68,3,7,1,1,COUM7-5
69,3,7,2,1,COUM7-6
70,3,8,1,1,COUM8-1
71,3,8,2,1,COUM8-6
72,5,1,1,1,HMDA1-10
73,5,2,1,1,HMDA2-1
74,5,2,2,1,HMDA2-8
75,5,3,1,1,HMDA3-4
76,5,3,2,1,HMDA3-5
77,5,3,3,1,HMDA3-6
78,5,4,1,1,HMDA4-2
79,5,4,2,1,HMDA4-6
80,5,4,3,1,HMDA4-9
81,5,5,1,1,HMDA5-4
82,5,5,2,1,HMDA5-5
83,5,5,3,1,HMDA5-10
84,5,6,1,1,HMDA6-3
85,5,6,2,1,HMDA6-7
86,5,7,1,1,HMDA7-1
87,5,7,2,1,HMDA7-7
88,5,7,3,1,HMDA7-10
89,5,8,1,1,HMDA8-5
90,5,8,2,1,HMDA8-9
91,5,8,3,1,HMDA8-10
92,6,1,1,1,PUTR2-4
93,6,1,2,1,PUTR2-6
94,6,2,1,1,PUTR3-1
95,6,2,2,1,PUTR3-9
96,6,2,3,1,PUTR3-10
97,6,3,1,1,PUTR4-3
98,6,3,2,1,PUTR4-7
99,6,3,3,1,PUTR4-8
100,6,4,1,1,PUTR5-1
101,6,4,2,1,PUTR5-6
102,6,4,3,1,PUTR5-8
103,6,5,1,1,PUTR6-2
104,6,5,2,1,PUTR6-7
105,6,5,3,1,PUTR6-10
106,6,6,1,1,PUTR7-1
107,6,6,2,1,PUTR7-7
108,6,6,3,1,PUTR7-9
109,6,7,1,1,PUTR8-3
110,6,7,2,1,PUTR8-6
111,6,7,3,1,PUTR8-10
112,7,1,1,1,ADIP1-1
113,7,1,2,1,ADIP1-9
114,7,2,1,1,ADIP2-5
115,7,2,2,1,ADIP2-6
116,7,2,3,1,ADIP2-10
117,7,3,1,1,ADIP3-2
118,7,3,2,1,ADIP3-4
119,7,3,3,1,ADIP3-8
120,7,4,1,1,ADIP4-1
121,7,4,2,1,ADIP4-8
122,7,5,1,1,ADIP5-2
123,7,5,2,1,ADIP5-6
124,7,6,1,1,ADIP6-3
125,7,6,2,1,ADIP6-9
