	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
3.33841	1.107	0.616	0.53	0.846	0.695	0.636	0.676	0.376	0.247	0.526	0.584	0.832	0.631	0.348	0.61	0.629	0.397	0.439	0.717	0.76	0.527	0.352	2.48	0.548	0.269	0.611	0.489	0.456	0.771	0.634	0.658	0.564	0.489	0.643	0.564	0.631	0.508	0.435	0.774	0.551	0.18	0.317	0.61	0.404	1.081	0.674	0.672	0.55
3.50495	0.494	0.88	0.517	1.054	0.738	0.651	0.8	0.256	0.4	0.514	0.543	0.766	0.646	0.474	0.626	0.617	0.276	0.482	0.679	0.777	0.514	0.505	2.268	0.646	0.342	0.546	0.479	0.471	0.897	0.568	0.675	0.444	0.396	0.523	0.499	0.594	0.58	1.358	0.791	0.515	0.141	0.28	0.489	0.393	0.688	0.609	0.69	0.486
3.6717	0.513	0.707	0.675	1.046	0.703	0.534	0.738	0.549	0.392	0.533	0.591	0.785	0.721	0.356	0.618	0.61	0.35	0.447	0.753	0.796	0.589	0.524	2.552	0.72	0.251	0.701	0.58	0.546	0.861	0.669	0.666	0.6	0.306	0.597	0.655	0.749	0.763	0.444	0.782	0.478	0.215	0.326	0.645	0.467	0.351	0.601	0.681	0.477
3.83834	0.57	0.764	0.598	0.94	0.598	0.62	0.797	0.305	0.478	0.593	0.651	0.926	0.698	0.441	0.677	0.696	0.545	0.587	0.81	0.825	0.593	0.418	2.581	0.641	0.389	0.593	0.637	0.467	0.781	0.563	0.642	0.574	0.335	0.653	0.63	0.724	1.039	0.336	0.949	0.395	0.109	0.245	0.593	0.36	0.462	0.576	0.818	0.614
4.00509	0.54	0.788	0.841	0.856	0.677	0.59	0.658	0.384	0.365	0.508	0.758	0.896	0.531	0.384	0.674	0.53	0.378	0.502	0.807	0.767	0.563	0.497	2.274	0.557	0.304	0.645	0.607	0.383	0.833	0.533	0.557	0.489	0.333	0.704	0.545	0.611	0.571	0.415	0.7	0.529	0.106	0.243	0.618	0.303	0.377	0.627	0.733	0.502
4.17172	0.494	0.633	0.712	0.863	0.767	0.68	0.72	0.475	0.401	0.516	0.765	0.904	0.703	0.474	0.682	0.865	0.386	0.592	0.898	0.748	0.516	0.56	2.347	0.565	0.312	0.654	0.533	0.445	0.869	0.705	0.647	0.634	0.587	0.576	0.526	0.62	0.579	0.834	0.872	0.566	0.169	0.196	0.599	0.311	0.796	0.499	0.715	0.538
4.33827	0.486	0.706	0.705	0.91	0.759	0.508	0.685	0.302	0.448	0.508	0.895	0.923	0.64	0.438	0.674	0.612	0.487	0.53	0.971	0.767	0.509	0.47	2.739	0.693	0.222	0.727	0.47	0.437	0.915	0.533	0.721	0.653	1.126	0.622	0.518	0.639	0.489	0.497	0.755	0.556	0.188	0.297	0.454	0.385	0.486	0.545	0.706	0.502
4.50504	0.56	0.781	0.695	0.874	0.668	0.69	0.73	0.404	0.494	0.581	0.994	0.997	0.713	0.485	0.637	0.629	0.26	0.603	1.128	0.869	0.609	0.406	2.206	0.657	0.269	0.611	0.407	0.538	0.853	0.579	0.74	0.591	0.434	0.67	0.701	0.576	0.673	0.654	0.801	0.551	0.207	0.208	0.61	0.459	0.424	0.592	0.754	0.55
4.67166	0.573	0.795	0.789	1.024	0.791	0.539	0.716	0.418	0.562	0.621	1.034	1.092	0.561	0.306	0.787	0.642	0.411	0.699	1.142	0.856	0.622	0.529	2.646	0.561	0.339	0.872	0.586	0.496	0.894	0.51	0.699	0.606	0.448	0.685	0.578	0.755	0.604	2.013	0.87	0.567	0.193	0.277	0.623	0.473	0.411	0.524	0.769	0.538
4.83842	2.768	0.553	0.879	0.948	0.715	0.573	0.613	0.313	0.403	0.655	1.014	1.207	0.65	0.367	0.63	0.704	0.389	0.622	1.119	0.915	0.437	0.426	2.462	0.622	0.261	0.766	0.645	0.475	0.708	0.625	0.677	0.555	0.289	0.634	0.556	0.568	0.582	0.481	0.875	0.487	0.172	0.309	0.684	0.368	0.388	0.557	0.745	0.514
5.00511	0.661	0.772	0.851	0.921	0.77	0.71	0.805	0.368	0.376	0.682	1.233	1.344	0.623	0.449	0.794	0.594	0.334	0.54	1.311	0.915	0.574	0.399	2.517	0.622	0.343	0.739	0.727	0.448	0.872	0.625	0.677	0.582	0.426	0.579	0.638	0.705	0.637	0.591	0.793	0.541	0.199	0.254	0.602	0.396	0.47	0.474	0.882	0.541
5.17165	1.025	0.808	0.941	0.928	0.723	0.608	0.703	0.568	0.411	0.745	1.268	1.517	0.576	0.402	0.637	0.794	0.397	0.548	1.457	0.924	0.581	0.489	2.616	0.657	0.269	0.528	0.462	0.483	0.798	0.579	0.658	0.564	0.599	0.643	0.647	0.631	0.673	0.435	0.801	0.578	0.125	0.317	0.555	0.404	0.972	0.729	0.727	0.632
5.33843	0.557	0.805	1.048	1.117	0.693	0.633	0.618	0.456	0.546	0.77	1.32	1.76	0.546	0.4	0.717	0.818	0.312	0.628	1.399	1.003	0.497	0.513	2.309	0.627	0.349	0.854	0.541	0.48	0.795	0.549	0.656	0.588	0.377	0.722	0.48	0.793	0.588	0.432	0.881	0.466	0.177	0.424	0.552	0.374	0.805	0.562	0.806	0.465
5.50503	0.576	0.825	1.203	1.136	0.711	0.541	0.828	0.42	0.592	0.925	1.448	1.945	0.591	0.419	0.708	0.727	0.441	0.784	1.638	1.106	0.597	0.532	2.652	0.838	0.424	0.71	0.588	0.499	0.787	0.568	0.62	0.609	0.396	0.606	0.581	0.676	0.607	0.59	0.873	0.488	0.114	0.28	0.571	0.421	0.524	0.664	0.827	0.568
5.67177	1.88	0.896	1.384	1.18	0.618	0.696	0.818	0.382	0.417	1.079	1.684	2.098	0.636	0.38	0.615	0.607	0.485	0.882	1.846	1.204	0.614	0.494	2.327	0.718	0.439	0.753	0.495	0.543	0.858	0.557	0.773	0.597	0.577	0.649	0.57	0.829	0.651	0.523	0.944	0.585	0.212	0.268	0.56	0.547	0.485	0.68	0.815	0.611
5.83843	3.203	0.879	1.451	1.192	0.658	0.707	0.802	0.393	0.565	1.172	1.751	2.436	0.621	0.392	0.682	0.674	0.413	0.948	1.965	1.268	0.598	0.478	2.511	0.729	0.34	0.763	0.533	0.445	0.842	0.541	0.647	0.58	0.368	0.795	0.526	0.729	0.661	0.506	0.845	0.484	0.196	0.333	0.599	0.393	0.878	0.554	0.797	0.62
6.00514	0.642	0.945	1.571	1.449	0.805	0.444	0.703	0.568	0.466	1.238	1.953	2.694	0.713	0.485	0.774	0.712	0.397	0.959	2.305	1.527	0.581	0.598	2.452	0.822	0.406	0.665	0.626	0.538	0.88	0.551	0.686	0.564	0.379	0.588	0.619	0.796	0.755	1.722	0.801	0.578	0.289	0.208	0.555	0.377	0.561	0.51	0.809	0.523
6.17177	0.852	0.854	1.782	1.55	0.852	0.601	0.723	0.395	0.376	1.503	2.273	3.041	0.705	0.531	0.684	0.622	0.58	0.978	2.488	1.6	0.491	0.508	2.298	0.731	0.397	1.012	0.618	0.475	0.872	0.708	0.76	0.582	0.289	0.716	0.72	0.814	0.637	1.412	1.012	0.541	0.172	0.254	0.684	0.396	0.47	0.721	0.882	0.459
6.33849	0.639	1.052	2.034	1.72	0.802	0.606	0.728	0.483	0.464	1.536	2.525	3.321	0.738	0.4	0.717	0.736	0.312	1.23	2.713	1.825	0.661	0.596	2.528	0.627	0.321	0.909	0.623	0.48	0.932	0.631	0.765	0.588	0.377	0.585	0.644	0.793	0.642	0.597	0.963	0.548	0.204	0.397	0.607	0.456	0.64	0.644	0.833	0.52
6.50525	0.913	0.805	2.253	1.692	0.775	0.606	0.701	0.483	0.409	1.7	2.635	3.869	0.656	0.4	0.635	0.736	0.559	1.394	2.959	1.934	0.524	0.513	2.611	0.737	0.266	0.772	0.541	0.48	0.85	0.713	0.738	0.725	0.267	0.749	0.644	0.656	0.916	0.432	0.936	0.466	0.122	0.342	0.607	0.401	0.504	0.507	0.751	0.602
6.67178	0.907	1.046	2.493	2.043	0.77	0.683	0.723	0.532	0.403	2.16	3.258	4.218	0.705	0.559	0.602	0.622	0.58	1.608	3.281	2.256	0.519	0.563	2.517	0.731	0.315	0.684	0.536	0.612	0.927	0.735	0.732	0.665	0.426	0.798	0.611	0.65	0.801	0.509	0.957	0.541	0.254	0.391	0.629	0.451	1.072	0.584	0.8	0.596
6.83838	0.584	0.997	2.581	2.048	0.72	0.688	0.728	0.401	0.381	2.412	3.511	4.799	0.738	0.455	0.717	0.682	0.476	1.778	3.726	2.537	0.606	0.65	2.693	0.819	0.431	0.909	0.541	0.562	0.877	0.658	0.847	0.753	0.568	0.832	0.835	0.711	0.642	0.898	1.182	0.548	0.204	0.424	0.607	0.538	0.504	0.562	0.806	0.465
7.00517	0.795	1.099	3.122	2.644	0.793	1.227	0.883	0.42	0.647	2.57	3.888	5.344	0.811	0.501	0.735	0.837	0.441	1.826	4.078	2.724	0.898	0.587	2.57	0.729	0.342	0.847	0.671	0.553	0.979	0.732	0.839	0.664	0.506	0.743	0.718	0.813	0.689	0.508	1.147	0.57	0.196	0.417	0.791	0.503	0.524	0.746	0.854	0.65
7.17188	0.65	1.445	3.385	2.606	0.677	0.618	0.877	0.466	0.557	2.86	4.286	5.873	0.777	0.52	0.811	0.694	0.542	2.17	4.554	3.064	0.591	0.552	2.411	0.611	0.222	0.809	0.716	0.519	0.915	0.615	0.803	0.707	0.497	0.622	0.682	0.639	0.708	0.552	1.165	0.556	0.106	0.489	0.7	0.467	0.404	0.573	0.733	0.529
7.33858	0.776	1.545	3.676	2.815	0.857	0.715	0.783	0.483	0.819	3.343	4.962	6.524	0.875	0.455	0.799	0.736	0.504	2.462	5.068	3.248	0.606	0.65	2.446	0.929	0.321	0.827	0.623	0.535	0.959	0.74	0.847	0.643	0.76	0.667	0.835	0.793	0.752	0.651	1.127	0.493	0.204	0.479	0.607	0.483	0.586	0.562	0.806	0.711
7.5052	0.702	1.471	4.206	3.262	0.783	0.723	0.79	0.546	0.554	3.736	5.3	7.275	0.8	0.463	0.725	0.799	0.485	2.882	5.928	3.889	0.614	0.658	2.628	0.663	0.412	0.835	0.632	0.543	1.023	0.749	0.828	0.679	0.44	0.758	0.707	0.719	0.678	0.496	1.191	0.667	0.103	0.433	0.697	0.492	0.649	0.817	0.733	0.693
7.67194	0.666	1.49	4.47	3.554	0.72	0.715	0.783	0.647	0.546	4.384	5.646	7.866	0.792	0.372	0.69	0.736	0.394	3.147	6.081	4.207	0.524	0.568	2.528	0.792	0.349	0.991	0.651	0.645	1.014	0.795	0.82	0.588	0.377	0.749	0.781	0.793	0.807	0.734	1.346	0.575	0.177	0.424	0.771	0.538	0.64	0.507	0.888	0.547
7.83862	0.893	1.743	5.077	3.833	0.838	0.56	0.792	0.6	0.445	4.798	6.36	8.603	0.884	0.463	0.753	0.691	0.457	3.589	6.847	4.729	0.67	0.55	2.405	0.718	0.301	1.08	0.713	0.517	1.077	0.803	0.91	0.568	0.631	0.702	0.624	0.718	0.705	0.631	1.271	0.553	0.24	0.458	0.752	0.519	0.702	0.625	0.867	0.608
8.00525	0.633	1.84	5.723	4.369	0.797	0.628	0.86	0.56	0.486	5.444	7.418	9.691	1.006	0.531	0.712	0.786	0.471	4.043	7.469	5.267	0.656	0.672	2.599	0.786	0.343	1.094	0.645	0.557	1.091	0.708	0.896	0.637	0.563	0.826	0.72	0.869	0.828	0.591	1.532	0.541	0.172	0.582	0.684	0.697	0.717	0.721	0.8	0.623
8.17182	0.92	2.071	6.608	4.845	0.866	0.615	0.874	0.655	0.554	6.11	7.837	9.997	1.048	0.6	0.753	0.855	0.403	4.601	8.214	5.74	0.643	0.55	2.515	0.8	0.547	1.162	0.713	0.599	1.022	0.776	0.883	0.732	0.576	0.784	0.816	0.8	0.951	1.396	1.654	0.608	0.186	0.486	0.779	0.628	0.647	0.652	0.895	0.608
8.33856	0.734	2.483	6.852	5.418	0.817	0.676	0.909	0.687	0.533	6.736	8.433	10.644	1.218	0.605	0.733	0.78	0.463	5.064	8.808	6.392	0.677	0.61	2.522	0.751	0.387	1.11	0.827	0.578	1.136	0.754	0.943	0.845	0.772	0.869	0.902	0.831	0.874	0.634	1.74	0.664	0.137	0.599	0.757	0.606	0.706	0.548	0.789	0.584
8.50526	0.885	2.745	7.881	5.928	0.858	1.263	0.921	0.647	0.519	7.383	9.41	11.842	1.231	0.509	0.691	0.711	0.531	5.437	9.786	7.068	0.58	0.624	2.661	0.874	0.319	1.207	0.705	0.536	1.26	0.686	0.874	0.723	0.458	0.939	0.889	0.846	1.106	1.031	1.891	0.462	0.177	0.641	0.744	0.702	1.131	0.616	0.858	0.517
8.67195	0.715	2.952	8.707	6.403	1.235	0.74	0.918	0.613	0.514	8.154	9.85	12.738	1.199	0.504	0.823	0.735	0.444	6.456	10.058	7.782	0.74	0.537	2.89	0.841	0.339	1.362	0.752	0.587	1.198	0.844	1.005	0.688	0.452	0.903	0.801	0.838	0.936	0.695	1.965	0.506	0.145	0.688	0.738	0.722	0.768	0.747	0.85	0.645
8.83863	1.217	3.21	9.132	7.263	0.891	0.669	0.928	0.57	0.497	8.689	10.522	13.686	1.374	0.57	0.752	0.854	0.509	6.854	11.414	8.208	0.724	0.684	2.505	0.797	0.433	1.429	0.764	0.597	1.21	0.828	1.016	0.699	0.518	0.86	0.976	0.986	1.002	0.543	2.14	0.682	0.156	0.836	0.831	0.952	1.352	0.621	0.916	0.575
9.00526	0.786	3.79	9.604	7.625	1.088	0.81	0.933	0.63	0.503	9.761	11.159	14.433	1.379	0.52	0.839	0.777	0.515	8.035	11.751	9.199	0.756	0.471	2.626	1.021	0.438	1.544	0.769	0.657	1.379	0.915	1.103	0.705	0.687	0.866	0.954	0.938	1.717	0.931	2.31	0.743	0.161	0.842	0.754	0.821	0.922	0.681	1.004	0.499
9.17194	0.889	4.301	10.687	8.463	1.082	0.641	0.983	0.624	0.443	10.544	11.559	14.968	1.865	0.733	0.752	0.827	0.536	8.463	11.986	10.008	0.669	0.629	2.859	0.797	0.433	1.511	0.764	0.652	1.319	0.991	1.098	0.836	0.463	0.942	0.894	0.932	1.411	0.625	2.358	0.682	0.211	0.863	0.831	0.843	1.107	0.676	0.998	0.575
9.33871	0.796	4.642	11.105	9.156	1.208	0.631	1.082	0.858	0.596	10.853	12.467	15.764	1.69	0.504	0.769	0.898	0.416	8.855	13.057	10.916	0.795	0.592	2.754	1.004	0.421	1.771	0.807	0.669	1.444	0.98	1.25	0.769	0.452	1.094	0.964	1.056	1.345	0.668	2.619	0.67	0.227	0.906	0.82	0.886	0.931	0.665	0.986	0.645
9.50537	1.981	5.256	11.587	9.827	1.082	0.723	1.174	0.679	0.661	11.362	12.786	15.895	1.756	0.597	0.779	0.909	0.536	10.018	13.078	12.054	0.915	0.793	2.614	0.961	0.433	2.111	0.982	0.734	1.401	0.91	1.262	0.699	0.518	1.106	0.976	1.014	1.329	0.707	2.959	0.682	0.238	1.027	0.913	0.952	1.079	0.758	1.026	0.575
9.67206	0.772	6.172	12.637	10.387	1.156	0.634	1.139	0.861	0.599	11.593	13.372	15.742	2.047	0.643	0.717	0.928	0.61	10.277	13.389	12.666	0.743	0.54	2.76	1.007	0.451	2.183	0.891	0.726	1.61	0.847	1.526	0.827	0.619	0.988	1.022	1.387	1.702	0.834	3.085	0.673	0.284	1.073	1.041	1.189	1.07	0.749	1.017	0.566
9.83863	0.845	6.433	12.704	11.6	1.121	0.653	1.213	0.771	0.563	11.688	14.365	16.27	2.202	0.471	0.818	0.811	0.52	11.135	14.354	12.977	0.872	0.504	2.579	0.944	0.497	2.146	0.992	0.718	1.765	0.893	1.435	0.845	1.727	1.006	1.04	1.214	1.557	0.825	3.403	0.663	0.194	1.173	0.95	1.207	1.089	0.823	1.307	0.612
10.00539	0.778	7.271	14.392	12.441	1.325	0.748	1.28	0.867	0.686	12.203	14.391	15.862	2.38	0.649	0.995	1.07	0.615	11.432	14.818	13.958	0.912	0.709	2.69	1.013	0.457	2.162	1.006	0.813	1.725	0.852	1.504	0.942	0.952	1.076	1.109	1.393	1.653	1.031	3.501	0.897	0.372	1.242	0.964	1.304	2.44	0.782	1.159	0.709
10.17207	0.701	7.892	14.541	13.955	1.412	0.782	1.205	0.98	0.501	12.573	15.221	16.008	2.684	0.627	0.892	0.912	0.512	11.475	15.591	14.895	0.945	0.66	2.697	1.018	0.434	2.654	0.983	0.819	1.783	0.994	1.645	0.836	1.391	1.215	1.195	1.396	1.766	0.762	3.883	0.872	0.214	1.381	1.051	1.335	1.679	0.76	1.325	0.63
10.33872	0.693	8.342	14.716	13.612	1.703	0.692	1.333	0.972	0.547	12.694	15.259	16.481	3.246	0.537	0.884	0.959	0.585	11.379	15.9	15.232	0.883	0.679	2.544	1.064	0.425	2.644	1.029	0.784	1.856	1.121	1.799	1.073	0.648	1.233	1.159	1.523	2.274	1.134	4.145	0.808	0.314	1.372	1.015	1.435	1.67	0.887	1.126	0.839
10.50539	0.701	9.689	15.358	14.472	1.875	0.945	1.396	1.008	0.664	13.498	16.119	16.553	3.283	0.654	0.919	0.967	0.593	11.693	17.306	15.739	1.027	0.851	2.888	0.991	0.488	2.872	0.983	0.9	2.083	1.048	1.835	1.0	0.575	1.297	1.25	1.695	2.038	0.898	4.455	0.953	0.186	1.708	1.024	1.689	1.543	0.678	1.298	0.766
10.672	0.843	9.861	15.587	14.891	1.826	0.787	1.564	1.286	0.588	13.89	17.138	16.673	3.698	0.632	0.925	1.054	0.572	12.738	17.754	15.506	1.114	0.856	2.791	1.078	0.494	3.124	1.043	0.906	2.28	1.163	1.923	1.169	0.607	1.33	1.419	1.701	2.262	1.067	4.789	0.905	0.137	1.769	1.111	1.749	1.685	0.82	1.331	0.636
10.8387	0.845	10.82	16.137	15.578	2.074	0.735	1.73	1.152	0.754	14.658	17.907	16.924	4.3	0.58	0.982	1.22	0.738	13.07	18.768	16.302	1.198	0.831	3.151	1.19	0.524	3.154	1.074	1.045	2.419	1.193	2.062	1.091	0.692	1.388	1.422	1.95	2.592	1.098	5.201	0.908	0.194	2.044	1.277	1.943	1.77	0.986	1.389	0.748
