	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
0.00483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.053	0.053	0.062	0.0	0.0	0.0	0.0	0.0	0.209	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.057	0.0	0.0	0.0
0.17142	0.796	0.346	0.104	0.185	0.239	0.212	0.264	0.188	0.106	0.0	0.024	0.0	0.0	0.037	0.106	0.29	0.214	0.027	0.028	0.0	0.026	0.0	0.614	0.372	0.163	0.188	0.161	0.054	0.186	0.213	0.0	0.269	2.015	0.083	0.082	0.241	0.055	0.084	0.239	0.191	0.028	0.006	0.239	0.161	1.199	0.134	0.189	0.322
0.33811	0.284	0.311	0.326	0.329	0.305	0.597	0.247	0.339	0.121	0.145	0.085	0.092	0.223	0.0	0.277	0.382	0.125	0.068	0.363	0.044	0.25	0.147	0.678	0.361	0.079	0.502	0.153	0.173	0.229	0.202	0.201	0.344	0.047	0.183	0.338	0.394	0.045	0.186	0.309	0.299	0.018	0.0	0.256	0.179	0.0	0.178	0.317	0.399
0.50468	0.27	0.377	0.223	0.576	0.501	0.472	0.253	0.326	0.158	0.232	0.142	0.313	0.283	0.225	0.339	0.603	0.11	0.239	0.241	0.297	0.285	0.371	0.946	0.533	0.095	0.491	0.38	0.316	0.4	0.481	0.265	0.414	0.06	0.386	0.325	0.302	0.19	0.149	0.401	0.268	0.164	0.015	0.375	0.219	0.229	0.191	0.413	0.285
0.67151	0.424	0.344	0.292	0.701	0.412	0.463	0.618	0.213	0.312	0.356	0.264	0.519	0.461	0.433	0.384	0.568	0.398	0.419	0.287	0.48	0.356	0.417	2.226	0.473	0.307	0.891	0.429	0.361	0.528	0.528	0.392	0.519	0.295	0.544	0.373	0.458	0.292	0.281	0.449	0.43	0.077	0.144	0.449	0.294	0.144	0.48	0.464	0.417
0.83808	0.521	0.468	0.303	0.795	0.452	0.396	0.496	0.229	0.192	0.369	0.221	0.56	0.501	0.341	0.424	0.5	0.36	0.299	0.275	0.524	0.476	0.27	2.048	0.569	0.272	1.072	0.419	0.348	0.544	0.328	0.461	0.403	0.662	0.482	0.497	0.476	0.28	0.569	0.411	0.317	0.065	0.027	0.411	0.256	0.269	0.416	0.429	0.302
1.00488	0.502	0.611	0.252	0.909	0.404	0.59	0.554	0.372	0.306	0.347	0.17	0.485	0.398	0.348	0.51	0.559	0.287	0.333	0.282	0.641	0.482	0.384	2.311	0.441	0.228	0.975	0.347	0.354	0.578	0.551	0.387	0.386	0.158	0.465	0.424	0.539	0.315	0.31	0.526	0.276	0.153	0.306	0.526	0.345	0.116	0.37	0.52	0.475
1.17163	0.784	0.541	0.231	0.783	0.467	0.572	0.534	0.221	0.316	0.301	0.311	0.629	0.514	0.304	0.492	0.54	0.352	0.37	0.4	0.626	0.463	0.366	2.446	0.64	0.187	0.664	0.386	0.417	0.643	0.426	0.505	0.589	0.277	0.478	0.462	0.47	0.488	0.351	0.537	0.482	0.136	0.237	0.401	0.329	0.317	0.489	0.588	0.354
1.33823	0.328	0.683	0.364	0.702	0.577	0.41	0.589	0.199	0.455	0.41	0.281	0.604	0.461	0.309	0.466	0.704	0.384	0.428	0.377	0.688	0.601	0.505	2.493	0.564	0.332	0.51	0.392	0.365	0.675	0.566	0.482	0.462	0.12	0.623	0.604	0.532	0.548	0.496	0.623	0.387	0.168	0.327	0.515	0.281	0.216	0.468	0.57	0.419
1.5048	0.592	0.539	0.381	0.72	0.622	0.618	0.606	0.245	0.31	0.427	0.298	0.786	0.505	0.409	0.484	0.667	0.267	0.446	0.477	0.708	0.591	0.524	2.234	0.718	0.243	0.612	0.411	0.465	0.721	0.503	0.528	0.428	0.575	0.589	0.569	0.633	0.649	0.408	0.697	0.545	0.268	0.238	0.534	0.327	0.481	0.487	0.59	0.521
1.67152	0.649	0.597	0.38	0.885	0.651	0.483	0.551	0.357	0.339	0.455	0.406	0.706	0.588	0.439	0.594	0.559	0.351	0.557	0.452	0.712	0.401	0.362	2.544	0.584	0.302	0.78	0.496	0.357	0.588	0.588	0.558	0.432	0.251	0.621	0.436	0.665	0.462	0.44	0.591	0.579	0.134	0.296	0.563	0.33	0.267	0.354	0.595	0.499
1.83823	0.447	0.695	0.422	0.845	0.694	0.553	0.648	0.346	0.355	0.498	0.393	0.831	0.603	0.373	0.609	0.492	0.449	0.492	0.468	0.811	0.498	0.542	2.47	0.682	0.292	0.715	0.623	0.454	0.686	0.631	0.738	0.641	0.267	0.638	0.589	0.627	0.56	0.376	0.662	0.516	0.15	0.149	0.607	0.428	0.448	0.562	0.694	0.49
2.00498	0.442	0.662	0.335	0.758	0.661	0.602	0.67	0.368	0.35	0.465	0.416	0.743	0.461	0.313	0.577	0.678	0.362	0.404	0.518	0.723	0.575	0.4	2.458	0.622	0.286	0.71	0.426	0.422	0.735	0.434	0.705	0.444	0.262	0.632	0.583	0.621	0.554	0.452	0.82	0.51	0.227	0.307	0.465	0.423	0.633	0.447	0.852	0.511
2.17148	1.071	0.636	0.496	0.784	0.66	0.491	0.723	0.231	0.403	0.573	0.412	0.934	0.65	0.449	0.684	0.594	0.307	0.458	0.736	0.751	0.574	0.426	2.544	0.704	0.315	0.903	0.481	0.475	0.708	0.571	0.595	0.555	0.344	0.661	0.611	0.623	0.637	0.481	0.684	0.487	0.199	0.254	0.547	0.396	0.47	0.584	0.718	0.541
2.33822	0.756	0.704	0.511	0.853	0.674	0.56	0.71	0.272	0.39	0.505	0.346	0.811	0.556	0.518	0.617	0.5	0.375	0.418	0.477	0.764	0.506	0.385	2.569	0.609	0.328	0.642	0.522	0.462	0.749	0.612	0.582	0.623	0.959	0.702	0.597	0.636	0.623	0.467	0.67	0.553	0.268	0.185	0.533	0.382	1.194	0.488	0.703	0.444
2.50489	0.412	0.797	0.575	0.863	0.794	0.598	0.666	0.393	0.319	0.406	0.41	0.767	0.566	0.364	0.709	0.619	0.413	0.456	0.487	0.831	0.571	0.588	2.62	0.619	0.258	0.599	0.615	0.445	0.842	0.568	0.565	0.497	0.259	0.659	0.471	0.565	0.497	0.396	0.708	0.566	0.087	0.251	0.599	0.366	0.385	0.499	0.715	0.374
2.67162	0.349	0.707	0.428	0.936	0.785	0.698	0.683	0.33	0.255	0.506	0.509	0.922	0.638	0.383	0.563	0.637	0.433	0.474	0.506	0.768	0.507	0.414	2.47	0.72	0.415	1.195	0.498	0.573	0.861	0.642	0.612	0.655	0.525	0.597	0.655	0.64	0.599	0.499	0.728	0.588	0.133	0.326	0.508	0.385	0.405	0.491	0.763	0.614
2.83825	0.374	0.758	0.511	0.99	0.756	0.506	0.792	0.436	0.39	0.505	0.51	0.838	0.692	0.381	0.589	0.582	0.321	0.5	0.477	0.819	0.506	0.467	2.597	0.691	0.383	0.642	0.467	0.517	0.749	0.557	0.719	0.568	0.795	0.537	0.542	0.69	0.568	0.631	0.697	0.526	0.076	0.24	0.533	0.355	0.401	0.406	0.731	0.526
3.00492	0.428	0.649	0.508	0.961	0.81	0.805	0.681	0.382	0.335	0.531	0.506	0.865	0.663	0.463	0.643	0.634	0.348	0.444	0.586	0.766	0.586	0.576	2.71	0.581	0.193	0.616	0.468	0.461	0.803	0.557	0.609	0.597	0.275	0.649	0.652	0.555	0.486	0.441	0.78	0.502	0.13	0.35	0.423	0.382	0.348	0.598	0.678	0.529
3.17162	0.595	0.707	0.51	0.881	0.785	0.534	0.601	0.467	0.502	0.451	0.509	0.84	0.748	0.356	0.7	0.692	0.433	0.474	0.671	0.714	0.589	0.442	2.552	0.638	0.278	0.537	0.662	0.491	0.779	0.505	0.612	0.573	0.443	0.652	0.545	0.64	0.599	0.526	0.81	0.506	0.106	0.271	0.508	0.385	0.488	0.573	0.763	0.532
