	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
4.33853	0.311	1.036	0.662	3.506	1.948	0.535	1.01	0.383	0.448	1.061	0.627	0.966	2.024	0.59	0.932	0.469	0.535	0.975	0.398	3.573	2.059	0.767	1.01	0.425
4.50504	0.368	1.293	0.605	4.076	2.033	0.563	0.925	0.525	0.448	0.947	0.741	0.909	2.509	0.533	0.846	0.497	0.421	1.118	0.398	4.4	2.287	0.796	0.925	0.568
4.6718	0.561	1.311	0.762	4.781	2.364	0.637	1.03	0.549	0.615	1.078	0.758	1.068	2.698	0.811	0.95	0.601	0.526	1.134	0.641	4.963	2.591	0.812	1.144	0.527
4.8385	0.525	1.309	0.822	5.43	2.421	0.638	1.083	0.452	0.603	1.192	0.73	1.211	3.095	0.747	0.92	0.57	0.607	1.05	0.701	5.496	2.645	0.785	1.083	0.643
5.00523	0.6	1.349	1.056	6.02	2.629	0.645	0.983	0.504	0.485	1.144	0.68	1.333	3.05	0.651	0.902	0.696	0.564	1.057	0.678	6.031	2.943	0.82	1.039	0.592
5.17192	0.611	1.502	1.035	6.631	2.895	0.654	1.135	0.516	0.64	1.181	0.774	1.541	3.316	0.718	1.168	0.791	0.631	1.179	0.685	6.671	3.038	0.943	1.078	0.714
5.33857	0.575	1.581	1.23	7.195	3.089	0.677	1.129	0.736	0.489	1.261	0.826	1.707	3.824	0.626	0.99	0.584	0.567	1.231	0.966	7.092	3.546	0.88	1.157	0.766
5.50527	0.839	1.873	1.406	8.003	3.352	0.739	1.135	0.601	0.754	1.438	0.832	1.884	3.916	0.804	1.254	0.762	0.717	1.265	1.171	7.729	3.753	1.057	1.335	0.885
5.67193	0.757	1.993	1.787	8.487	3.417	0.748	1.312	0.716	0.982	1.503	0.926	2.178	4.293	0.636	1.146	0.769	0.779	1.445	1.466	8.213	4.185	1.038	1.226	0.923
5.83859	0.704	2.221	1.834	8.989	3.812	0.882	1.197	0.813	0.881	1.697	0.974	2.515	4.78	0.869	1.113	0.821	0.749	1.436	1.599	8.201	4.646	1.085	1.253	0.913
6.00521	0.925	2.302	2.149	9.632	4.352	0.997	1.421	0.916	0.983	1.924	1.003	2.713	5.002	0.89	1.168	1.048	0.831	1.551	1.686	8.529	4.81	1.114	1.249	1.114
6.17192	0.965	2.798	2.615	9.902	4.619	0.948	1.374	1.014	0.852	1.933	1.04	3.237	5.442	0.758	1.177	1.029	0.984	1.56	2.037	8.885	5.164	1.208	1.345	1.208
6.33862	0.94	3.059	3.019	10.422	5.052	0.951	1.234	0.875	0.942	2.108	1.129	3.955	5.474	0.847	1.352	0.946	0.987	1.677	2.212	8.861	5.826	1.211	1.434	1.125
6.50544	1.177	3.356	2.894	10.362	5.464	0.914	1.334	1.05	0.974	2.439	1.063	4.054	5.997	0.886	1.14	1.248	0.944	1.639	2.716	9.003	5.833	1.26	1.647	1.175
6.67187	1.164	3.713	3.534	9.895	5.935	1.068	1.347	1.095	1.162	2.708	1.103	4.696	6.64	0.957	1.381	1.26	1.043	1.908	3.07	8.849	6.391	1.357	1.547	1.3
6.83856	1.248	4.225	3.937	10.6	6.391	1.074	1.321	1.234	1.271	3.082	1.252	5.324	6.923	1.014	1.385	1.235	1.102	2.056	3.331	8.899	6.701	1.249	1.862	1.42
7.00531	1.231	4.721	4.431	10.271	6.573	1.139	1.416	1.388	1.226	3.491	1.346	5.734	7.191	0.939	1.451	1.444	1.14	2.378	3.825	9.312	7.027	1.457	1.701	1.685
7.17197	1.651	5.4	4.674	10.532	6.993	1.262	1.603	1.471	1.338	3.649	1.383	6.64	7.357	1.101	1.52	1.543	1.27	2.36	4.468	9.257	7.509	1.466	1.859	1.551
7.33858	1.557	5.907	5.239	10.408	7.071	1.428	1.682	1.691	1.501	4.385	1.549	7.089	7.407	1.179	1.657	1.537	1.177	2.583	4.804	9.191	7.729	1.488	1.91	1.717
7.50531	1.737	6.544	5.761	10.331	7.508	1.377	1.717	1.786	1.624	4.764	1.44	8.098	7.786	1.244	1.52	1.572	1.327	2.818	5.726	8.799	7.766	1.58	2.002	1.923
7.67196	1.897	7.103	6.607	10.26	7.41	1.368	1.621	1.802	1.497	5.268	1.775	8.714	8.174	1.233	1.682	1.734	1.431	3.237	5.686	9.1	8.411	1.657	2.106	2.086
7.83874	1.811	7.989	6.979	10.432	8.01	1.597	1.85	1.973	1.926	5.839	1.689	9.572	8.546	1.347	1.768	1.905	1.402	3.323	6.058	8.957	8.154	1.714	2.078	2.143
8.00548	1.903	8.86	7.5	10.474	8.018	1.624	1.738	2.241	1.793	6.161	1.887	10.414	8.842	1.209	1.797	2.021	1.605	3.781	6.75	9.084	8.794	1.826	2.195	2.456
8.17206	2.039	9.932	8.522	10.346	8.096	1.797	2.107	2.316	1.84	6.954	2.032	11.143	8.517	1.347	1.739	2.248	1.66	4.094	7.544	9.043	8.582	1.886	2.249	2.572
8.33872	1.934	10.279	8.929	10.466	8.162	1.782	2.004	2.408	1.932	8.132	2.045	12.004	8.838	1.386	1.98	2.402	1.642	4.306	8.437	8.906	8.503	1.957	2.26	2.927
8.50552	2.184	11.124	9.875	10.817	8.3	1.986	2.074	2.668	2.192	8.277	2.192	12.678	8.352	1.46	1.96	2.471	1.769	4.833	8.551	9.025	8.563	2.102	2.33	2.962
8.67212	2.286	12.264	10.265	10.061	8.431	2.084	2.116	2.772	2.44	9.586	2.348	13.129	8.455	1.59	1.973	2.8	1.955	5.507	9.859	9.129	8.695	2.286	2.402	2.975
8.8389	2.544	13.067	10.61	10.233	8.345	2.027	2.202	3.116	2.382	9.987	2.578	13.502	8.713	1.59	2.087	2.915	2.042	5.651	10.088	9.531	8.523	2.315	2.574	3.348
9.00539	2.635	13.808	11.528	10.406	8.549	2.266	2.153	3.175	2.355	11.363	2.587	13.699	8.687	1.653	2.154	3.066	2.049	6.173	10.892	9.417	8.668	2.354	2.696	3.672
9.17212	2.594	14.494	13.024	10.446	8.766	2.406	2.403	3.559	2.454	11.913	2.727	14.074	8.816	1.673	2.207	2.916	2.185	7.021	11.445	9.057	8.796	2.609	2.917	3.868
9.33898	2.978	15.67	12.645	10.664	8.291	2.638	2.41	3.863	2.757	13.111	3.017	15.39	8.343	1.911	2.211	3.582	2.307	7.606	12.325	9.331	8.754	2.612	2.868	3.987
9.50549	3.069	16.236	13.087	10.415	8.439	2.664	2.353	4.245	2.736	13.872	3.1	15.608	8.635	1.999	2.524	3.841	2.479	7.811	12.48	8.708	8.675	2.751	2.897	4.33
9.67214	3.064	17.16	13.992	10.292	8.377	2.638	2.353	4.378	3.1	14.057	3.275	14.215	8.601	1.969	2.412	4.155	2.45	8.781	13.499	9.073	8.668	2.784	3.126	4.56
9.83895	3.306	16.147	15.212	10.764	8.16	2.964	2.622	4.651	3.028	15.335	3.543	14.576	8.528	2.095	2.393	4.481	2.576	9.539	13.601	9.173	8.424	3.08	3.051	4.915
10.00562	3.606	16.31	15.832	10.578	8.258	3.002	2.805	4.78	3.186	15.869	3.639	14.506	8.627	2.02	2.518	4.464	2.73	9.725	14.306	9.359	8.179	3.147	2.918	5.528
10.17221	3.405	16.683	15.659	10.693	8.431	3.346	2.69	5.297	3.186	16.299	3.811	14.162	8.512	2.336	2.661	5.067	2.73	11.131	15.224	9.588	8.609	3.233	3.234	5.442
10.33889	3.499	17.097	17.852	10.932	8.525	3.497	2.898	5.651	3.654	16.857	4.134	15.12	8.463	2.43	2.869	5.419	3.053	12.002	14.977	9.425	9.106	3.411	3.442	6.052
10.50556	3.606	18.117	16.549	10.348	8.258	3.318	3.293	6.043	3.53	17.619	4.127	15.224	8.11	2.422	2.747	5.239	3.218	12.737	14.822	9.76	8.666	3.491	3.693	6.159
10.67221	3.924	17.046	18.004	10.664	8.12	3.584	2.869	6.442	3.588	17.638	4.45	14.931	8.601	2.427	2.899	5.731	3.31	14.053	16.308	9.474	8.84	3.385	3.727	6.48
10.83909	4.338	17.008	17.592	10.822	8.16	3.738	3.224	6.83	4.147	17.227	4.633	14.748	8.241	2.496	2.852	6.517	3.206	14.414	17.644	9.918	8.252	3.653	3.653	6.807
11.00568	4.596	17.094	18.51	10.764	8.218	4.024	3.396	7.604	4.233	16.883	5.063	15.436	8.786	2.668	3.11	6.431	3.55	14.872	15.58	9.517	8.424	3.911	3.653	7.581
11.17223	4.402	16.772	18.905	10.802	8.106	4.11	3.225	7.591	4.185	17.823	5.379	15.97	8.533	2.901	3.052	6.58	3.61	15.722	17.205	10.128	8.603	4.254	3.855	7.586
11.33898	4.581	17.341	19.301	11.157	8.283	4.685	3.342	8.037	4.627	16.925	5.237	15.269	8.395	2.934	3.223	7.19	3.872	16.689	17.168	9.332	8.293	4.397	4.001	8.425
11.50575	4.617	16.901	19.263	10.854	8.311	4.588	3.537	8.27	4.761	17.895	5.72	15.563	8.253	3.02	3.413	8.093	3.955	17.51	17.383	9.95	8.472	4.355	4.343	8.256
11.67248	5.395	16.73	19.035	11.138	8.315	4.945	3.747	8.802	5.215	16.975	5.958	14.652	8.515	3.053	3.511	8.033	3.99	18.294	17.418	9.686	8.241	4.425	4.119	9.209
11.83901	5.398	17.392	18.657	11.345	7.935	5.022	3.942	9.513	4.934	17.924	6.587	14.292	8.051	3.366	3.558	8.324	4.475	17.77	17.787	9.574	8.559	4.962	4.17	10.134
12.00573	5.715	17.652	19.032	11.027	8.108	5.022	4.057	9.397	5.166	17.114	6.413	14.957	8.08	3.54	3.933	8.96	4.62	18.175	18.943	9.747	8.761	4.875	4.574	10.163
12.17235	5.348	16.837	19.865	11.24	8.344	5.312	4.031	10.052	5.293	17.02	6.677	14.684	8.171	3.313	3.703	8.912	4.682	18.313	18.185	10.248	8.189	4.933	4.201	10.433
12.33897	5.629	17.612	18.388	10.883	8.2	5.432	4.149	10.343	5.712	16.673	7.169	14.778	7.882	3.688	3.969	9.508	4.768	18.165	17.519	10.181	7.868	5.027	4.925	10.597
12.50566	5.913	18.021	19.113	11.774	8.047	6.0	4.313	10.778	5.594	17.542	7.276	14.893	8.047	3.796	3.901	9.995	5.165	18.804	16.857	9.858	8.121	5.045	4.917	11.141
12.67259	6.25	17.979	19.186	11.417	8.125	5.992	4.421	11.43	5.901	17.096	7.759	14.882	7.779	4.018	3.894	10.765	5.156	18.242	17.538	9.935	7.766	5.904	4.938	12.344
12.83925	6.894	17.635	18.468	11.167	7.849	6.323	4.318	11.318	6.775	17.532	8.001	15.205	7.791	3.943	4.139	11.61	5.457	18.852	17.369	10.176	7.373	5.456	4.979	11.833
13.00587	6.524	17.227	17.831	11.748	8.089	6.389	4.385	12.93	6.632	18.509	7.98	15.897	7.568	4.008	4.235	11.813	5.435	17.724	17.223	10.123	7.727	6.129	4.901	12.326
13.17248	6.697	17.775	19.013	12.324	7.887	6.706	4.875	12.93	6.459	18.48	8.355	15.494	7.741	4.152	4.235	11.813	5.377	18.444	17.396	10.469	7.583	6.1	5.218	13.594
13.33917	7.327	18.587	18.785	12.004	7.647	6.64	4.722	13.05	6.919	17.157	8.463	15.177	7.156	4.347	4.571	12.62	5.861	18.419	17.773	10.176	7.777	6.033	5.152	14.372
13.50578	7.32	18.192	19.052	11.215	8.034	7.317	4.965	13.376	6.829	17.567	8.912	14.887	7.485	4.593	4.87	13.485	6.454	18.483	16.823	10.137	7.329	5.985	5.367	14.428
13.67245	7.347	17.979	18.031	11.504	7.605	7.436	4.941	14.491	6.941	18.713	9.578	15.69	7.432	4.798	4.847	13.942	5.994	18.704	17.798	10.455	7.563	6.164	5.659	14.134
13.83921	7.922	17.607	18.236	11.789	7.77	7.573	5.279	14.844	7.142	17.821	9.544	15.431	7.626	4.762	4.635	14.145	6.796	18.274	16.528	10.479	7.498	6.357	5.796	15.376
14.00587	7.837	17.879	18.881	11.732	7.996	7.512	4.986	15.465	7.783	17.975	9.803	16.015	7.216	4.876	5.237	14.556	6.303	18.255	17.606	10.769	7.176	6.872	6.169	14.919
14.17253	7.769	17.779	17.942	11.288	7.814	7.475	5.383	16.03	7.916	17.847	9.533	16.119	7.555	5.185	5.171	14.863	6.786	18.474	17.42	10.296	7.225	7.211	6.132	16.036
14.33922	8.108	17.966	17.542	12.435	7.613	7.626	6.085	16.604	7.799	18.292	10.213	14.757	7.443	5.196	5.405	15.158	7.087	19.093	18.296	10.282	7.55	7.041	5.965	16.793
14.50587	8.966	18.602	17.405	11.732	7.562	7.946	5.826	15.465	8.217	17.715	9.89	15.263	7.303	5.194	5.092	14.701	7.056	19.268	17.114	10.856	7.523	7.075	5.996	16.106
14.6726	8.85	17.966	18.997	11.587	7.736	8.641	5.565	16.131	8.448	17.368	10.382	16.276	7.564	5.31	5.497	15.743	7.056	18.921	17.519	11.03	7.408	7.335	6.169	17.495
14.83921	8.103	17.827	18.801	11.737	7.711	8.182	5.511	16.573	8.917	18.619	10.647	14.603	7.047	5.981	5.53	16.415	7.466	19.391	16.657	10.948	7.614	7.253	6.521	17.473
15.00613	9.227	17.908	17.839	11.848	7.707	8.583	5.912	16.855	8.304	17.946	10.816	16.305	7.332	5.831	5.96	16.177	7.316	18.95	17.635	11.03	7.321	7.885	6.256	17.322
15.17278	9.501	18.085	18.483	11.981	7.704	8.692	6.513	16.448	8.691	18.299	10.979	16.315	7.184	5.678	5.898	16.878	8.03	19.475	16.776	11.077	7.143	7.736	6.308	16.925
15.3393	8.748	17.613	17.715	12.062	7.855	8.764	5.889	17.06	8.611	18.607	11.291	15.309	7.451	6.275	5.906	18.287	8.253	19.437	16.786	10.954	7.296	8.006	6.784	17.285
15.50602	9.498	18.24	18.489	12.205	8.004	9.084	6.674	16.87	9.329	18.307	11.637	15.853	7.485	6.42	6.2	17.291	8.252	19.223	16.489	11.184	7.242	7.604	6.67	17.913
15.67272	9.335	18.047	17.616	12.468	7.923	9.278	6.487	17.945	9.846	18.517	10.853	16.164	7.492	6.357	6.501	16.978	8.453	19.289	16.132	11.213	7.281	7.992	6.948	18.497
15.83933	10.442	18.868	17.899	11.583	7.814	9.127	6.601	17.616	10.158	18.095	11.478	15.552	7.149	6.434	6.387	17.31	8.586	19.736	16.71	11.026	7.081	8.167	6.51	18.222
16.00606	10.61	18.34	18.24	12.795	7.462	9.615	6.741	17.783	9.862	18.494	11.386	16.561	7.609	6.777	6.325	17.738	9.015	19.787	16.501	11.455	7.338	8.192	6.766	17.694
16.17274	10.656	18.273	17.332	12.491	7.822	10.151	6.668	17.777	10.489	18.514	10.764	15.39	7.331	7.169	6.511	18.019	8.712	18.996	16.896	11.355	7.292	7.915	6.867	17.104
16.33941	10.338	18.877	17.591	12.031	7.744	9.635	6.732	18.433	10.632	18.365	11.174	16.23	7.34	6.883	6.664	17.87	9.092	19.31	17.271	11.706	7.271	8.357	7.394	18.55
16.50619	10.332	18.841	18.106	12.258	7.971	9.717	6.814	16.688	10.539	18.213	11.892	15.298	7.481	7.139	6.399	16.994	10.013	18.58	16.946	11.932	7.441	8.613	6.869	18.37
16.67281	10.732	17.627	18.162	12.768	7.863	10.107	6.942	17.336	10.566	18.679	11.243	15.089	7.518	7.242	6.611	17.866	9.742	18.493	15.203	12.008	7.624	8.711	7.083	17.384
16.8395	10.517	19.272	16.962	12.261	7.497	9.222	7.478	16.836	10.585	18.524	10.997	15.541	7.385	7.17	7.32	17.334	9.99	18.397	16.323	11.82	7.492	8.666	7.01	17.403
17.00618	11.173	17.894	18.11	13.005	8.012	9.561	7.498	17.459	11.443	18.714	11.683	15.82	7.464	7.421	7.195	17.93	9.341	18.413	15.382	12.187	7.367	8.919	7.233	18.232
17.17279	10.993	18.033	17.292	13.783	7.95	9.904	7.232	17.104	11.349	18.882	11.852	16.452	7.547	7.938	7.278	17.75	9.626	19.19	16.334	12.414	7.479	8.392	7.141	17.616
17.33955	11.586	18.341	17.393	12.688	8.065	9.618	7.352	17.418	11.22	17.708	11.336	15.187	7.634	7.219	7.483	18.145	10.476	18.626	15.475	12.916	7.48	8.771	7.464	17.922
17.50611	11.638	18.363	16.951	12.596	7.8	9.759	7.667	17.875	11.301	18.37	11.941	15.849	7.223	7.737	7.421	16.367	11.022	18.881	16.079	12.707	7.504	9.028	6.907	17.567
17.67287	11.19	19.482	16.503	13.747	8.111	9.14	7.135	16.931	11.143	18.705	11.611	16.012	7.447	7.784	7.76	17.951	10.779	19.274	16.561	12.813	7.467	8.555	7.247	18.948
17.83956	12.209	18.637	18.652	13.611	8.19	10.141	7.818	17.298	11.172	18.24	11.739	15.958	7.584	8.347	7.778	18.498	10.469	19.07	15.956	12.764	7.516	8.428	7.031	17.237
18.00618	11.713	17.827	16.707	13.544	7.85	9.691	7.396	17.105	12.101	17.892	11.698	15.605	7.708	8.336	7.992	17.08	11.534	18.868	15.458	12.784	7.496	8.38	7.363	17.467
18.17292	12.857	19.119	16.893	14.251	8.322	10.311	7.58	17.672	12.172	18.719	11.883	16.052	7.833	8.172	7.508	17.906	10.645	18.271	15.673	12.911	7.679	8.418	6.646	18.874
18.33962	11.851	18.28	17.338	13.627	8.202	9.547	7.397	17.523	11.858	18.52	11.146	15.425	7.799	8.449	8.342	17.852	10.514	19.495	16.322	13.186	7.528	8.876	7.306	17.894
18.50627	12.414	18.468	16.045	13.812	8.298	9.933	7.725	17.336	11.378	18.011	11.852	15.176	7.808	8.634	7.278	18.127	11.192	18.812	15.638	13.342	7.856	8.45	6.967	16.717
18.67288	12.025	19.353	16.149	13.772	8.463	9.837	7.832	17.06	11.684	18.259	11.987	15.512	7.973	8.913	7.559	18.026	11.152	18.074	16.728	13.447	8.195	8.644	6.784	17.285
18.83962	12.615	19.401	16.359	13.832	8.567	10.064	8.146	17.317	11.756	19.959	11.55	15.983	7.932	8.856	7.957	17.752	11.765	18.348	16.097	13.595	8.156	8.954	7.037	17.499
19.00631	13.149	19.317	16.23	14.202	8.72	9.716	7.711	17.487	12.287	18.253	11.749	15.738	8.143	8.792	7.613	17.672	12.074	18.445	16.229	13.848	8.307	8.524	7.475	17.104
19.17299	12.824	18.885	16.655	13.925	8.484	9.691	8.151	16.627	11.705	18.92	11.206	15.727	8.285	8.716	7.439	17.933	11.771	18.297	15.667	14.095	8.074	9.221	6.518	17.592
19.3396	12.718	19.126	16.55	14.722	8.733	9.531	7.875	16.721	12.702	19.103	11.162	14.954	8.273	8.497	7.57	17.041	11.58	18.887	16.666	14.165	8.061	8.393	7.377	16.934
19.50652	12.764	18.947	16.272	14.44	8.784	10.374	7.728	16.781	11.938	18.922	11.047	16.625	8.557	8.561	7.828	17.208	12.317	19.374	17.176	14.146	8.113	8.65	6.966	17.737
19.67298	12.687	18.781	15.992	14.481	9.062	9.807	7.889	17.399	12.268	18.611	11.731	15.763	8.282	9.068	7.873	17.537	12.358	17.724	15.906	14.333	8.449	8.549	6.865	17.397
19.8397	12.962	19.028	16.004	14.813	8.983	9.816	7.374	17.648	11.932	18.624	11.858	15.629	8.465	8.672	8.668	17.522	11.817	18.581	15.131	14.926	8.458	8.82	6.641	17.061
20.00645	13.245	19.638	15.847	14.567	8.988	10.234	8.024	15.58	12.655	19.377	10.937	15.56	8.529	8.685	7.248	17.254	12.008	18.313	15.177	14.477	8.756	9.089	6.386	16.41
20.17314	12.901	20.215	15.597	15.105	9.195	9.531	8.165	16.242	12.248	18.853	11.134	15.483	8.647	9.052	7.888	16.994	12.254	18.229	14.579	14.665	8.523	8.594	6.503	16.797
20.3398	12.252	19.427	16.459	15.092	8.996	10.093	7.563	16.097	11.747	19.285	11.32	15.734	8.77	8.746	8.012	16.872	12.009	18.601	14.536	15.002	8.646	8.28	6.626	17.487
20.50639	13.492	19.472	15.136	14.906	9.308	9.937	7.321	16.548	12.928	18.835	11.776	16.276	9.081	8.997	7.799	17.907	12.55	18.879	14.875	14.612	8.899	8.563	6.529	16.746
20.67306	12.47	20.411	15.946	15.716	9.289	9.864	7.771	15.682	12.085	18.895	11.209	16.417	9.121	9.25	7.782	17.589	11.845	18.413	15.334	15.219	8.97	8.923	6.219	17.736
20.83979	13.133	19.143	15.59	15.156	9.234	9.864	7.072	16.717	12.308	19.379	11.704	16.556	9.094	8.926	7.58	16.237	12.568	18.199	14.221	15.358	8.738	8.372	6.397	16.473
21.00639	12.174	20.44	15.648	15.564	9.569	10.088	7.645	16.354	13.017	19.798	11.376	16.296	9.051	8.922	7.625	17.178	11.897	18.264	14.102	15.359	9.047	8.766	6.441	16.71
21.17319	12.701	19.862	15.648	15.506	9.562	10.171	7.493	16.566	12.583	19.833	10.787	16.414	9.074	8.744	7.794	16.889	12.481	19.174	13.574	15.564	9.333	8.701	6.113	16.478
21.33992	12.733	19.764	15.259	16.41	9.734	9.588	7.378	16.298	12.624	19.584	10.794	15.825	9.276	9.463	8.086	16.721	12.622	18.773	13.296	15.826	8.982	8.551	6.373	16.947
21.50664	12.745	20.894	15.094	16.539	9.831	9.774	8.004	15.902	12.373	19.891	11.333	16.277	9.109	8.711	7.625	15.413	12.458	19.402	14.246	15.838	9.343	8.56	6.294	16.959
21.6732	13.549	20.278	14.381	16.291	9.69	9.951	7.682	15.579	12.351	19.368	10.949	16.996	9.319	8.822	7.512	15.865	12.036	18.384	14.179	15.941	9.141	8.243	6.035	16.123
21.83985	12.542	20.843	14.946	16.364	9.854	9.093	7.411	16.321	12.113	19.309	11.887	15.808	9.573	9.002	7.854	16.415	12.399	18.789	13.892	16.251	9.22	8.67	6.375	16.108
22.00654	12.598	20.454	14.712	16.451	9.86	9.833	7.299	15.226	12.256	20.068	10.98	17.129	9.432	8.593	7.479	15.677	12.223	19.314	14.422	16.22	9.255	8.354	5.853	17.135
22.1732	12.84	20.726	15.247	16.075	10.012	9.485	7.686	15.381	11.558	19.722	11.719	16.783	9.466	8.716	7.571	15.507	12.64	18.293	13.723	16.373	9.348	8.359	6.004	15.497
