	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	ompR-1	proQ-1	ompR_proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	ompR-2	proQ-2	ompR_proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	ompR-3	proQ-3	ompR_proQ-3
0.01121	0.044	0.092	0.114	0.166	0.0	0.166	0.092	0.275	0.199	0.147	0.243	0.242	0.039	0.158	0.117	0.117	0.013	0.039	0.091	0.065	0.014	0.224	0.143	0.173
0.17136	0.0	0.0	0.0	0.026	0.089	0.0	0.0	0.027	0.0	0.057	0.0	0.0	0.0	0.064	0.0	0.0	0.072	0.0	0.053	0.0	0.0	0.058	0.0	0.286
0.33812	0.006	0.071	0.058	0.0	0.162	0.097	0.146	0.0	0.053	0.0	0.035	0.063	0.053	0.224	0.01	0.11	0.052	0.014	0.0	0.066	0.011	0.0	0.107	0.0
0.5048	0.024	0.086	0.102	0.101	0.203	0.235	0.144	0.039	0.071	0.11	0.171	0.194	0.128	0.0	0.157	0.236	0.054	0.091	0.047	0.068	0.066	0.078	0.157	0.051
0.67149	0.178	0.21	0.146	0.095	0.163	0.186	0.143	0.024	0.062	0.115	0.309	0.246	0.095	0.152	0.225	0.228	0.0	0.143	0.095	0.206	0.095	0.103	0.071	0.021
0.83816	0.175	0.157	0.129	0.245	0.336	0.207	0.207	0.09	0.133	0.108	0.247	0.399	0.273	0.121	0.309	0.205	0.038	0.076	0.08	0.391	0.142	0.311	0.215	0.257
1.00479	0.149	0.089	0.187	0.306	0.394	0.216	0.254	0.239	0.23	0.172	0.312	0.241	0.389	0.149	0.323	0.166	0.169	0.11	0.002	0.374	0.261	0.181	0.261	0.099
1.17145	0.238	0.194	0.312	0.461	0.519	0.18	0.391	0.086	0.217	0.219	0.414	0.424	0.461	0.375	0.291	0.217	0.307	0.182	0.1	0.476	0.39	0.337	0.342	0.226
1.33821	0.219	0.192	0.191	0.564	0.647	0.285	0.449	0.157	0.347	0.214	0.38	0.416	0.564	0.245	0.4	0.105	0.227	0.202	0.091	0.638	0.44	0.274	0.316	0.163
1.50496	0.114	0.299	0.15	0.609	0.69	0.277	0.421	0.142	0.167	0.261	0.344	0.378	0.554	0.251	0.395	0.185	0.283	0.275	0.023	0.658	0.488	0.348	0.286	0.208
1.67152	0.266	0.356	0.141	0.66	0.738	0.386	0.483	0.19	0.329	0.23	0.34	0.513	0.66	0.207	0.424	0.242	0.318	0.297	0.155	0.712	0.625	0.483	0.403	0.259
1.83821	0.173	0.364	0.278	0.632	0.735	0.277	0.495	0.219	0.276	0.204	0.37	0.457	0.632	0.31	0.488	0.222	0.331	0.353	0.153	0.688	0.685	0.512	0.47	0.259
2.00482	0.317	0.498	0.234	0.704	0.833	0.322	0.548	0.369	0.344	0.419	0.415	0.445	0.619	0.454	0.565	0.329	0.271	0.425	0.082	0.932	0.675	0.557	0.55	0.246
2.17166	0.25	0.466	0.348	0.817	0.75	0.321	0.598	0.213	0.131	0.305	0.414	0.473	0.817	0.387	0.59	0.212	0.265	0.369	0.055	0.902	0.645	0.444	0.432	0.19
2.33823	0.225	0.516	0.135	0.946	0.876	0.338	0.567	0.279	0.34	0.605	0.375	0.46	0.776	0.361	0.639	0.375	0.375	0.61	0.181	1.09	0.606	0.488	0.484	0.318
2.50495	0.376	0.718	0.332	1.003	0.904	0.396	0.601	0.18	0.384	0.607	0.489	0.46	0.833	0.343	0.672	0.322	0.212	0.554	0.152	1.036	0.806	0.517	0.574	0.29
2.67152	0.344	0.63	0.188	1.085	0.901	0.45	0.598	0.261	0.295	0.689	0.458	0.458	0.916	0.566	0.669	0.319	0.265	0.693	0.206	1.203	0.775	0.599	0.6	0.344
2.83833	0.333	0.725	0.531	1.092	1.075	0.429	0.781	0.369	0.347	0.754	0.436	0.491	1.12	0.47	0.622	0.358	0.306	0.671	0.182	1.241	0.811	0.463	0.64	0.293
3.00496	0.255	0.817	0.366	1.182	0.995	0.491	0.731	0.235	0.44	0.816	0.527	0.525	1.097	0.448	0.713	0.421	0.256	0.676	0.187	1.36	0.987	0.497	0.646	0.298
3.17163	0.224	0.875	0.372	1.442	1.228	0.41	0.617	0.2	0.262	0.791	0.503	0.558	1.101	0.502	0.715	0.394	0.341	0.737	0.079	1.504	0.962	0.473	0.59	0.19
3.33838	0.23	0.848	0.283	1.469	1.197	0.522	0.706	0.238	0.302	0.847	0.586	0.584	1.214	0.452	0.83	0.594	0.259	0.906	0.161	1.676	1.161	0.585	0.706	0.301
3.50503	0.365	0.923	0.497	1.657	1.354	0.51	0.839	0.319	0.497	0.95	0.603	0.685	1.486	0.558	0.819	0.47	0.193	0.951	0.289	1.978	1.348	0.572	0.839	0.259
3.67174	0.386	1.112	0.398	1.901	1.398	0.527	0.915	0.371	0.407	0.967	0.619	0.701	1.673	0.608	0.837	0.46	0.497	0.939	0.361	2.309	1.565	0.702	0.83	0.474
3.83841	0.354	0.942	0.489	2.302	1.688	0.502	0.886	0.421	0.371	0.998	0.595	0.706	1.734	0.576	0.924	0.376	0.325	1.0	0.282	2.623	1.51	0.735	0.915	0.479
4.00501	0.39	1.066	0.474	2.654	1.615	0.485	0.952	0.369	0.375	0.839	0.578	0.917	1.887	0.527	0.877	0.699	0.25	0.983	0.324	2.831	1.72	0.719	0.953	0.52
4.17172	0.471	1.308	0.674	2.98	1.847	0.577	0.884	0.317	0.383	1.132	0.755	0.894	2.095	0.551	0.947	0.484	0.38	0.989	0.382	3.333	2.045	0.724	1.112	0.524
