	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
0.0101	0.158	0.116	0.306	0.2	0.106	0.207	0.078	0.201	0.137	2.744	0.294	0.144	0.158	0.166	0.192	0.037	0.201	0.217	1.498	0.261	0.114	0.18	0.141	0.112	0.285	0.342	0.138	0.196	0.329	0.223
0.17173	0.046	0.003	0.086	0.008	0.0	0.073	0.029	0.061	0.0	0.035	0.044	0.034	0.022	0.0	0.0	0.014	0.0	0.021	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0
0.33844	0.0	0.076	0.143	0.014	0.029	0.043	0.0	0.098	0.078	0.0	0.035	0.0	0.0	0.052	0.126	0.0	0.065	0.0	0.044	0.063	0.054	0.0	0.042	0.04	0.031	0.037	0.023	0.063	0.048	0.083
0.5051	0.085	0.139	0.133	0.04	0.078	0.147	0.106	0.24	0.03	0.099	0.101	0.071	0.026	0.124	0.13	0.063	0.175	0.083	0.134	0.286	0.299	0.093	0.189	0.155	0.106	0.148	0.181	0.087	0.065	0.157
0.67178	0.098	0.158	0.17	0.083	0.234	0.095	0.085	0.223	0.086	0.127	0.067	0.158	0.157	0.183	0.237	0.202	0.241	0.182	0.181	0.23	0.21	0.231	0.205	0.229	0.196	0.068	0.123	0.125	0.126	0.071
0.8384	0.14	0.174	0.153	0.101	0.22	0.107	0.158	0.145	0.114	0.157	0.094	0.159	0.206	0.155	0.261	0.049	0.064	0.193	0.078	0.31	0.204	0.131	0.161	0.184	0.253	0.277	0.54	0.194	0.16	0.103
1.00521	0.155	0.194	0.235	0.158	0.124	0.128	0.181	0.159	0.209	0.193	0.128	0.076	0.174	0.222	0.263	0.11	0.184	0.117	0.186	0.238	0.319	0.152	0.178	0.29	0.191	0.159	0.16	0.177	0.139	0.141
1.1718	0.01	0.202	0.22	0.176	0.2	0.172	0.167	0.194	0.115	0.22	0.153	0.194	0.253	0.311	0.255	0.102	0.203	0.151	0.163	0.362	0.303	0.252	0.367	0.237	0.328	0.239	0.188	0.181	0.169	0.109
1.33847	0.161	0.206	0.261	0.13	0.212	0.152	0.208	0.192	0.288	0.213	0.204	0.186	0.238	0.274	0.334	0.181	0.308	0.12	0.196	0.42	0.403	0.348	0.279	0.299	0.4	0.345	0.241	0.27	0.224	0.133
1.50519	0.107	0.184	0.199	0.1	0.151	0.151	0.177	0.199	0.231	0.247	0.176	0.19	0.3	0.248	0.306	0.123	0.29	0.187	0.143	0.378	0.261	0.297	0.226	0.246	0.29	0.297	0.215	0.216	0.198	0.137
