	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
0.00503	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17153	0.217	0.21	0.498	0.343	0.208	0.576	0.294	0.526	0.685	0.577	0.601	0.446	0.422	0.495	0.44	0.819	0.758	0.535	0.443	0.458	0.434	0.501	0.446	0.769	0.499	0.521	0.248	0.537	0.49	0.552	0.64	0.683	0.695	0.611	0.702	0.583	0.699	0.622	0.668
0.33829	0.771	0.394	0.79	0.38	0.412	0.449	0.413	0.762	0.865	0.739	0.914	0.541	0.796	0.592	0.556	1.197	0.997	0.728	0.762	0.455	0.72	0.587	0.532	1.182	0.611	0.571	0.494	0.526	0.485	0.526	0.547	0.856	0.696	0.641	0.728	0.463	0.894	0.508	0.547
0.50498	0.45	0.495	0.782	0.455	0.739	0.749	0.404	0.893	0.91	0.898	0.989	0.756	1.067	0.696	0.659	1.243	1.07	0.77	0.976	0.614	0.851	0.662	0.662	0.975	0.515	0.7	0.624	0.516	0.558	0.656	0.622	0.987	0.687	0.632	0.635	0.482	0.885	0.526	0.65
0.67171	0.224	0.292	0.79	0.577	0.609	0.869	0.498	1.043	1.071	1.023	1.112	0.85	1.021	0.788	0.838	1.286	1.231	0.998	0.936	0.598	0.918	0.757	0.786	1.135	0.652	0.747	0.61	0.53	0.605	0.533	0.747	0.885	0.726	0.979	0.647	0.522	0.925	0.566	0.691
0.83837	0.547	0.562	0.79	0.548	0.524	0.701	0.637	0.986	0.949	0.907	1.054	0.737	1.216	0.872	0.836	1.253	1.109	0.895	1.014	0.567	1.0	0.81	0.727	1.238	0.779	0.878	0.662	0.61	0.876	0.61	0.799	0.996	0.808	0.809	0.784	0.659	0.95	0.535	0.743
1.00501	0.379	0.422	0.678	0.548	0.58	0.757	0.637	1.014	0.949	1.103	0.97	0.737	0.992	0.788	0.836	1.336	1.193	0.784	1.014	0.567	1.0	0.894	0.755	1.098	0.611	0.822	0.634	0.582	0.904	0.526	0.743	0.912	0.78	0.976	0.784	0.799	0.95	0.591	0.743
1.17165	0.656	0.193	0.863	0.425	0.681	0.858	0.682	0.919	1.028	0.87	1.016	0.782	1.065	0.805	0.826	1.188	1.188	0.979	0.951	0.502	1.018	0.857	0.83	1.261	0.776	0.76	0.765	0.601	0.842	0.631	0.818	1.042	0.742	0.883	0.719	0.678	0.913	0.554	0.762
1.33835	0.511	0.331	0.784	0.374	0.574	0.668	0.631	0.98	0.913	1.013	0.964	0.675	1.042	0.699	0.83	1.33	1.185	0.97	1.007	0.449	0.994	0.832	0.749	0.979	0.659	0.787	0.572	0.576	0.953	0.491	0.793	0.99	0.774	0.97	0.694	0.625	0.972	0.529	0.737
1.50508	0.147	0.331	0.7	0.486	0.742	0.836	0.659	0.896	1.109	1.013	0.964	0.815	1.126	0.866	0.83	1.274	1.102	0.97	1.091	0.533	0.966	0.832	0.749	0.979	0.659	0.815	0.628	0.603	0.897	0.519	0.821	0.934	0.69	0.97	0.778	0.709	0.888	0.585	0.737
1.6717	0.447	0.181	0.715	0.473	0.589	0.766	0.73	0.939	1.044	0.917	1.007	0.69	1.057	0.797	0.845	1.207	1.204	0.965	0.857	0.493	0.897	0.68	0.765	0.941	0.595	0.833	0.504	0.592	0.887	0.425	0.641	0.809	0.649	0.874	0.654	0.641	0.876	0.685	0.753
1.83832	0.267	0.226	0.706	0.408	0.692	0.841	0.581	0.986	1.341	1.019	0.998	0.681	1.132	0.788	0.836	1.364	1.249	0.951	0.902	0.623	1.0	0.978	0.755	1.014	0.583	0.878	0.578	0.666	0.904	0.526	0.827	0.912	0.724	0.892	0.645	0.715	0.978	0.535	0.743
2.0051	0.224	0.292	0.706	0.324	0.609	0.729	0.526	1.015	1.071	0.967	1.028	0.766	1.021	0.929	0.838	1.37	1.119	1.026	1.02	0.654	0.918	0.841	0.786	0.939	0.708	0.831	0.666	0.558	0.913	0.617	0.859	0.829	0.669	0.979	0.759	0.747	1.009	0.538	0.691
2.1717	0.283	0.159	0.67	0.483	0.767	0.749	0.628	0.81	0.993	1.009	0.961	0.589	1.067	0.752	0.827	1.187	1.154	1.133	0.976	0.474	0.963	0.801	0.718	1.087	0.655	0.895	0.624	0.516	0.865	0.572	0.817	0.903	0.715	0.883	0.691	0.65	0.941	0.61	0.734
