	MG1655-1	IBUA8-3_1	phoU-1	cheR-1	rph-1	MG1655-2	IBUA8-3_2	phoU-2	cheR-2	rph-2	MG1655-3	IBUA8-3_3	phoU-3	cheR-3	rph-3
35.00826	2.448	35.305	2.5	2.159	2.06	2.777	34.319	2.746	2.517	2.354	4.482	34.721	3.963	2.684	2.421
35.17509	2.608	34.324	2.374	2.354	2.288	2.709	36.558	2.942	2.548	2.681	4.515	35.809	3.866	2.617	2.518
35.34167	2.661	34.18	2.521	2.373	2.175	2.86	34.868	2.829	2.6	2.667	4.599	35.566	3.752	2.57	2.438
35.50836	2.45	36.518	2.448	2.394	2.163	3.176	30.692	2.981	2.654	2.655	4.391	32.476	3.907	2.888	2.525
35.67502	2.562	33.983	2.521	2.34	2.142	2.794	27.804	2.829	2.534	2.47	4.566	29.849	3.752	2.866	2.504
35.8418	2.589	33.829	2.447	2.366	2.168	3.149	26.241	2.822	2.692	2.562	4.592	25.954	3.942	2.596	2.727
36.0084	2.598	32.581	2.525	2.377	2.146	2.896	23.542	2.865	2.538	2.769	4.866	24.897	3.789	2.771	2.705
36.17511	2.713	29.28	2.744	2.559	2.262	3.078	24.638	3.047	2.654	2.853	4.786	24.448	4.17	3.052	2.821
36.34167	2.654	26.999	2.611	2.432	2.267	3.05	23.319	2.954	2.593	2.759	4.953	24.772	4.04	2.76	2.53
36.50848	2.684	24.822	2.607	2.56	2.362	3.08	23.606	3.016	2.622	2.624	4.752	22.727	4.036	2.757	2.625
36.67513	2.651	23.279	2.738	2.461	2.428	2.948	22.49	3.016	2.787	2.722	4.883	22.53	3.971	3.118	2.691
36.84178	2.694	23.7	2.62	2.472	2.372	2.991	22.219	3.059	2.698	2.766	4.895	22.72	3.982	3.227	2.635
37.00855	2.993	22.92	2.46	2.574	2.277	3.356	21.932	3.03	2.735	2.769	5.194	23.057	4.348	2.968	2.738
37.17519	2.769	21.885	2.665	2.647	2.481	2.969	22.08	2.971	2.84	2.941	5.103	23.14	4.158	3.074	2.613
37.34187	2.792	21.663	2.455	2.833	2.438	2.991	22.121	2.862	2.797	2.766	5.19	22.26	4.048	3.03	2.8
37.50853	2.795	21.671	2.525	2.837	2.442	3.192	21.669	3.063	2.801	2.835	5.063	21.677	4.413	2.968	2.803
37.67526	2.802	21.885	2.632	2.647	2.481	3.1	21.85	2.872	2.808	3.138	5.103	23.172	3.961	2.943	2.646
37.84184	2.98	22.215	2.583	2.792	2.594	3.279	21.916	3.084	2.822	2.856	5.086	23.009	4.108	3.155	3.055
38.00869	2.881	21.359	2.682	2.661	2.792	3.377	21.323	3.182	2.756	2.988	5.382	22.121	4.108	3.056	2.923
38.17533	3.176	20.948	2.804	2.658	2.625	3.244	21.406	2.95	2.885	3.051	5.441	22.629	4.069	3.052	2.789
38.34207	2.901	21.194	2.764	2.745	2.481	3.166	21.093	2.971	2.939	2.973	5.465	21.923	4.06	3.271	2.712
38.50866	2.993	21.277	2.723	2.738	2.836	3.356	20.946	3.03	3.031	3.065	5.621	20.888	4.183	3.165	3.033
38.67531	2.966	20.701	2.764	2.745	2.679	3.199	22.178	3.168	2.939	2.941	5.859	21.2	4.158	3.238	3.041
38.84195	3.038	20.637	2.632	2.848	2.65	3.368	22.374	3.009	2.911	3.011	5.598	21.857	4.029	3.045	3.077
39.00868	2.979	20.357	2.935	2.625	2.723	3.277	21.439	3.147	2.819	3.248	5.704	21.349	4.069	3.151	3.216
39.17534	3.137	20.473	2.796	2.913	2.617	3.434	21.784	3.107	3.009	3.043	5.696	21.529	4.127	3.504	3.012
39.34209	3.272	22.305	2.842	2.69	2.854	3.505	22.006	3.08	3.048	3.05	5.74	22.474	4.104	3.348	3.051
39.50875	3.108	21.153	2.744	2.756	2.854	3.374	20.789	3.245	3.048	3.346	6.365	21.849	4.367	3.282	3.315
39.67547	3.245	21.482	2.644	2.957	2.858	3.247	21.217	2.954	3.086	2.956	6.201	22.637	4.303	3.154	3.121
39.842	3.232	20.826	2.627	2.91	2.844	3.529	21.316	3.235	2.973	3.204	5.987	21.751	4.222	3.238	3.205
40.00875	3.387	20.389	2.821	3.067	2.934	3.553	21.669	3.325	3.326	3.262	6.443	22.564	4.183	3.33	3.132
40.1755	3.453	21.178	2.755	2.968	2.836	3.586	20.65	3.26	3.129	3.262	6.344	21.972	4.15	3.33	3.296
40.34211	3.384	20.677	2.817	2.964	3.029	3.648	20.872	3.223	3.093	3.226	6.242	21.011	4.179	3.523	3.095
40.50885	3.394	20.636	2.764	2.975	2.975	3.659	20.469	3.135	3.136	3.368	6.517	20.937	4.553	3.37	3.336
40.67558	3.442	21.449	2.644	2.76	2.858	3.543	21.447	3.019	3.217	3.12	6.43	21.291	4.139	3.319	3.187
40.8421	3.486	20.981	2.755	3.034	3.066	3.488	20.289	3.325	3.031	3.525	6.837	21.381	4.315	3.034	3.329
41.00887	3.639	20.267	2.808	3.121	3.055	3.773	20.758	3.151	3.381	3.35	6.792	21.586	4.303	3.516	3.187
41.17554	3.482	20.611	3.047	3.129	3.062	3.681	20.084	3.158	3.421	3.324	6.702	21.866	4.245	3.425	3.424
41.34214	3.492	20.405	2.863	3.041	3.04	3.856	20.074	3.135	3.235	3.434	7.207	21.331	4.454	3.732	3.6
41.50899	3.482	19.823	2.718	2.964	3.161	3.78	20.839	2.862	3.224	3.456	7.194	21.504	4.344	3.326	3.391
41.67566	3.657	20.142	2.764	3.14	3.172	3.791	20.896	3.07	3.301	3.368	6.912	20.444	4.06	3.633	3.336
41.84221	3.693	19.624	2.768	3.176	3.241	3.761	20.082	3.237	3.304	3.437	6.949	21.339	4.36	3.538	3.735
42.00896	3.956	20.052	2.933	3.242	3.241	3.86	20.806	3.172	3.535	3.437	7.31	20.945	4.195	3.472	3.34
42.17563	3.591	19.616	2.863	3.271	3.336	4.152	20.008	3.365	3.301	3.467	7.372	20.509	4.257	3.765	3.501
42.34237	3.843	20.316	2.915	3.227	3.391	3.977	20.544	3.223	3.52	3.751	7.589	21.307	4.442	3.457	3.424
42.50906	3.636	20.456	2.738	3.052	3.38	3.933	20.257	3.114	3.476	3.74	7.444	20.987	4.398	3.512	3.38
42.6757	3.646	19.199	2.817	3.162	3.128	3.944	20.149	3.322	3.487	3.62	7.392	21.504	4.147	3.622	3.588
42.84237	3.975	20.808	2.915	3.26	3.391	4.141	20.281	3.322	3.487	3.653	7.589	21.011	4.541	3.654	3.523
43.00914	3.946	20.685	2.821	3.33	3.395	3.849	20.19	3.128	3.524	3.624	7.363	21.677	4.183	3.56	3.592
43.17572	4.055	19.361	2.933	3.143	3.471	3.959	20.181	3.237	3.6	3.536	7.869	20.287	4.458	3.867	3.702
43.34246	4.066	19.779	2.781	3.154	3.581	3.871	20.204	3.248	3.611	3.646	7.784	20.87	4.207	3.648	3.845
43.50911	4.0	19.45	2.781	3.352	3.516	4.068	20.336	3.347	3.644	3.843	7.686	20.738	4.009	3.549	3.647
43.67575	3.953	19.518	2.863	3.436	3.599	4.383	20.107	3.168	3.728	3.73	8.161	20.937	4.421	3.929	3.895
43.84241	4.347	20.044	2.928	3.37	3.698	3.889	20.304	3.431	3.597	3.828	7.799	20.246	4.454	3.863	3.928
44.00918	4.395	20.174	2.88	3.352	3.713	4.167	20.501	3.347	3.513	3.679	7.718	21.133	4.536	3.648	4.042
44.17574	4.259	19.739	2.777	3.381	3.512	4.361	19.999	3.376	3.443	3.642	7.911	21.158	4.367	3.677	3.71
44.34246	4.106	20.486	2.888	3.689	3.918	4.405	20.154	3.354	3.619	4.049	8.419	20.952	4.445	4.051	4.05
44.50919	4.205	20.355	2.888	3.557	3.721	3.977	19.759	3.288	3.816	3.884	8.583	20.59	4.478	3.853	3.82
