	MG1655-1	IBUA8-3_1	phoU-1	cheR-1	rph-1	MG1655-2	IBUA8-3_2	phoU-2	cheR-2	rph-2	MG1655-3	IBUA8-3_3	phoU-3	cheR-3	rph-3
19.00679	0.585	30.118	1.166	0.757	0.559	0.752	31.824	1.542	1.017	0.657	1.111	32.095	1.315	1.02	0.494
19.17347	0.775	29.718	1.3	1.048	0.488	0.778	30.439	1.57	0.88	0.585	1.137	32.026	1.475	0.95	0.686
19.34012	0.673	32.044	1.197	0.749	0.715	0.873	31.12	1.501	0.877	0.615	1.298	29.614	1.373	0.848	0.584
19.50695	0.673	30.563	1.263	0.749	0.584	0.873	34.048	1.369	1.041	0.714	1.232	30.568	1.373	0.947	0.584
19.67356	0.764	31.025	1.35	0.871	0.575	0.766	32.568	1.36	1.032	0.672	1.191	32.641	1.364	1.003	0.608
19.84025	0.706	31.287	1.296	0.782	0.617	0.84	30.33	1.402	0.877	0.714	1.298	30.568	1.538	1.045	0.814
20.00697	0.78	30.298	1.308	0.791	0.626	0.849	31.217	1.576	1.051	0.789	1.241	30.401	1.647	1.055	0.791
20.17363	0.706	30.596	1.362	0.881	0.617	0.84	33.785	1.567	0.778	0.78	1.496	30.667	1.67	1.045	0.617
20.34033	0.723	31.548	1.287	0.9	0.536	0.957	31.875	1.684	1.159	0.633	1.448	32.376	1.459	1.031	0.734
20.50702	0.772	31.089	1.197	0.848	0.682	0.939	31.909	1.698	0.976	0.78	1.331	31.522	1.571	1.111	0.683
20.67363	0.791	31.332	1.178	0.931	0.766	0.925	32.546	1.65	1.059	0.797	1.317	31.765	1.653	1.227	0.799
20.8403	0.747	30.305	1.36	0.852	0.753	0.913	31.19	1.538	1.014	0.752	1.37	31.723	1.64	1.017	0.589
21.007	0.865	31.233	1.387	0.874	0.61	0.966	31.099	1.758	1.233	0.807	1.424	30.745	1.564	1.105	0.808
21.17368	0.706	30.497	1.263	0.848	0.682	0.972	30.692	1.698	1.074	0.714	1.496	31.358	1.768	1.111	0.88
21.34037	0.772	31.089	1.296	0.946	0.584	0.873	32.172	1.764	0.943	0.879	1.496	31.16	1.735	1.111	0.88
21.50708	0.78	31.187	1.505	0.857	0.692	0.981	31.941	1.576	1.051	0.888	1.505	30.204	1.647	1.121	0.692
21.67376	0.84	29.595	1.319	1.043	0.681	0.94	31.3	1.762	1.139	0.845	1.463	31.308	1.732	1.076	0.879
21.84039	0.871	31.682	1.461	0.979	0.781	0.939	30.034	1.896	0.976	0.78	1.627	31.851	1.67	1.407	0.814
22.00707	0.961	31.945	1.482	0.97	0.673	1.062	32.666	1.689	1.131	0.869	1.684	32.247	1.758	1.233	0.772
22.17377	0.799	30.542	1.486	0.973	0.775	1.065	32.381	1.856	1.134	0.774	1.588	31.534	1.762	1.203	0.709
22.34055	0.882	30.144	1.476	0.992	0.728	0.984	32.248	1.777	1.087	0.99	1.804	30.049	1.782	1.256	0.892
22.50718	0.805	30.958	1.494	1.045	0.715	1.071	31.482	1.764	1.14	0.911	1.726	31.028	1.735	1.21	0.88
22.67392	0.906	31.758	1.695	0.95	0.784	1.14	30.604	1.8	1.275	0.98	1.992	31.467	1.936	1.147	1.015
22.84052	0.854	30.237	1.536	1.059	0.697	0.954	32.108	1.843	1.22	0.893	1.806	30.21	2.011	1.388	0.96
23.00715	0.961	30.17	1.547	0.97	0.87	1.029	32.732	1.952	1.164	1.067	1.684	32.247	1.956	1.233	1.068
23.17387	0.906	29.915	1.761	1.147	0.784	0.975	32.808	2.096	1.176	0.914	1.696	33.474	1.936	1.345	1.015
23.3405	1.045	30.709	1.626	1.02	0.855	1.113	31.299	1.87	1.345	0.887	1.8	31.569	2.07	1.315	0.888
23.50726	0.952	30.402	1.568	1.059	0.697	1.119	31.812	1.745	1.22	0.959	1.872	30.605	1.945	1.223	1.058
23.67398	0.889	31.201	1.572	1.062	0.864	1.056	30.476	1.847	1.519	0.995	1.908	31.995	2.014	1.522	0.996
23.8406	0.98	31.103	1.56	1.053	0.855	1.211	31.134	1.936	1.247	1.051	1.899	30.256	2.004	1.315	0.987
24.00731	1.167	31.747	1.658	1.177	0.715	1.137	31.021	1.994	1.272	1.076	2.187	29.976	2.031	1.243	1.012
24.17387	1.045	31.366	1.659	1.118	0.888	1.113	32.415	2.034	1.214	1.15	1.964	30.781	2.366	1.48	1.085
24.34074	1.092	31.715	1.679	1.068	0.903	1.325	31.253	2.05	1.262	1.067	1.98	32.444	2.317	1.43	1.167
24.50722	1.2	30.3	1.757	1.243	1.077	1.235	32.6	2.06	1.469	1.175	2.187	31.325	2.426	1.605	1.209
24.67399	1.101	32.044	1.658	1.243	0.913	1.235	31.811	2.06	1.436	1.109	2.055	31.95	2.229	1.407	1.209
24.84073	1.191	31.617	1.778	1.167	0.969	1.259	31.581	2.248	1.361	1.362	2.046	31.885	2.383	1.43	1.265
25.00741	1.2	30.695	1.757	1.177	0.913	1.466	32.107	1.994	1.37	1.175	2.088	30.272	2.393	1.506	1.341
25.17406	1.211	31.725	1.707	1.157	1.024	1.379	32.314	2.007	1.449	1.121	2.1	32.058	2.341	1.552	1.189
25.34081	1.203	31.692	1.892	1.18	1.015	1.469	32.315	2.162	1.374	1.375	2.157	31.072	2.496	1.509	1.278
25.50753	1.2	30.859	1.79	1.275	0.979	1.367	31.482	1.994	1.469	1.306	2.285	30.634	2.525	1.703	1.209
25.67406	1.194	31.627	1.65	1.269	1.005	1.624	31.099	2.086	1.331	1.267	2.279	31.304	2.584	1.697	1.334
25.84073	1.268	30.277	1.761	1.246	1.015	1.436	32.117	2.162	1.439	1.276	2.354	31.072	2.496	1.509	1.179
26.00747	1.161	30.476	1.782	1.236	1.104	1.328	31.493	2.185	1.43	1.3	2.279	31.337	2.419	1.795	1.203
26.1742	1.26	31.956	1.847	1.368	1.071	1.591	32.743	2.35	1.463	1.3	2.378	31.041	2.617	1.729	1.433
26.34082	1.382	31.102	1.638	1.391	1.094	1.352	30.574	2.175	1.552	1.258	2.368	29.629	2.672	1.719	1.325
26.50756	1.257	30.729	1.942	1.331	1.002	1.588	33.061	2.248	1.525	1.461	2.44	31.819	2.679	1.726	1.43
26.67423	1.388	32.307	1.975	1.364	1.101	1.325	31.68	2.28	1.525	1.461	2.276	30.636	2.613	1.627	1.199
26.84092	1.29	31.255	1.876	1.233	1.068	1.522	31.976	2.083	1.525	1.56	2.374	30.833	2.777	1.693	1.43
27.00749	1.341	32.089	1.758	1.348	1.15	1.605	32.218	2.067	1.641	1.576	2.556	31.077	2.661	1.611	1.61
27.17415	1.544	31.42	1.93	1.355	1.157	1.71	31.845	2.468	1.549	1.353	2.463	30.309	2.701	1.683	1.453
27.34091	1.454	30.565	2.041	1.562	1.199	1.719	32.074	2.379	1.624	1.494	2.539	32.148	2.876	1.496	1.364
27.50762	1.547	32.614	1.868	1.456	1.193	1.582	32.907	2.241	1.65	1.586	2.565	33.605	2.803	1.884	1.522
27.67425	1.436	31.552	1.819	1.476	1.147	1.766	32.207	2.425	1.605	1.475	2.421	31.362	2.789	1.706	1.509
27.84092	1.553	32.537	2.041	1.397	1.166	1.785	32.042	2.248	1.657	1.658	2.572	30.504	2.876	1.989	1.462
28.00769	1.577	31.092	2.225	1.552	1.288	1.874	31.944	2.271	1.647	1.55	2.759	31.393	2.865	1.88	1.716
28.17429	1.577	32.176	1.963	1.65	1.157	1.907	32.897	2.369	1.713	1.583	2.661	30.309	2.898	1.979	1.518
28.34097	1.58	30.807	2.032	1.456	1.357	1.779	31.954	2.471	1.65	1.586	2.762	32.061	2.967	1.982	1.653
28.50769	1.562	32.253	2.008	1.568	1.239	1.793	32.153	2.517	1.795	1.534	2.71	29.667	3.044	1.962	1.535
28.67447	1.571	31.957	2.152	1.545	1.183	1.967	32.481	2.231	1.641	1.773	2.753	30.091	3.186	2.005	1.709
28.8411	1.478	31.88	2.061	1.683	1.452	1.809	32.207	2.435	1.746	1.747	2.923	31.196	2.865	2.11	1.617
29.00778	1.849	32.504	2.238	1.693	1.396	1.917	34.113	2.544	1.854	1.56	2.933	32.378	3.106	1.891	1.627
29.17444	1.636	31.892	1.922	1.644	1.446	1.999	33.499	2.461	1.739	1.773	2.851	32.719	3.154	2.071	1.61
29.34118	1.774	31.913	2.127	1.486	1.485	2.006	32.404	2.435	1.746	1.681	3.219	32.51	3.26	2.012	1.617
29.50792	1.645	31.398	2.032	1.752	1.357	2.009	34.978	2.34	1.848	1.783	3.058	32.225	3.066	2.081	1.62
29.67455	1.884	32.022	2.242	1.664	1.498	1.986	33.729	2.547	1.956	1.892	2.97	33.178	3.274	2.091	1.729
29.84115	1.735	33.074	2.152	1.644	1.38	2.098	33.302	2.428	1.903	1.773	3.147	33.802	3.252	2.071	1.61
30.00784	1.786	32.713	2.143	1.795	1.498	2.084	34.321	2.547	2.055	1.892	3.266	33.047	3.209	2.091	1.827
30.17452	1.969	33.701	2.201	1.782	1.518	2.104	32.15	2.765	1.943	1.912	3.088	33.046	3.231	2.013	1.65
30.34138	1.858	34.149	2.086	1.868	1.373	2.091	35.166	2.488	2.028	1.866	3.174	33.858	3.183	2.098	1.768
30.50786	1.801	32.01	2.164	1.812	1.515	2.133	32.929	2.564	1.841	2.073	3.151	33.134	3.128	2.141	1.943
