	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
0.00502	0.387	0.0	0.056	0.086	0.498	0.064	0.233	0.212	0.097	0.318	0.311	0.262	0.126	0.106	0.336	0.19	0.139	0.054	0.0	0.06	0.016	0.0	0.0	0.157	0.109	0.186	0.017	0.117	0.174	0.0	0.404	0.12	0.462	0.194	0.211	0.312	0.242	0.121	0.398	0.079	0.445	0.193	0.512	0.358	0.272	0.074	0.162	0.416
0.17159	0.0	0.069	0.0	0.0	0.367	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.023	0.0	0.026	0.06	0.088	0.0	0.027	0.0	0.017	0.0	0.0	0.023	0.0	0.0	0.201	0.0	0.0	0.064	0.053	0.0	0.208	0.027	0.175	0.0	0.0	0.0	0.054	0.039	0.187	0.213
0.33843	0.234	0.241	0.21	0.137	0.227	0.143	0.292	0.284	0.63	0.102	0.0	0.119	0.196	0.231	0.019	0.018	0.15	0.117	0.202	0.051	0.071	0.209	0.249	0.124	0.0	0.054	0.0	0.118	0.022	0.055	0.198	0.013	0.0	0.109	0.004	0.0	0.0	0.086	0.128	0.004	0.0	0.063	0.029	0.014	0.027	0.059	0.0	0.0
0.50504	0.354	0.323	0.232	0.381	0.19	0.196	0.274	0.535	0.93	0.112	0.228	0.12	0.202	0.426	0.0	0.066	0.333	0.193	0.291	0.061	0.0	0.42	0.194	0.21	0.2	0.289	0.288	0.243	0.225	0.343	0.338	0.081	0.149	0.199	0.186	0.235	0.099	0.329	0.0	0.034	0.077	0.257	0.23	0.203	0.0	0.232	0.013	0.039
0.67172	0.319	0.429	0.277	0.47	0.125	0.2	0.306	0.41	0.952	0.245	0.22	0.37	0.256	0.496	0.105	0.364	0.387	0.217	0.377	0.325	0.028	0.483	0.39	0.475	0.243	0.37	0.453	0.366	0.151	0.508	0.351	0.095	0.143	0.288	0.239	0.186	0.042	0.242	0.066	0.088	0.076	0.4	0.29	0.306	0.036	0.197	0.098	0.179
0.83839	0.292	0.652	0.236	0.485	0.0	0.404	0.332	0.535	0.955	0.263	0.152	0.399	0.143	0.531	0.173	0.367	0.266	0.281	0.347	0.381	0.051	0.591	0.349	0.377	0.262	0.303	0.656	0.394	0.268	0.582	0.754	0.169	0.196	0.259	0.272	0.339	0.017	0.343	0.142	0.001	0.141	0.323	0.356	0.349	0.066	0.213	0.067	0.057
1.00519	0.215	0.648	0.274	0.66	0.16	0.277	0.413	0.509	1.04	0.285	0.061	0.433	0.343	0.57	0.193	0.321	0.432	0.349	0.371	0.441	0.026	0.599	0.439	0.592	0.336	0.393	0.658	0.401	0.286	0.557	0.548	0.222	0.226	0.259	0.439	0.213	0.125	0.318	0.119	0.045	0.261	0.3	0.531	0.344	0.05	0.285	0.142	0.142
1.17174	0.264	0.59	0.209	0.669	0.143	0.388	0.473	0.566	0.988	0.253	0.134	0.512	0.361	0.584	0.263	0.373	0.305	0.47	0.392	0.478	0.188	0.662	0.427	0.603	0.399	0.345	0.682	0.427	0.381	0.606	0.68	0.193	0.304	0.306	0.365	0.253	0.15	0.289	0.221	0.14	0.304	0.402	0.496	0.449	0.225	0.321	0.241	0.126
1.33833	0.569	0.682	0.243	0.723	0.173	0.311	0.423	0.645	0.982	0.423	0.173	0.612	0.399	0.592	0.276	0.524	0.458	0.376	0.38	0.588	0.11	0.667	0.513	0.582	0.508	0.447	0.699	0.447	0.472	0.701	0.538	0.262	0.245	0.401	0.388	0.286	0.221	0.358	0.239	0.152	0.289	0.446	0.503	0.363	0.21	0.349	0.282	0.289
1.5052	0.314	0.819	0.43	0.686	0.068	0.335	0.369	0.643	0.94	0.324	0.037	0.623	0.378	0.515	0.202	0.376	0.312	0.459	0.598	0.457	0.081	0.642	0.437	0.662	0.472	0.381	0.628	0.405	0.293	0.578	0.727	0.191	0.307	0.435	0.532	0.226	0.151	0.287	0.221	0.078	0.372	0.402	0.512	0.362	0.074	0.18	0.237	0.343
