	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
0.00497	0.92	0.426	0.119	0.184	0.054	0.11	0.0	0.0	0.394	0.682	0.154	0.466	0.13	0.073	0.192	0.0	0.277	0.095	0.252	0.952	0.058	0.063	0.093	0.082	0.575	0.292	0.134	0.173	0.122	0.217	0.077	0.279	0.225	0.171	0.071	0.803	0.305	0.0	0.148	0.304	0.053	0.144	0.0	0.066	0.226
0.17157	0.548	0.155	0.09	0.0	0.0	0.085	0.024	0.076	0.16	0.244	0.0	0.209	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.662	0.034	0.0	0.0	0.083	0.267	0.017	0.039	0.0	0.0	0.0	0.0	0.061	0.0	0.021	0.0	0.208	0.0	0.108	0.332	0.149	0.0	0.067	0.127	0.0	0.0
0.33833	0.132	0.099	0.121	0.153	0.109	0.0	0.115	0.088	0.09	0.175	0.087	0.116	0.03	0.179	0.002	0.128	0.036	0.091	0.075	0.369	0.0	0.008	0.199	0.0	0.024	0.0	0.0	0.032	0.033	0.062	0.023	0.012	0.056	0.174	0.089	0.13	0.002	0.126	0.0	0.0	0.035	0.0	0.012	0.0	0.001
0.50493	0.006	0.0	0.056	0.266	0.152	0.211	0.191	0.137	0.057	0.013	0.187	0.082	0.044	0.19	0.148	0.4	0.168	0.091	0.032	0.132	0.159	0.081	0.336	0.055	0.157	0.046	0.075	0.154	0.026	0.276	0.14	0.0	0.019	0.0	0.059	0.069	0.072	0.055	0.196	0.119	0.054	0.073	0.061	0.039	0.065
0.67171	0.121	0.037	0.0	0.233	0.178	0.224	0.279	0.063	0.159	0.141	0.166	0.057	0.095	0.182	0.249	0.367	0.168	0.123	0.102	0.0	0.251	0.241	0.456	0.44	0.161	0.074	0.107	0.261	0.185	0.277	0.074	0.046	0.175	0.176	0.088	0.026	0.143	0.219	0.164	0.038	0.056	0.184	0.228	0.164	0.139
0.83822	0.027	0.132	0.219	0.315	0.078	0.27	0.294	0.209	0.045	0.055	0.231	0.038	0.101	0.206	0.3	0.257	0.108	0.052	0.179	0.109	0.109	0.324	0.393	0.274	0.135	0.079	0.277	0.293	0.298	0.296	0.083	0.094	0.097	0.227	0.365	0.0	0.237	0.166	0.245	0.071	0.173	0.089	0.189	0.131	0.165
1.00493	0.0	0.053	0.118	0.238	0.167	0.284	0.387	0.22	0.067	0.023	0.35	0.073	0.188	0.143	0.227	0.274	0.229	0.213	0.142	0.336	0.258	0.363	0.505	0.371	0.161	0.156	0.357	0.316	0.214	0.297	0.196	0.127	0.144	0.326	0.065	0.222	0.3	0.453	0.265	0.186	0.21	0.235	0.201	0.164	0.184
1.17175	0.025	0.106	0.204	0.376	0.254	0.324	0.316	0.229	0.058	0.069	0.359	0.051	0.111	0.24	0.341	0.617	0.292	0.182	0.293	0.235	0.271	0.344	0.451	0.303	0.212	0.286	0.162	0.391	0.316	0.376	0.225	0.158	0.217	0.287	0.25	0.061	0.36	0.357	0.2	0.163	0.218	0.325	0.319	0.249	0.256
1.33827	0.135	0.191	0.293	0.298	0.207	0.284	0.411	0.24	0.163	0.119	0.343	0.142	0.118	0.341	0.266	0.307	0.141	0.098	0.092	0.302	0.148	0.301	0.509	0.402	0.212	0.283	0.243	0.415	0.258	0.35	0.148	0.192	0.239	0.223	0.33	0.177	0.342	0.347	0.303	0.116	0.145	0.337	0.387	0.283	0.276
1.50495	0.17	0.088	0.233	0.264	0.258	0.477	0.409	0.541	0.237	0.0	0.368	0.0	0.14	0.232	0.332	0.695	0.141	0.158	0.203	0.204	0.341	0.341	0.545	0.43	0.123	0.26	0.248	0.281	0.262	0.443	0.228	0.175	0.297	0.279	0.17	0.08	0.341	0.351	0.36	0.248	0.114	0.335	0.275	0.293	0.196
1.67167	0.318	0.181	0.313	0.315	0.311	0.313	0.521	0.293	0.094	0.106	0.451	0.164	0.359	0.292	0.485	0.423	0.202	0.222	0.207	0.331	0.26	0.329	0.529	0.405	0.204	0.24	0.201	0.288	0.297	0.486	0.229	0.188	0.275	0.283	0.316	0.097	0.4	0.387	0.421	0.301	0.306	0.363	0.276	0.334	0.394
1.83832	0.273	0.219	0.371	0.483	0.175	0.346	0.498	0.269	0.0	0.15	0.483	0.111	0.223	0.298	0.386	0.512	0.419	0.287	0.213	0.233	0.293	0.37	0.484	0.467	0.0	0.359	0.488	0.407	0.416	0.514	0.249	0.061	0.311	0.289	0.27	0.183	0.366	0.522	0.345	0.221	0.338	0.311	0.28	0.29	0.346
2.00507	0.24	0.186	0.412	0.551	0.216	0.697	0.402	0.339	0.199	0.183	0.442	0.208	0.264	0.427	0.412	0.307	0.32	0.141	0.286	0.26	0.337	0.369	0.535	0.484	0.312	0.324	0.231	0.427	0.465	0.478	0.175	0.253	0.302	0.363	0.318	0.233	0.516	0.509	0.392	0.262	0.324	0.465	0.267	0.287	0.393
2.17162	0.361	0.168	0.308	0.391	0.251	0.259	0.494	0.264	0.349	0.11	0.618	0.216	0.215	0.436	0.422	0.4	0.194	0.262	0.35	0.354	0.345	0.436	0.517	0.436	0.24	0.193	0.324	0.297	0.334	0.576	0.243	0.207	0.311	0.427	0.244	0.275	0.445	0.494	0.401	0.185	0.22	0.389	0.331	0.353	0.402
2.33836	0.197	0.144	0.334	0.303	0.249	0.287	0.521	0.262	0.22	0.148	0.617	0.074	0.297	0.241	0.4	0.792	0.236	0.265	0.463	0.332	0.429	0.47	0.605	0.437	0.195	0.223	0.271	0.327	0.364	0.568	0.367	0.128	0.341	0.4	0.274	0.212	0.514	0.622	0.43	0.211	0.358	0.472	0.386	0.33	0.347
2.50507	0.185	0.104	0.482	0.45	0.285	0.494	0.559	0.412	0.216	0.116	0.599	0.138	0.445	0.422	0.363	0.412	0.268	0.224	0.42	0.297	0.496	0.351	0.735	0.476	0.39	0.406	0.483	0.425	0.379	0.522	0.284	0.258	0.354	0.356	0.401	0.392	0.545	0.6	0.555	0.331	0.311	0.454	0.34	0.433	0.388
2.67184	0.298	0.273	0.477	0.36	0.308	0.322	0.64	0.408	0.335	0.206	0.624	0.161	0.468	0.476	0.449	0.607	0.391	0.28	0.361	0.384	0.577	0.494	0.652	0.445	0.257	0.518	0.511	0.621	0.434	0.509	0.461	0.204	0.409	0.467	0.513	0.437	0.527	0.472	0.498	0.382	0.391	0.478	0.364	0.378	0.415
