	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
2.83834	0.198	0.257	0.492	0.376	0.492	0.309	0.486	0.395	0.203	0.272	0.61	0.204	0.596	0.433	0.46	0.733	0.285	0.181	0.375	0.451	0.591	0.449	0.467	0.572	0.181	0.418	0.383	0.549	0.335	0.653	0.3	0.131	0.366	0.424	0.386	0.047	0.506	0.534	0.343	0.285	0.294	0.38	0.323	0.362	0.484
3.00519	0.295	0.158	0.413	0.549	0.526	0.542	0.522	0.458	0.281	0.181	0.702	0.238	0.546	0.387	0.42	0.433	0.313	0.193	0.582	0.271	0.685	0.494	0.706	0.637	0.457	0.486	0.536	0.561	0.431	0.603	0.325	0.315	0.405	0.377	0.341	0.392	0.532	0.592	0.465	0.403	0.356	0.415	0.358	0.405	0.466
3.17169	0.207	0.155	0.467	0.49	0.495	0.454	0.519	0.371	0.277	0.177	0.699	0.32	0.655	0.553	0.388	0.599	0.421	0.105	0.466	0.324	0.766	0.49	0.59	0.634	0.228	0.455	0.336	0.473	0.428	0.767	0.406	0.312	0.599	0.459	0.535	0.106	0.528	0.531	0.434	0.231	0.41	0.413	0.355	0.402	0.435
3.33843	0.26	0.264	0.497	0.465	0.497	0.426	0.548	0.54	0.239	0.279	0.728	0.322	0.545	0.383	0.551	0.43	0.378	0.243	0.549	0.57	0.681	0.399	0.642	0.437	0.413	0.453	0.558	0.471	0.509	0.663	0.365	0.194	0.457	0.374	0.392	0.225	0.514	0.486	0.489	0.29	0.243	0.386	0.441	0.312	0.574
3.50519	0.239	0.356	0.691	0.515	0.634	0.285	0.518	0.37	0.372	0.13	0.783	0.262	0.597	0.441	0.451	0.459	0.351	0.305	0.58	0.302	0.739	0.469	0.708	0.55	0.436	0.43	0.367	0.504	0.486	0.731	0.39	0.289	0.432	0.657	0.482	0.324	0.599	0.575	0.492	0.314	0.296	0.44	0.326	0.464	0.465
3.67185	0.349	0.24	0.632	0.512	0.632	0.367	0.544	0.367	0.255	0.126	0.724	0.344	0.849	0.495	0.419	0.485	0.347	0.302	0.605	0.355	0.82	0.465	0.676	0.378	0.404	0.483	0.364	0.501	0.455	0.726	0.443	0.286	0.457	0.401	0.479	0.347	0.51	0.627	0.461	0.396	0.462	0.578	0.408	0.432	0.462
3.83848	0.161	0.221	0.616	0.582	0.785	0.463	0.527	0.379	0.232	0.104	0.735	0.243	0.748	0.392	0.314	0.608	0.377	0.199	0.813	0.334	0.887	0.501	0.685	0.446	0.324	0.464	0.176	0.426	0.437	0.782	0.362	0.266	0.496	0.383	0.46	0.627	0.485	0.516	0.359	0.324	0.446	0.505	0.392	0.356	0.444
4.0051	0.199	0.09	0.563	0.584	0.732	0.412	0.476	0.468	0.108	0.206	0.881	0.36	0.752	0.371	0.439	0.474	0.486	0.236	0.623	0.404	0.979	0.402	0.696	0.564	0.287	0.502	0.326	0.547	0.417	0.614	0.383	0.221	0.532	0.418	0.413	0.264	0.45	0.513	0.422	0.355	0.394	0.453	0.34	0.452	0.423
4.17193	0.237	0.128	0.651	0.614	0.765	0.361	0.678	0.444	0.239	0.195	0.915	0.335	0.812	0.547	0.48	0.395	0.368	0.217	0.658	0.588	1.099	0.5	0.792	0.627	0.334	0.567	0.505	0.584	0.511	0.671	0.432	0.318	0.653	0.283	0.366	0.266	0.671	0.651	0.458	0.443	0.483	0.486	0.514	0.493	0.516
4.3384	0.274	0.222	0.72	0.599	0.692	0.344	0.549	0.71	0.159	0.313	0.813	0.404	1.022	0.53	0.629	0.661	0.314	0.255	0.725	0.595	1.081	0.564	0.631	0.497	0.31	0.548	0.43	0.538	0.492	0.727	0.408	0.241	0.465	0.351	0.347	0.321	0.561	0.681	0.497	0.427	0.41	0.555	0.356	0.472	0.526
4.50523	0.265	0.128	0.797	0.705	1.079	0.505	0.569	0.391	0.205	0.161	0.975	0.452	0.929	0.634	0.478	0.652	0.499	0.246	0.801	0.386	1.157	0.553	0.734	0.488	0.383	0.511	0.336	0.444	0.426	0.628	0.508	0.316	0.456	0.455	0.507	0.222	0.604	0.583	0.431	0.363	0.317	0.546	0.433	0.406	0.489
4.67178	0.277	0.168	0.783	0.805	0.896	0.576	0.611	0.462	0.186	0.226	0.96	0.354	1.085	0.534	0.602	0.581	0.364	0.428	0.673	0.567	1.255	0.479	0.605	0.643	0.363	0.524	0.489	0.513	0.496	0.689	0.375	0.384	0.611	0.356	0.379	0.367	0.527	0.56	0.473	0.434	0.36	0.392	0.391	0.361	0.474
4.83851	0.274	0.279	0.974	0.91	0.946	0.655	0.662	0.541	0.159	0.257	1.124	0.404	0.966	0.53	0.375	0.519	0.314	0.255	0.867	0.595	1.166	0.592	0.716	0.666	0.367	0.718	0.43	0.453	0.52	0.699	0.436	0.383	0.635	0.633	0.347	0.463	0.645	0.54	0.44	0.512	0.382	0.555	0.441	0.416	0.498
5.00514	0.418	0.197	0.811	0.777	1.065	0.491	0.696	0.575	0.186	0.283	0.96	0.58	1.0	0.591	0.517	0.665	0.392	0.315	0.927	0.567	1.425	0.564	0.689	0.643	0.42	0.693	0.376	0.513	0.552	0.745	0.572	0.356	0.611	0.497	0.491	0.282	0.668	0.814	0.473	0.406	0.36	0.448	0.391	0.361	0.474
5.17186	0.19	0.279	0.974	0.797	1.031	0.514	0.662	0.597	0.216	0.313	1.068	0.573	1.192	0.445	0.544	0.519	0.455	0.34	0.81	0.651	1.534	0.649	0.772	0.582	0.452	0.718	0.486	0.566	0.492	0.897	0.662	0.383	0.635	0.379	0.488	0.321	0.702	0.624	0.61	0.512	0.297	0.555	0.498	0.557	0.498
5.33858	0.145	0.318	1.049	0.846	1.246	0.671	0.735	0.587	0.276	0.344	1.282	0.705	1.294	0.573	0.497	0.732	0.367	0.465	0.994	0.545	1.547	0.684	0.698	0.654	0.424	0.674	0.358	0.523	0.562	0.829	0.434	0.279	0.677	0.507	0.445	0.083	0.586	0.703	0.568	0.475	0.344	0.573	0.403	0.425	0.484
5.50533	0.174	0.263	1.13	0.954	1.3	0.584	0.648	0.471	0.338	0.294	1.308	0.645	1.46	0.515	0.471	0.477	0.405	0.409	1.19	0.831	1.688	0.631	0.756	0.652	0.629	0.843	0.499	0.522	0.561	0.788	0.472	0.394	0.817	0.506	0.473	0.353	0.709	0.828	0.425	0.612	0.481	0.597	0.427	0.54	0.567
5.67189	0.334	0.168	1.235	0.974	1.545	0.548	0.696	0.745	0.383	0.311	1.271	0.637	1.565	0.506	0.545	0.581	0.364	0.512	1.125	0.82	1.678	0.649	0.802	0.672	0.42	0.749	0.32	0.682	0.665	0.773	0.544	0.384	0.893	0.525	0.661	0.338	0.583	0.673	0.642	0.604	0.304	0.448	0.419	0.53	0.558
5.83868	0.22	0.393	1.097	1.007	1.576	0.663	0.671	0.551	0.292	0.248	1.499	0.781	1.708	0.424	0.571	0.555	0.466	0.399	1.097	0.76	1.989	0.673	0.801	0.702	0.638	0.806	0.517	0.514	0.609	0.843	0.535	0.354	0.752	0.414	0.463	0.21	0.63	0.633	0.615	0.58	0.449	0.48	0.451	0.528	0.532
6.00539	0.248	0.252	1.323	1.12	1.66	0.607	0.812	0.579	0.292	0.53	1.583	0.894	1.934	0.508	0.487	0.695	0.354	0.484	1.182	0.788	2.327	0.673	0.773	0.73	0.553	0.89	0.546	0.57	0.609	0.786	0.535	0.41	0.837	0.555	0.52	0.238	0.714	0.689	0.474	0.636	0.28	0.424	0.394	0.528	0.56
6.17191	0.305	0.337	1.266	1.035	1.886	0.607	0.699	0.832	0.236	0.389	1.527	0.894	2.046	0.564	0.571	0.724	0.382	0.54	1.379	0.845	2.242	0.589	0.801	0.617	0.497	0.89	0.433	0.514	0.553	0.786	0.535	0.41	0.837	0.414	0.604	0.379	0.742	0.718	0.559	0.58	0.364	0.508	0.451	0.584	0.532
6.33868	0.245	0.333	1.404	1.089	1.939	0.801	0.724	0.801	0.176	0.442	1.665	0.891	2.212	0.561	0.596	0.861	0.321	0.565	1.376	0.869	2.352	0.754	0.685	0.812	0.662	1.056	0.768	0.567	0.549	0.922	0.446	0.35	0.946	0.58	0.517	0.205	0.822	0.629	0.556	0.746	0.334	0.59	0.532	0.524	0.557
6.50527	0.295	0.383	1.399	1.252	2.187	0.711	0.691	0.711	0.225	0.547	1.771	0.942	2.319	0.64	0.504	1.024	0.341	0.728	1.454	1.031	2.739	0.663	0.791	0.806	0.485	0.993	0.367	0.589	0.628	0.828	0.522	0.315	0.996	0.321	0.426	0.364	0.701	0.62	0.55	0.628	0.413	0.472	0.527	0.49	0.551
6.67215	0.314	0.403	1.641	1.268	2.205	0.671	0.679	0.728	0.276	0.57	1.874	0.959	2.591	0.686	0.609	0.817	0.367	0.719	1.557	0.94	2.872	0.938	0.726	0.654	0.565	1.012	0.358	0.523	0.646	0.801	0.547	0.42	0.959	0.507	0.473	0.562	0.755	0.816	0.652	0.644	0.429	0.432	0.459	0.594	0.625
6.8387	0.142	0.428	1.638	1.35	2.483	0.725	0.592	0.725	0.244	0.566	1.814	1.04	2.728	0.824	0.578	0.899	0.39	0.659	1.611	1.077	3.235	0.793	0.864	0.764	0.505	0.812	0.524	0.604	0.531	0.852	0.599	0.417	0.956	0.505	0.526	0.417	0.807	0.783	0.621	0.67	0.454	0.514	0.541	0.591	0.566
7.00546	0.239	0.496	1.736	1.449	2.806	0.654	0.775	0.739	0.225	0.631	2.025	1.195	3.079	0.64	0.589	0.715	0.341	0.896	1.708	1.144	3.274	0.691	0.706	0.975	0.372	1.078	0.423	0.561	0.684	0.997	0.579	0.343	1.109	0.377	0.51	0.392	0.87	0.704	0.634	0.713	0.328	0.472	0.386	0.518	0.607
7.17197	0.333	0.506	1.745	1.373	3.181	0.747	0.896	0.832	0.264	0.727	1.977	1.204	3.201	0.677	0.43	1.062	0.466	0.822	1.773	0.957	4.129	0.701	0.773	0.815	0.581	1.087	0.546	0.57	0.524	0.984	0.619	0.438	1.118	0.499	0.379	0.548	0.827	0.718	0.643	0.805	0.364	0.508	0.563	0.584	0.701
7.33862	0.239	0.665	1.99	1.478	3.228	0.739	0.859	0.965	0.253	0.856	2.306	1.223	3.923	0.753	0.504	0.799	0.369	0.953	1.961	1.059	4.288	0.832	0.791	0.806	0.738	1.162	0.452	0.561	0.515	0.969	0.691	0.343	1.109	0.49	0.538	0.364	0.814	0.845	0.634	0.825	0.582	0.556	0.527	0.574	0.692
7.50535	0.389	0.844	1.886	1.57	3.717	0.888	0.812	0.889	0.292	0.981	2.456	1.373	4.3	0.762	0.656	0.808	0.438	1.132	2.027	1.07	4.636	0.786	0.857	0.927	0.638	1.397	0.517	0.514	0.637	1.012	0.591	0.41	1.259	0.499	0.632	0.548	0.883	0.858	0.728	0.833	0.336	0.48	0.451	0.584	0.56
7.67213	0.302	0.84	2.08	1.652	4.164	0.829	0.809	0.829	0.26	1.033	2.538	1.398	4.493	0.899	0.511	0.721	0.603	1.241	2.221	1.404	4.999	1.008	0.938	0.84	0.493	1.337	0.599	0.567	0.69	1.063	0.615	0.435	1.172	0.552	0.545	0.486	0.822	0.798	0.612	0.831	0.446	0.562	0.476	0.609	0.726
7.83874	0.301	0.895	2.307	1.768	4.611	0.775	0.868	0.973	0.226	1.335	2.706	1.541	4.968	0.788	0.621	0.75	0.395	1.295	2.248	1.343	5.387	0.807	0.908	0.982	0.542	1.533	0.57	0.539	0.69	0.935	0.578	0.404	1.396	0.441	0.488	0.751	0.84	0.898	0.585	0.947	0.338	0.621	0.592	0.663	0.614
8.0055	0.33	1.178	2.334	1.905	5.093	0.913	0.893	0.886	0.26	1.455	2.735	1.68	5.76	0.843	0.652	0.805	0.377	1.607	2.643	1.461	6.294	0.923	0.854	0.981	0.577	1.506	0.683	0.482	0.634	1.007	0.7	0.491	1.425	0.468	0.432	0.543	0.991	0.798	0.612	1.056	0.362	0.562	0.561	0.665	0.726
8.17207	0.255	1.358	2.681	1.998	5.583	1.063	0.817	0.81	0.3	1.749	3.026	1.829	6.053	0.768	0.691	0.983	0.39	1.617	2.653	1.641	6.729	1.019	0.864	1.074	0.646	1.516	0.467	0.661	0.812	1.247	0.684	0.614	1.604	0.307	0.526	0.417	0.976	0.811	0.565	1.008	0.342	0.57	0.569	0.675	0.735
8.33876	0.302	1.375	2.812	2.159	5.825	0.998	0.865	1.083	0.26	1.99	3.354	2.018	6.38	0.815	0.652	0.946	0.349	2.198	3.066	1.658	7.393	0.923	1.023	0.981	0.746	1.506	0.542	0.651	0.972	1.232	0.784	0.604	1.622	0.496	0.46	0.74	0.963	0.798	0.612	1.14	0.362	0.477	0.476	0.665	0.726
8.5054	0.451	1.692	3.019	2.226	6.309	0.812	0.961	1.066	0.209	2.162	3.391	2.056	7.229	0.909	0.632	1.012	0.52	2.346	3.186	1.86	8.323	0.902	0.834	1.216	0.638	1.796	0.608	0.633	0.868	1.118	0.843	0.499	1.603	0.535	0.498	0.457	1.05	0.996	0.763	1.096	0.43	0.545	0.628	0.729	0.679
8.67215	0.298	1.706	3.119	2.411	6.94	0.941	0.921	1.054	0.307	2.37	3.743	2.325	8.0	0.785	0.73	1.085	0.475	2.5	3.172	2.126	9.121	1.084	0.849	1.204	0.594	1.698	0.511	0.621	0.687	1.267	0.742	0.485	1.702	0.607	0.429	0.409	1.033	0.809	0.61	1.197	0.335	0.703	0.533	0.8	0.78
8.83881	0.385	1.963	3.262	2.667	8.237	1.028	0.868	1.057	0.198	2.543	3.915	2.441	9.297	0.985	0.621	1.116	0.395	2.729	3.709	2.186	10.025	1.144	0.936	1.123	0.626	1.898	0.486	0.652	0.775	1.216	0.578	0.629	1.818	0.779	0.601	0.61	1.009	0.813	0.754	1.172	0.478	0.537	0.536	0.663	0.67
9.00548	0.307	2.223	3.381	2.814	8.583	1.034	0.958	1.091	0.262	3.002	4.259	2.531	9.953	0.822	0.825	1.094	0.488	3.186	3.66	2.278	9.95	0.926	1.084	1.129	0.859	2.046	0.689	0.574	0.753	0.973	0.67	0.552	1.824	0.475	0.41	0.677	1.102	0.991	0.591	1.177	0.596	0.543	0.682	0.754	0.789
9.17221	0.291	2.43	3.702	2.911	9.461	0.963	1.0	1.161	0.187	3.401	4.607	2.937	10.407	1.032	0.611	1.107	0.41	3.308	4.064	2.512	11.246	1.049	0.926	1.198	0.698	1.86	0.336	0.53	0.822	1.173	0.734	0.619	1.892	0.545	0.507	0.427	0.996	0.912	0.745	1.332	0.386	0.445	0.696	0.793	0.774
9.33881	0.392	2.56	4.0	3.095	10.692	1.118	0.93	1.316	0.262	3.761	4.765	3.178	11.696	0.991	0.712	1.122	0.488	3.439	4.476	2.728	13.465	1.151	0.943	1.213	0.69	2.074	0.689	0.63	0.837	1.142	0.952	0.72	2.077	0.644	0.607	0.592	1.13	0.991	0.76	1.458	0.315	0.543	0.541	0.67	0.845
9.50564	0.422	2.98	4.31	3.352	10.767	1.235	1.019	1.293	0.316	4.034	5.186	3.321	11.909	1.163	0.713	1.378	0.285	4.195	4.783	2.893	13.168	1.066	1.001	1.302	0.686	2.187	0.495	0.633	0.981	1.271	0.862	0.553	2.023	0.593	0.386	0.805	1.236	0.786	0.651	1.352	0.322	0.549	0.66	0.811	0.821
9.67216	0.413	3.39	4.553	3.679	12.071	1.394	1.011	1.565	0.276	4.525	5.68	3.788	13.634	1.042	0.703	1.257	0.525	4.352	4.94	3.19	13.769	1.14	1.047	1.433	0.815	2.177	0.486	0.596	0.747	1.256	0.765	0.542	2.125	0.528	0.713	0.734	1.139	0.941	0.811	1.4	0.37	0.597	0.679	0.885	0.896
9.83884	0.263	3.575	4.795	4.09	13.486	1.189	1.002	1.304	0.265	4.735	5.865	3.918	14.544	1.033	0.72	1.416	0.456	4.901	5.321	3.262	14.846	1.185	1.149	1.424	0.662	2.363	0.701	0.615	0.877	1.213	0.865	0.588	2.283	0.519	0.451	0.859	1.21	0.872	0.746	1.475	0.39	0.617	0.727	0.762	0.803
10.00552	0.422	3.766	5.209	4.222	14.781	1.291	0.935	1.321	0.203	5.241	6.337	4.359	16.064	1.135	0.797	1.463	0.397	5.178	5.681	3.988	16.986	1.207	1.001	1.273	0.742	2.468	0.495	0.661	0.981	1.355	0.721	0.833	2.36	0.705	0.582	0.665	1.18	0.955	0.82	1.492	0.406	0.465	0.66	0.867	0.989
10.17221	0.428	4.019	5.52	4.732	15.499	1.27	1.084	1.469	0.205	5.459	6.73	4.728	16.977	1.366	0.885	1.693	0.451	5.654	6.242	4.099	17.252	1.349	1.286	1.589	0.658	2.415	0.529	0.724	0.986	1.461	0.973	0.641	2.42	0.6	0.532	0.686	1.233	1.007	0.799	1.669	0.444	0.502	0.668	0.927	0.884
10.33889	0.319	4.248	5.888	4.875	15.898	1.442	1.087	1.64	0.265	5.969	7.043	5.32	18.777	1.145	0.805	1.584	0.371	6.134	6.554	4.383	18.491	1.297	0.953	1.508	0.999	2.615	0.729	0.587	0.99	1.41	0.781	0.532	2.676	0.659	0.451	0.775	1.21	1.124	0.718	1.587	0.39	0.533	0.671	0.846	0.831
10.5056	0.596	4.888	6.137	5.32	17.125	1.27	1.084	1.637	0.289	6.833	7.852	5.569	19.416	1.198	0.689	1.609	0.535	6.382	6.803	4.715	19.466	1.293	0.949	1.701	0.967	2.948	0.529	0.584	0.902	1.489	0.889	0.837	2.868	0.6	0.56	0.854	1.121	1.092	0.743	1.641	0.388	0.586	0.752	0.871	0.828
10.67229	0.487	5.229	6.673	5.772	19.262	1.357	1.227	1.668	0.293	6.978	7.996	6.273	20.292	1.061	0.777	1.584	0.512	7.06	7.115	4.916	22.641	1.465	1.205	1.816	0.971	2.783	0.561	0.699	1.074	1.466	0.893	0.756	2.788	0.575	0.732	0.467	1.294	1.124	0.802	1.728	0.39	0.533	0.755	0.931	0.915
10.83886	0.344	5.365	6.922	6.386	19.873	1.27	1.14	1.749	0.177	7.45	8.44	6.634	21.827	1.45	0.717	1.974	0.451	7.476	7.616	5.809	22.942	1.293	1.202	1.673	0.798	3.088	0.557	0.64	1.155	1.405	0.945	0.753	2.784	0.796	0.644	0.854	1.233	1.12	0.883	1.837	0.472	0.586	0.752	0.955	0.912
11.0057	0.393	6.057	7.25	6.967	20.196	1.517	1.078	1.828	0.198	7.944	8.516	7.439	23.746	1.444	0.878	1.687	0.443	8.111	8.279	6.332	23.236	1.51	1.195	1.695	0.818	3.109	0.551	0.634	1.148	1.703	0.88	0.802	3.282	0.51	0.47	0.592	1.309	1.195	0.821	1.831	0.55	0.524	0.663	0.864	0.878
11.17228	0.422	6.096	7.455	7.226	22.445	1.656	1.188	2.079	0.288	8.554	9.229	7.672	25.497	1.304	0.797	1.715	0.397	8.519	8.573	6.655	24.342	1.572	1.169	1.779	0.77	3.057	0.467	0.718	0.981	1.524	1.086	0.749	3.118	0.677	0.554	0.749	1.404	1.067	0.82	1.941	0.406	0.437	0.772	1.035	0.989
11.33895	0.419	7.131	7.984	7.924	22.691	1.485	1.353	2.02	0.368	9.334	9.308	8.622	23.497	1.385	0.906	1.909	0.365	9.019	8.54	7.043	25.625	1.596	1.082	1.804	1.019	3.222	0.548	0.743	0.977	1.575	0.97	0.83	3.198	0.618	0.635	0.66	1.259	1.203	0.817	1.826	0.291	0.518	0.741	0.892	0.846
11.50555	0.523	7.243	8.374	8.51	23.352	1.756	1.287	2.179	0.307	9.733	10.488	9.07	26.014	1.6	0.815	2.068	0.503	10.341	9.101	7.662	26.291	1.618	1.242	1.935	1.015	3.384	0.651	0.733	1.081	1.548	1.079	0.71	3.22	0.551	0.738	0.605	1.37	1.146	0.835	1.872	0.391	0.563	0.955	0.969	1.005
