	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
0.00513	0.074	0.0	0.0	0.0	0.0	0.156	0.143	0.125	0.089	0.0	0.0	0.187	0.187	0.281	0.118	0.156	0.236	0.031	0.032	0.156	0.062	0.156	0.096	0.25	0.062	0.062	0.093	0.0	-0.106	0.156	0.188	0.156	0.0	0.031	0.0	0.249	0.118	0.281	0.0	0.0	0.0	0.0	0.093	0.156	0.187
0.17164	0.074	0.187	0.249	0.063	0.093	0.0	0.08	0.0	0.12	0.031	0.0	0.0	0.0	0.0	0.055	0.0	0.267	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	-0.355	0.0	0.0	0.0	0.094	0.0	0.062	0.0	-0.256	0.0	0.063	0.031	0.093	0.249	0.0	0.0	0.0
0.33828	0.228	0.372	0.362	0.336	0.295	0.269	0.066	0.289	0.124	0.04	0.125	0.285	0.334	0.338	0.024	0.306	0.155	0.047	0.205	0.44	0.282	0.313	0.075	0.286	0.015	0.173	0.162	0.112	-0.069	0.2	0.2	0.112	0.016	0.202	0.253	0.341	0.0	0.192	0.192	0.13	0.285	0.166	0.225	0.269	0.053
0.50511	0.321	0.465	0.444	0.424	0.437	0.478	0.146	0.297	0.287	0.303	0.189	0.544	0.546	0.522	0.056	0.458	0.199	0.222	0.254	0.475	0.348	0.504	0.149	0.609	0.03	0.19	0.201	0.226	0.0	0.308	0.244	0.195	0.127	0.249	0.289	0.624	0.134	0.227	0.134	0.136	0.291	0.303	0.328	0.289	0.234
0.67177	0.083	0.385	0.426	0.343	0.355	0.397	0.0	0.219	0.144	0.256	0.205	0.56	0.433	0.632	0.072	0.377	0.09	0.241	0.336	0.555	0.459	0.488	0.007	0.531	0.048	0.208	0.217	0.181	0.048	0.325	0.42	0.118	0.081	0.267	0.273	0.544	0.055	0.243	0.118	0.121	0.275	0.224	0.344	0.308	0.253
0.83846	0.129	0.304	0.305	0.322	0.358	0.532	0.036	0.114	0.197	0.314	0.191	0.583	0.411	0.646	0.121	0.453	0.181	0.273	0.433	0.543	0.447	0.603	0.0	0.682	0.046	0.143	0.208	0.246	0.134	0.418	0.353	0.215	0.24	0.521	0.485	0.56	0.142	0.296	0.203	0.142	0.264	0.314	0.528	0.342	0.29
1.00514	0.102	0.342	0.338	0.358	0.358	0.438	0.165	0.188	0.174	0.357	0.23	0.528	0.574	0.651	0.0	0.393	0.129	0.287	0.384	0.583	0.519	0.643	0.107	0.628	0.091	0.157	0.314	0.293	0.176	0.431	0.397	0.198	0.093	0.278	0.398	0.598	0.248	0.337	0.244	0.151	0.401	0.229	0.474	0.486	0.307
1.17183	0.108	0.444	0.308	0.394	0.39	0.505	0.134	0.391	0.118	0.401	0.27	0.57	0.578	0.786	0.103	0.623	0.109	0.173	0.431	0.463	0.367	0.684	0.054	0.639	0.137	0.138	0.356	0.276	0.218	0.476	0.442	0.116	0.139	0.324	0.439	0.605	0.194	0.314	0.285	0.128	0.282	0.272	0.518	0.405	0.259
1.33844	0.077	0.316	0.337	0.329	0.354	0.438	0.033	0.234	0.154	0.278	0.208	0.607	0.448	0.657	0.17	0.559	0.115	0.311	0.375	0.563	0.37	0.59	0.091	0.676	0.048	0.146	0.329	0.317	0.222	0.354	0.449	0.093	0.083	0.461	0.378	0.542	0.231	0.317	0.225	0.164	0.318	0.343	0.523	0.479	0.302
1.50519	0.115	0.322	0.274	0.268	0.452	0.538	0.099	0.277	0.0	0.225	0.151	0.617	0.549	0.696	0.113	0.564	0.095	0.325	0.357	0.507	0.443	0.761	0.07	0.719	0.126	0.225	0.274	0.235	0.2	0.464	0.495	0.205	0.161	0.41	0.452	0.614	0.21	0.359	0.201	0.206	0.359	0.29	0.469	0.528	0.384
