	MG1655-1	PUTR3-1_1	ygaC-1	ygaC_ybeX-1	ygaC_mpl-1	ygaC_ybeX_mpl-1	PUTR8-10_1	rpsG1_mreB-1	MG1655-2	PUTR3-1_2	ygaC-2	ygaC_ybeX-2	ygaC_mpl-2	ygaC_ybeX_mpl-2	PUTR8-10_2	rpsG1_mreB-2	MG1655-3	PUTR3-1_3	ygaC-3	ygaC_ybeX-3	ygaC_mpl-3	ygaC_ybeX_mpl-3	PUTR8-10_3	rpsG1_mreB-3	rpsG1_mreB_ybeX-1	rpsG1_mreB_mpl-1	rpsG1_mreB_ybeX_mpl-1	proV_cspC-1	proV_cspC_ybeX-1	proV_cspC_mpl-1	proV_cspC_ybeX_mpl-1	rpsG1_mreB_ybeX-2	rpsG1_mreB_mpl-2	rpsG1_mreB_ybeX_mpl-2	proV_cspC-2	proV_cspC_ybeX-2	proV_cspC_mpl-2	proV_cspC_ybeX_mpl-2	rpsG1_mreB_ybeX-3	rpsG1_mreB_mpl-3	rpsG1_mreB_ybeX_mpl-3	proV_cspC-3	proV_cspC_ybeX-3	proV_cspC_mpl-3	proV_cspC_ybeX_mpl-3
0.00511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.231	0.0	0.05	0.0	0.0	0.0	0.0	0.0	-0.084	0.049	0.0	0.0	0.0	0.08	0.0	0.0	0.015
0.17167	0.174	0.141	0.14	0.012	0.139	0.04	0.468	0.333	0.178	0.142	0.108	0.0	0.0	0.076	0.242	0.212	0.045	0.042	0.01	0.085	0.111	0.046	0.208	0.246	0.109	0.076	0.11	0.016	-0.217	0.211	0.0	0.142	0.078	0.08	0.083	0.079	0.065	0.033	0.108	0.174	0.045	0.0	0.055	0.013	0.0
0.33846	0.435	0.336	0.466	0.24	0.465	0.333	0.468	0.692	0.439	0.272	0.402	0.131	0.294	0.304	0.339	0.505	0.306	0.14	0.239	0.117	0.306	0.176	0.436	0.637	0.239	0.272	0.306	0.114	-0.217	0.146	0.0	0.371	0.535	0.341	0.148	0.046	0.0	0.0	0.401	0.338	0.241	0.229	0.218	0.144	0.065
0.50509	0.65	0.257	0.844	0.489	0.746	0.482	0.585	0.906	0.591	0.389	0.65	0.412	0.64	0.487	0.556	0.887	0.424	0.322	0.617	0.401	0.523	0.457	0.522	0.954	0.454	0.552	0.522	0.527	0.0	0.363	0.02	0.587	0.85	0.591	0.399	0.197	0.186	0.151	0.551	0.488	0.489	0.447	0.536	0.229	0.25
0.67174	0.669	0.538	0.766	0.573	0.831	0.568	0.768	0.894	0.642	0.507	0.735	0.529	0.79	0.572	0.673	1.035	0.606	0.44	0.702	0.484	0.737	0.574	0.508	1.036	0.441	0.572	0.639	0.513	0.214	0.479	0.137	0.671	0.836	0.74	0.547	0.477	0.301	0.235	0.766	0.605	0.671	0.628	0.716	0.346	0.17
0.83839	0.744	0.547	0.938	0.647	0.937	0.674	0.777	1.098	0.651	0.483	0.94	0.701	0.701	0.679	0.584	1.045	0.517	0.612	0.939	0.723	0.91	0.583	0.746	1.112	0.646	0.646	0.844	0.751	0.387	0.554	0.146	1.039	0.976	0.782	0.982	0.65	0.409	0.343	0.971	0.614	0.779	0.736	0.76	0.42	0.474
1.00524	0.721	0.623	0.916	0.755	0.915	0.784	0.82	1.24	0.823	0.689	0.852	0.711	0.907	0.754	0.561	1.182	0.528	0.688	0.884	0.696	1.017	0.658	0.625	1.151	0.689	0.754	0.886	0.693	0.363	0.726	0.221	0.755	1.017	0.856	0.956	0.659	0.579	0.482	0.884	0.69	0.788	0.808	0.732	0.528	0.514
1.17174	0.761	0.532	1.02	0.762	0.857	0.888	0.631	1.409	0.83	0.696	1.022	0.783	0.783	0.793	0.633	1.223	0.599	0.629	0.923	0.9	0.926	0.665	0.73	1.191	0.728	0.728	0.893	0.799	0.37	0.635	0.228	0.827	1.057	0.863	0.964	0.633	0.587	0.522	0.955	0.892	0.762	0.816	0.903	0.535	0.554
1.33856	0.763	0.697	0.86	0.732	0.957	0.89	0.731	1.411	0.963	0.698	0.959	0.883	1.014	0.959	0.798	1.388	0.634	0.729	0.991	0.87	0.994	0.831	0.797	1.259	0.698	0.731	0.993	0.899	0.405	0.573	0.23	0.829	0.929	0.768	1.129	0.668	0.59	0.687	1.056	0.796	0.797	0.884	0.841	0.505	0.622
1.50517	0.744	0.743	0.971	0.876	1.003	0.968	0.581	1.294	0.88	0.81	0.972	0.93	1.028	0.973	0.78	1.241	0.713	0.71	1.103	0.919	1.041	0.877	0.909	1.406	0.744	0.777	1.04	0.914	0.42	0.652	0.473	0.876	1.074	0.88	1.08	0.781	0.605	0.702	0.971	0.843	0.811	0.899	0.76	0.518	0.572
