	MG1655-1	COUM4-2_1	MG1655-2	COUM4-2_2	MG1655-3	COUM4-2_3	nadR_rpoA-1	nadR_rpoA-2	nadR_rpoA-3
0.0049	0.159	0.076	0.0	0.0	0.0	0.0	0.159	0.097	0.0
0.17154	0.119	0.12	0.16	0.402	0.0	0.05	0.257	0.02	0.314
0.33821	0.061	0.135	0.228	1.069	0.004	0.069	0.061	0.029	0.245
0.50491	0.115	0.0	0.165	1.096	0.112	0.105	0.22	0.294	0.271
0.67168	0.115	0.104	0.269	0.887	0.112	0.105	0.185	0.085	0.271
0.83833	0.209	0.025	0.327	1.081	0.03	0.026	0.0	0.213	0.261
1.00504	0.231	0.044	0.281	1.111	0.054	0.15	0.231	0.13	0.386
1.17171	0.249	0.234	0.266	0.927	0.144	0.131	0.214	0.148	0.438
1.33838	0.0	0.025	0.222	0.977	0.1	0.13	0.348	0.109	0.4
1.5051	0.214	0.129	0.301	0.927	0.144	0.166	0.249	0.148	0.438
1.67176	0.123	0.215	0.347	0.792	0.224	0.216	0.227	0.127	0.383
1.83851	0.231	0.218	0.351	1.076	0.263	0.254	0.336	0.2	0.316
2.0052	0.286	0.136	0.335	1.091	0.212	0.206	0.321	0.116	0.407
2.17193	0.209	0.199	0.327	0.733	0.239	0.235	0.314	0.178	0.505
2.33854	0.231	0.253	0.246	0.867	0.263	0.254	0.336	0.13	0.386
2.50521	0.284	0.174	0.33	1.006	0.311	0.209	0.284	0.15	0.338
2.67196	0.334	0.117	0.207	0.817	0.327	0.187	0.299	0.199	0.351
2.83866	0.205	0.126	0.323	1.076	0.27	0.336	0.31	0.175	0.397
3.00544	0.112	0.136	0.265	1.091	0.247	0.206	0.321	0.186	0.477
3.17206	0.261	0.079	0.307	1.125	0.254	0.218	0.261	0.16	0.452
3.33875	0.173	0.063	0.288	1.204	0.407	0.306	0.416	0.247	0.331
3.50542	0.271	0.123	0.215	1.141	0.266	0.507	0.271	0.067	0.463
3.67213	0.156	0.114	0.307	1.23	0.462	0.288	0.295	0.16	0.487
3.83884	0.264	0.187	0.207	1.722	0.223	0.291	0.264	0.164	0.456
4.00553	0.295	0.218	0.446	1.925	0.462	0.323	0.295	0.16	0.383
4.17221	0.255	0.149	0.299	1.868	0.383	0.356	0.29	0.156	0.449
4.33888	0.381	0.168	0.288	1.899	0.338	0.48	0.277	0.073	0.435
4.50555	0.252	0.284	0.364	1.62	0.275	0.457	0.252	0.117	0.411
4.67236	0.206	0.275	0.353	2.124	0.263	0.482	0.241	0.211	0.435
4.83904	0.241	0.379	0.283	2.263	0.367	0.551	0.241	0.037	0.539
5.00574	0.081	0.221	0.364	2.092	0.273	0.67	0.358	0.224	0.379
5.17237	0.201	0.309	0.413	2.273	0.322	0.653	0.305	0.171	0.397
5.3391	0.201	0.413	0.309	2.412	0.426	0.826	0.408	0.206	0.397
5.50574	0.183	0.397	0.324	2.592	0.302	0.843	0.287	0.084	0.276
5.67238	0.138	0.422	0.313	2.541	0.29	0.902	0.276	0.142	0.369
5.83914	0.21	0.494	0.317	5.685	0.329	0.94	0.279	0.077	0.373
6.00589	0.21	0.597	0.42	5.409	0.329	1.251	0.314	0.146	0.442
6.17254	0.265	0.619	0.404	6.143	0.416	1.512	0.368	0.166	0.428
6.33937	0.189	0.75	0.362	6.268	0.408	1.643	0.292	0.021	0.455
6.50594	0.196	0.826	0.404	6.763	0.278	1.857	0.299	0.235	0.428
6.67258	0.2	0.932	0.202	6.873	0.316	2.067	0.2	0.135	0.362
6.83929	0.254	1.126	0.393	7.398	0.197	2.294	0.357	0.052	0.314
7.00598	0.024	1.273	0.473	7.728	0.278	2.787	0.299	0.132	0.324
7.17272	0.164	1.449	0.163	8.425	0.276	2.993	0.336	0.203	0.294
7.33936	0.03	1.659	0.167	8.569	0.349	3.513	0.339	0.0	0.297
7.50608	0.225	1.958	0.327	8.858	0.268	3.913	0.329	0.127	0.287
7.67284	0.112	2.084	0.247	9.901	0.256	4.485	0.249	0.082	0.277
7.83944	0.167	2.519	0.339	10.357	0.28	4.785	0.339	0.103	0.331
8.00621	0.249	2.805	0.35	11.206	0.256	5.274	0.318	0.082	0.311
8.17284	0.063	3.202	0.231	11.931	0.412	6.663	0.303	0.171	0.297
8.33953	0.067	3.412	0.304	12.35	0.313	6.908	0.307	0.003	0.369
8.50624	0.097	3.888	0.437	12.72	0.206	7.28	0.338	0.171	0.4
