	MG1655-1	proV-1	HMDA7-1_1	proV_rpsG1-1	proV_sspA-1	proV_sspA_nusA-1	rpsG1-1	MG1655-2	proV-2	HMDA7-1_2	proV_rpsG1-2	proV_sspA-2	proV_sspA_nusA-2	rpsG1-2	MG1655-3	proV-3	HMDA7-1_3	proV_rpsG1-3	proV_sspA-3	proV_sspA_nusA-3	rpsG1-3
0.00489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17156	0.632	0.377	0.231	0.339	0.46	0.572	0.151	0.802	0.731	0.196	0.339	0.28	0.019	0.557	0.656	0.658	0.171	0.417	0.795	0.289	0.659
0.33819	0.624	0.655	0.505	0.253	0.861	0.857	0.191	0.824	0.779	0.382	0.288	0.551	0.454	0.563	1.049	0.979	0.671	0.387	0.857	0.523	0.765
0.50492	0.692	0.5	0.55	0.199	0.843	0.927	0.239	1.026	0.92	0.518	0.232	0.73	0.666	0.678	0.883	0.882	0.719	0.504	1.37	0.77	0.977
0.67163	0.678	0.553	0.505	0.285	0.832	0.914	0.064	0.914	0.809	0.505	0.154	0.718	0.621	0.7	0.933	1.0	0.773	0.427	1.411	0.792	0.703
0.83825	0.556	0.492	0.442	0.288	0.965	0.955	0.163	0.889	0.879	0.447	0.191	0.918	0.755	0.536	0.88	0.943	0.709	0.459	1.717	0.793	0.704
1.00489	0.637	0.509	0.361	0.274	1.148	1.036	0.051	0.971	0.732	0.561	0.176	0.903	0.773	0.686	0.762	1.024	0.727	0.446	1.389	0.811	0.723
1.17165	0.494	0.429	0.445	0.226	1.132	0.925	0.1	0.892	0.685	0.483	0.194	1.052	0.857	0.539	0.883	0.947	0.547	0.363	1.921	0.828	0.806
1.33836	0.468	0.501	0.352	0.199	1.072	1.327	0.073	0.899	0.691	0.556	0.2	0.96	0.896	0.841	0.825	0.954	0.652	0.435	1.901	0.834	0.713
1.50497	0.488	0.421	0.568	0.25	1.156	1.447	0.189	0.919	0.512	0.411	0.186	0.945	0.782	0.561	0.814	0.876	0.669	0.352	2.072	0.818	0.565
1.67157	0.436	0.466	0.414	0.427	1.101	1.461	0.035	0.834	0.524	0.491	0.0	0.99	0.793	0.572	0.829	0.89	0.548	0.395	1.768	0.763	0.741
1.83825	0.577	0.444	0.394	0.142	0.982	1.47	0.213	0.81	0.601	0.566	0.275	0.936	0.806	0.618	0.737	0.932	0.462	0.377	1.822	0.842	0.754
2.005	0.347	0.475	0.324	0.271	1.11	1.274	0.01	0.844	0.599	0.402	0.207	0.966	0.901	0.547	0.873	0.967	0.589	0.304	1.919	0.738	0.683
2.17169	0.7	0.433	0.414	0.162	1.167	1.395	0.101	0.768	0.59	0.425	0.231	0.89	0.793	0.638	0.763	0.89	0.482	0.395	2.197	0.763	0.741
2.33831	0.433	0.43	0.312	0.159	0.999	1.293	0.131	0.764	0.587	0.389	0.162	1.02	0.89	0.734	0.759	0.854	0.644	0.492	1.959	0.859	0.573
2.50495	0.42	0.547	0.429	0.277	1.083	1.413	0.115	0.785	0.539	0.343	0.213	1.038	0.742	0.685	0.749	0.809	0.463	0.376	2.197	0.777	0.755
2.67167	0.426	0.424	0.274	0.352	0.993	1.286	0.125	0.758	0.614	0.382	0.288	1.014	0.719	0.629	0.752	0.88	0.473	0.288	2.177	0.82	0.633
2.83837	0.205	0.631	0.282	0.262	1.2	1.296	0.2	0.834	0.623	0.392	0.198	1.023	0.661	0.77	0.928	0.989	0.548	0.461	1.9	0.73	0.774
3.00503	0.818	0.421	0.304	0.151	1.09	1.249	0.222	0.82	0.611	0.213	0.186	1.011	0.815	0.528	0.814	0.876	0.438	0.451	2.171	0.719	0.763
3.17165	0.344	0.373	0.321	0.268	1.173	1.468	0.139	0.808	0.596	0.432	0.171	0.963	0.799	0.676	0.737	0.964	0.487	0.467	2.177	0.867	0.581
3.33845	0.468	0.402	0.286	0.199	1.039	1.327	0.205	0.734	0.658	0.358	0.068	0.927	0.632	0.742	0.693	0.921	0.52	0.369	2.033	0.735	0.647
3.50508	0.521	0.52	0.304	0.25	1.057	1.249	0.387	0.754	0.578	0.378	0.318	1.011	0.65	0.726	0.847	0.975	0.438	0.385	1.742	0.818	0.73
3.67175	0.751	0.382	0.396	0.277	1.182	1.38	0.247	0.785	0.638	0.508	0.213	1.005	0.742	0.751	0.782	0.974	0.562	0.574	2.296	0.777	0.689
3.83847	0.511	0.51	0.394	0.241	1.081	1.173	0.081	0.909	0.601	0.302	0.209	0.936	0.773	0.618	0.803	0.932	0.462	0.476	2.019	0.842	0.82
4.00511	0.58	0.447	0.298	0.244	1.183	1.374	0.183	0.88	0.505	0.372	0.41	1.07	0.776	0.654	0.708	0.869	0.465	0.478	2.224	0.713	0.724
4.17182	0.502	0.565	0.48	0.427	1.2	1.362	0.299	0.768	0.722	0.425	0.231	0.99	0.727	0.638	0.73	0.857	0.548	0.461	2.593	0.763	0.774
4.33838	0.443	0.373	0.42	0.135	1.008	1.303	0.206	0.775	0.629	0.531	0.402	0.963	0.7	0.676	0.77	0.798	0.487	0.467	1.88	0.735	0.78
4.50516	0.58	0.447	0.562	0.31	1.249	1.374	0.018	0.814	0.604	0.405	0.311	1.103	0.776	0.654	0.741	1.034	0.531	0.478	2.257	0.845	0.823
4.67185	0.502	0.367	0.58	0.262	1.002	1.296	0.2	0.768	0.524	0.425	0.231	0.99	0.661	0.671	0.664	0.857	0.647	0.494	1.867	0.631	0.84
4.83853	0.447	0.475	0.489	0.271	1.077	1.373	0.142	0.811	0.599	0.534	0.24	1.098	0.67	0.679	0.774	0.868	0.689	0.47	2.183	0.771	0.75
5.00508	0.492	0.457	0.703	0.253	1.092	1.352	0.29	0.758	0.581	0.613	0.156	1.014	0.785	0.728	0.719	0.781	0.77	0.486	2.342	0.655	0.666
5.17185	0.436	0.565	0.514	0.262	1.101	1.197	0.134	0.834	0.491	0.59	0.297	0.99	0.826	0.737	0.763	0.989	0.845	0.395	1.9	0.664	0.774
5.33851	0.542	0.439	0.718	0.235	1.107	1.369	0.338	0.907	0.629	0.828	0.303	1.095	0.799	0.676	0.837	0.798	0.752	0.599	1.78	0.669	0.747
5.50515	0.57	0.497	0.742	0.192	1.13	1.298	0.228	0.735	0.521	0.889	0.195	1.02	0.691	0.6	0.767	0.992	0.974	0.488	2.064	0.791	0.703
5.67178	0.544	0.503	0.748	0.298	1.004	1.338	0.168	0.808	0.726	0.963	0.433	1.026	0.697	0.771	0.775	0.833	0.88	0.494	2.242	0.863	0.61
5.83852	0.443	0.373	1.015	0.433	1.272	1.171	0.206	0.775	0.596	1.225	0.237	1.029	0.7	0.776	0.737	0.897	1.082	0.599	2.078	0.834	0.879
6.00529	0.41	0.439	1.015	0.135	1.206	1.369	0.305	0.775	0.596	1.324	0.204	0.996	0.733	0.577	0.671	0.897	1.082	0.599	2.177	0.768	0.681
6.17189	0.502	0.565	1.075	0.262	1.101	1.395	0.233	0.834	0.59	1.614	0.297	1.023	0.892	0.671	0.763	0.89	1.175	0.494	1.9	0.763	0.774
6.33862	0.577	0.51	1.284	0.307	1.147	1.272	0.213	0.81	0.601	1.687	0.209	0.969	0.707	0.651	0.902	0.866	1.155	0.542	2.25	0.809	0.721
