	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
0.00501	0.201	0.205	0.228	0.202	0.126	0.175	0.078	0.0	0.024	0.126	0.253	0.228	0.127	0.148	0.024	0.0	0.022	0.099	0.252	0.252	0.249	0.072	0.176	0.4	0.198	0.205	0.15	0.171	0.148	0.173	0.148	0.0	0.1	0.174	0.117	0.169	0.12	0.069	0.253
0.17164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.076	0.0	0.0	0.082
0.33834	0.191	0.183	0.11	0.059	0.34	0.143	0.106	0.616	0.27	0.263	0.262	0.059	0.289	0.118	0.037	0.389	0.272	0.115	0.089	0.086	0.297	0.018	0.037	0.405	0.146	0.0	0.268	0.022	0.042	0.07	0.068	0.524	0.064	0.013	0.055	0.0	0.228	0.101	0.0
0.50492	0.254	0.262	0.296	0.272	0.401	0.261	0.314	0.598	0.415	0.349	0.346	0.244	0.477	0.185	0.15	0.476	0.291	0.283	0.254	0.223	0.521	0.036	0.149	0.338	0.14	0.095	0.332	0.121	0.082	0.113	0.135	0.619	0.334	0.024	0.139	0.156	0.307	0.256	0.148
0.67179	0.315	0.47	0.352	0.381	0.458	0.352	0.366	0.654	0.401	0.485	0.376	0.377	0.483	0.354	0.366	0.533	0.358	0.476	0.445	0.28	0.642	0.18	0.313	0.473	0.207	0.214	0.446	0.271	0.172	0.18	0.278	0.658	0.632	0.136	0.167	0.284	0.435	0.436	0.216
0.83826	0.326	0.529	0.334	0.337	0.441	0.524	0.503	0.742	0.415	0.494	0.41	0.385	0.572	0.369	0.378	0.464	0.347	0.516	0.404	0.315	0.739	0.327	0.376	0.427	0.223	0.309	0.458	0.369	0.317	0.195	0.292	0.593	0.673	0.252	0.217	0.332	0.403	0.51	0.311
1.0051	0.289	0.54	0.426	0.43	0.402	0.544	0.541	0.596	0.353	0.562	0.396	0.397	0.506	0.468	0.421	0.53	0.341	0.535	0.393	0.382	0.708	0.454	0.472	0.466	0.243	0.41	0.422	0.447	0.363	0.215	0.445	0.638	0.746	0.269	0.22	0.412	0.483	0.538	0.413
1.17167	0.265	0.593	0.481	0.405	0.376	0.602	0.647	0.543	0.41	0.563	0.45	0.371	0.481	0.5	0.477	0.505	0.399	0.566	0.476	0.357	0.687	0.514	0.474	0.418	0.275	0.389	0.479	0.455	0.341	0.219	0.423	0.536	0.75	0.325	0.204	0.395	0.465	0.44	0.339
1.33837	0.298	0.597	0.486	0.437	0.354	0.585	0.625	0.601	0.419	0.543	0.374	0.376	0.459	0.51	0.511	0.51	0.382	0.655	0.376	0.444	0.644	0.498	0.535	0.403	0.366	0.454	0.513	0.494	0.458	0.256	0.487	0.598	0.787	0.359	0.273	0.409	0.398	0.508	0.458
1.50512	0.334	0.685	0.413	0.472	0.389	0.596	0.606	0.555	0.375	0.659	0.381	0.383	0.467	0.602	0.494	0.518	0.366	0.666	0.385	0.452	0.683	0.59	0.545	0.62	0.324	0.493	0.469	0.48	0.496	0.294	0.471	0.527	0.744	0.396	0.234	0.504	0.357	0.494	0.362
1.67165	0.276	0.653	0.516	0.413	0.33	0.7	0.627	0.603	0.398	0.682	0.43	0.405	0.435	0.653	0.49	0.486	0.362	0.689	0.435	0.421	0.571	0.426	0.595	0.412	0.32	0.436	0.438	0.478	0.384	0.317	0.494	0.55	0.767	0.365	0.287	0.448	0.436	0.438	0.44
1.83844	0.323	0.646	0.563	0.46	0.323	0.668	0.647	0.515	0.392	0.675	0.369	0.506	0.455	0.566	0.511	0.479	0.329	0.656	0.428	0.495	0.593	0.447	0.589	0.308	0.369	0.457	0.431	0.528	0.487	0.258	0.516	0.517	0.789	0.386	0.283	0.417	0.486	0.461	0.407
2.0051	0.339	0.687	0.443	0.476	0.365	0.659	0.607	0.61	0.436	0.636	0.383	0.385	0.47	0.557	0.554	0.521	0.375	0.62	0.472	0.456	0.611	0.439	0.632	0.455	0.388	0.422	0.556	0.494	0.451	0.33	0.48	0.534	0.78	0.402	0.333	0.384	0.67	0.428	0.454
2.17169	0.278	0.707	0.517	0.577	0.385	0.79	0.681	0.548	0.457	0.657	0.43	0.405	0.49	0.579	0.575	0.541	0.396	0.695	0.519	0.422	0.633	0.515	0.653	0.731	0.41	0.525	0.577	0.516	0.608	0.352	0.556	0.582	0.719	0.505	0.302	0.489	0.693	0.45	0.476
2.33837	0.337	0.737	0.494	0.527	0.361	0.66	0.629	0.606	0.435	0.689	0.461	0.436	0.439	0.585	0.526	0.573	0.402	0.756	0.525	0.372	0.612	0.495	0.686	0.535	0.389	0.478	0.528	0.47	0.56	0.303	0.508	0.533	0.725	0.483	0.257	0.498	0.648	0.459	0.565
2.50508	0.264	0.666	0.504	0.482	0.262	0.666	0.667	0.562	0.389	0.67	0.389	0.337	0.368	0.537	0.561	0.501	0.382	0.681	0.478	0.408	0.537	0.446	0.558	0.601	0.395	0.511	0.482	0.474	0.458	0.31	0.46	0.541	0.678	0.491	0.259	0.392	0.596	0.435	0.461
2.67184	0.366	0.713	0.469	0.502	0.282	0.715	0.687	0.555	0.382	0.691	0.355	0.357	0.388	0.586	0.528	0.521	0.376	0.73	0.499	0.429	0.559	0.468	0.579	0.633	0.362	0.478	0.503	0.497	0.479	0.332	0.563	0.562	0.699	0.512	0.31	0.47	0.647	0.513	0.538
2.83842	0.276	0.786	0.542	0.493	0.301	0.624	0.624	0.573	0.455	0.655	0.428	0.403	0.324	0.576	0.491	0.539	0.394	0.693	0.49	0.392	0.495	0.431	0.597	0.537	0.407	0.469	0.493	0.514	0.606	0.349	0.553	0.498	0.635	0.503	0.272	0.486	0.636	0.421	0.528
3.0051	0.289	0.8	0.583	0.48	0.26	0.718	0.584	0.533	0.441	0.668	0.387	0.417	0.366	0.535	0.505	0.526	0.352	0.706	0.503	0.406	0.453	0.362	0.556	0.462	0.257	0.372	0.507	0.472	0.428	0.308	0.485	0.484	0.621	0.57	0.284	0.444	0.594	0.405	0.649
3.17186	0.285	0.687	0.579	0.476	0.31	0.686	0.607	0.529	0.436	0.664	0.383	0.412	0.388	0.557	0.554	0.548	0.347	0.701	0.553	0.456	0.476	0.439	0.578	0.509	0.388	0.449	0.502	0.494	0.505	0.33	0.398	0.452	0.616	0.429	0.278	0.466	0.616	0.428	0.59
