	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
3.33843	0.249	0.815	0.543	0.467	0.275	0.648	0.626	0.494	0.426	0.628	0.456	0.431	0.353	0.519	0.517	0.513	0.337	0.718	0.516	0.42	0.41	0.454	0.596	0.453	0.295	0.41	0.465	0.454	0.494	0.292	0.415	0.442	0.579	0.393	0.291	0.344	0.494	0.36	0.496
3.50517	0.246	0.757	0.486	0.464	0.299	0.593	0.65	0.545	0.424	0.652	0.372	0.456	0.35	0.545	0.461	0.51	0.335	0.744	0.487	0.472	0.464	0.481	0.539	0.492	0.403	0.41	0.491	0.454	0.493	0.318	0.386	0.441	0.605	0.472	0.238	0.426	0.521	0.334	0.577
3.67184	0.26	0.69	0.554	0.451	0.286	0.687	0.637	0.586	0.438	0.72	0.386	0.388	0.364	0.585	0.529	0.524	0.321	0.73	0.528	0.459	0.504	0.521	0.553	0.715	0.388	0.477	0.531	0.466	0.397	0.304	0.535	0.373	0.564	0.567	0.331	0.411	0.56	0.373	0.508
3.83851	0.3	0.705	0.433	0.519	0.301	0.779	0.679	0.574	0.45	0.733	0.482	0.43	0.406	0.542	0.515	0.565	0.36	0.714	0.514	0.418	0.488	0.45	0.647	0.49	0.318	0.433	0.49	0.476	0.463	0.342	0.465	0.413	0.603	0.498	0.338	0.473	0.542	0.409	0.599
4.00512	0.328	0.812	0.541	0.465	0.273	0.673	0.705	0.6	0.424	0.707	0.373	0.375	0.351	0.489	0.461	0.511	0.334	0.661	0.433	0.418	0.408	0.452	0.539	0.477	0.374	0.408	0.436	0.451	0.464	0.289	0.439	0.413	0.495	0.471	0.288	0.395	0.464	0.358	0.548
4.1718	0.3	0.732	0.541	0.519	0.328	0.617	0.679	0.574	0.396	0.733	0.401	0.484	0.433	0.623	0.488	0.565	0.306	0.687	0.487	0.418	0.461	0.45	0.593	0.436	0.345	0.433	0.49	0.503	0.436	0.342	0.465	0.413	0.522	0.525	0.338	0.446	0.461	0.409	0.572
4.33855	0.316	0.774	0.475	0.48	0.343	0.635	0.666	0.588	0.44	0.641	0.443	0.445	0.367	0.533	0.531	0.526	0.351	0.732	0.476	0.434	0.452	0.469	0.555	0.664	0.391	0.398	0.479	0.469	0.481	0.306	0.51	0.375	0.593	0.488	0.334	0.413	0.509	0.457	0.619
4.5051	0.316	0.855	0.584	0.535	0.451	0.689	0.721	0.724	0.44	0.722	0.47	0.445	0.448	0.533	0.477	0.526	0.351	0.732	0.53	0.434	0.506	0.469	0.609	0.42	0.445	0.425	0.479	0.469	0.427	0.36	0.456	0.375	0.512	0.461	0.307	0.495	0.509	0.402	0.646
4.67193	0.343	0.855	0.584	0.616	0.37	0.744	0.639	0.697	0.44	0.722	0.443	0.472	0.448	0.533	0.531	0.58	0.405	0.813	0.53	0.515	0.506	0.469	0.609	0.501	0.391	0.506	0.452	0.55	0.427	0.36	0.537	0.429	0.593	0.569	0.388	0.413	0.509	0.538	0.619
4.83863	0.354	0.786	0.595	0.519	0.409	0.644	0.625	0.601	0.477	0.598	0.347	0.43	0.433	0.488	0.434	0.565	0.306	0.633	0.568	0.418	0.461	0.45	0.566	0.408	0.399	0.379	0.354	0.476	0.436	0.315	0.465	0.304	0.468	0.417	0.257	0.365	0.353	0.355	0.464
5.00529	0.323	0.916	0.59	0.487	0.431	0.778	0.646	0.703	0.42	0.729	0.449	0.397	0.482	0.595	0.484	0.587	0.358	0.848	0.618	0.386	0.54	0.503	0.643	0.485	0.452	0.432	0.486	0.612	0.407	0.449	0.517	0.382	0.573	0.576	0.396	0.448	0.435	0.41	0.654
5.17198	0.33	0.842	0.624	0.467	0.519	0.729	0.653	0.629	0.426	0.79	0.375	0.431	0.516	0.573	0.463	0.486	0.337	0.88	0.625	0.447	0.573	0.4	0.541	0.562	0.376	0.465	0.438	0.589	0.467	0.373	0.442	0.415	0.552	0.555	0.399	0.479	0.466	0.441	0.604
5.33862	0.368	0.908	0.636	0.533	0.639	0.712	0.692	0.587	0.464	0.855	0.441	0.443	0.528	0.502	0.447	0.579	0.32	0.809	0.581	0.432	0.583	0.492	0.606	0.592	0.36	0.367	0.449	0.518	0.369	0.329	0.425	0.345	0.536	0.512	0.3	0.488	0.449	0.37	0.533
5.50535	0.337	0.957	0.577	0.555	0.607	0.684	0.686	0.635	0.461	0.797	0.489	0.492	0.549	0.609	0.498	0.519	0.345	0.916	0.632	0.454	0.636	0.436	0.576	0.506	0.467	0.447	0.473	0.546	0.448	0.409	0.477	0.368	0.533	0.563	0.357	0.436	0.423	0.479	0.533
5.67189	0.353	1.027	0.619	0.571	0.65	0.728	0.674	0.65	0.532	0.977	0.559	0.507	0.755	0.626	0.487	0.562	0.389	0.933	0.73	0.415	0.708	0.426	0.646	0.557	0.511	0.464	0.434	0.59	0.438	0.426	0.467	0.33	0.603	0.525	0.376	0.454	0.468	0.361	0.604
5.83869	0.328	1.002	0.703	0.546	0.761	0.889	0.705	0.708	0.478	0.923	0.59	0.592	0.676	0.598	0.461	0.592	0.388	0.986	0.704	0.499	0.733	0.452	0.593	0.558	0.428	0.462	0.544	0.587	0.41	0.452	0.439	0.413	0.577	0.634	0.397	0.477	0.491	0.466	0.683
6.00527	0.418	1.038	0.74	0.555	0.797	0.711	0.767	0.635	0.542	0.906	0.653	0.546	0.821	0.636	0.579	0.519	0.372	1.025	0.795	0.481	0.854	0.491	0.63	0.506	0.494	0.447	0.554	0.654	0.611	0.491	0.532	0.395	0.614	0.563	0.493	0.436	0.504	0.561	0.641
6.17204	0.334	1.063	0.71	0.526	0.93	0.734	0.793	0.634	0.512	0.876	0.624	0.544	0.846	0.605	0.522	0.599	0.423	1.075	0.846	0.506	0.849	0.486	0.627	0.731	0.517	0.469	0.551	0.676	0.39	0.432	0.528	0.447	0.584	0.56	0.377	0.484	0.417	0.474	0.636
6.33859	0.378	1.133	0.617	0.65	0.974	0.807	0.781	0.648	0.475	1.002	0.666	0.587	0.971	0.651	0.484	0.614	0.386	1.121	0.891	0.549	0.868	0.505	0.671	0.608	0.509	0.461	0.432	0.669	0.354	0.505	0.546	0.409	0.628	0.604	0.373	0.452	0.465	0.44	0.602
6.50532	0.378	1.133	0.699	0.568	0.974	0.807	0.781	0.648	0.475	1.138	0.666	0.641	1.08	0.623	0.593	0.56	0.386	1.176	0.837	0.467	0.977	0.505	0.671	0.635	0.509	0.543	0.514	0.588	0.517	0.478	0.492	0.409	0.547	0.604	0.455	0.397	0.438	0.495	0.602
6.67201	0.378	1.215	0.699	0.596	0.974	0.861	0.753	0.675	0.529	1.138	0.748	0.587	0.998	0.651	0.511	0.614	0.441	1.203	0.918	0.467	1.113	0.505	0.671	0.608	0.563	0.461	0.514	0.642	0.462	0.478	0.492	0.464	0.628	0.659	0.373	0.479	0.465	0.495	0.656
6.83874	0.402	1.212	0.751	0.675	1.079	0.909	0.699	0.702	0.498	1.16	0.773	0.693	1.157	0.645	0.508	0.639	0.462	1.277	0.94	0.601	1.159	0.472	0.668	0.467	0.529	0.536	0.537	0.742	0.403	0.499	0.595	0.433	0.57	0.546	0.443	0.496	0.483	0.54	0.622
7.00542	0.348	1.267	0.724	0.621	1.188	0.83	0.752	0.647	0.499	1.216	0.854	0.72	1.294	0.619	0.563	0.612	0.491	1.334	1.023	0.601	1.162	0.501	0.723	0.725	0.558	0.484	0.484	0.718	0.404	0.528	0.596	0.379	0.679	0.574	0.42	0.445	0.432	0.462	0.57
7.17207	0.411	1.33	0.733	0.548	1.359	0.811	0.897	0.711	0.561	1.278	0.944	0.621	1.356	0.654	0.626	0.567	0.472	1.368	1.004	0.447	1.44	0.454	0.677	0.481	0.593	0.546	0.547	0.752	0.331	0.509	0.523	0.442	0.66	0.609	0.481	0.479	0.466	0.523	0.631
7.33877	0.414	1.441	0.789	0.632	1.526	0.842	0.736	0.631	0.511	1.363	0.865	0.623	1.469	0.686	0.575	0.542	0.422	1.482	1.062	0.558	1.528	0.432	0.707	0.662	0.571	0.442	0.495	0.731	0.362	0.459	0.527	0.445	0.745	0.504	0.488	0.431	0.499	0.556	0.582
7.50539	0.384	1.519	0.814	0.63	1.711	0.811	0.816	0.629	0.561	1.44	0.944	0.675	1.627	0.6	0.626	0.648	0.472	1.449	1.085	0.664	1.819	0.509	0.785	0.562	0.701	0.546	0.52	0.779	0.575	0.536	0.523	0.442	0.714	0.609	0.535	0.506	0.548	0.469	0.686
7.6721	0.436	1.518	0.921	0.709	1.711	1.0	0.922	0.626	0.533	1.44	0.942	0.7	1.871	0.708	0.706	0.7	0.444	1.64	1.112	0.635	1.849	0.535	0.73	0.736	0.647	0.573	0.491	0.807	0.52	0.562	0.685	0.468	0.659	0.662	0.483	0.507	0.521	0.551	0.713
7.83872	0.423	1.585	0.771	0.614	1.968	0.823	0.8	0.64	0.438	1.534	0.956	0.632	2.046	0.748	0.692	0.578	0.403	1.787	1.206	0.594	2.077	0.494	0.716	0.417	0.605	0.558	0.395	0.873	0.56	0.467	0.589	0.508	0.591	0.702	0.467	0.492	0.479	0.481	0.698
8.00534	0.33	1.629	0.841	0.711	2.148	0.948	0.924	0.71	0.454	1.632	1.026	0.811	2.308	0.765	0.735	0.675	0.419	1.805	1.196	0.637	2.259	0.511	0.732	0.604	0.623	0.521	0.493	0.81	0.441	0.619	0.688	0.47	0.743	0.583	0.485	0.51	0.497	0.58	0.661
8.17215	0.445	1.636	0.957	0.799	2.238	0.847	0.931	0.717	0.461	1.721	1.06	0.655	2.588	0.691	0.661	0.601	0.372	1.922	1.23	0.698	2.457	0.436	0.766	0.587	0.711	0.447	0.5	0.709	0.448	0.491	0.559	0.45	0.696	0.645	0.439	0.463	0.45	0.588	0.587
8.33875	0.323	1.675	0.997	0.677	2.625	0.885	0.917	0.677	0.473	1.758	1.1	0.669	2.622	0.647	0.673	0.642	0.411	2.038	1.403	0.657	2.732	0.474	0.724	0.362	0.532	0.484	0.458	0.744	0.378	0.447	0.57	0.408	0.572	0.521	0.473	0.553	0.405	0.461	0.624
8.50552	0.411	1.844	0.977	0.684	2.849	0.811	1.005	0.711	0.48	1.874	1.188	0.757	3.09	0.736	0.68	0.648	0.472	2.018	1.41	0.61	3.066	0.563	0.677	0.562	0.701	0.546	0.465	0.698	0.385	0.509	0.577	0.361	0.633	0.718	0.453	0.56	0.548	0.523	0.713
8.67218	0.504	1.829	0.934	0.614	3.243	0.823	0.935	0.722	0.573	1.968	1.281	0.714	3.321	0.694	0.719	0.605	0.43	2.221	1.504	0.676	3.27	0.575	0.824	0.552	0.687	0.585	0.531	0.765	0.479	0.548	0.616	0.454	0.726	0.621	0.575	0.519	0.479	0.563	0.644
8.83877	0.465	2.007	1.085	0.792	3.446	0.919	0.924	0.765	0.48	2.118	1.269	0.811	3.713	0.681	0.761	0.675	0.472	2.262	1.519	0.691	3.581	0.509	0.812	0.562	0.701	0.546	0.52	0.779	0.494	0.617	0.577	0.497	0.633	0.609	0.481	0.56	0.466	0.55	0.631
9.00556	0.486	2.029	1.025	0.786	3.661	0.914	0.917	0.703	0.501	2.277	1.318	0.886	3.902	0.839	0.728	0.614	0.439	2.286	1.378	0.685	3.771	0.585	0.833	0.593	0.642	0.568	0.54	0.856	0.434	0.612	0.626	0.517	0.763	0.576	0.477	0.502	0.571	0.491	0.654
9.1722	0.436	2.115	1.111	0.709	4.074	1.0	0.922	0.816	0.614	2.363	1.54	0.89	4.397	0.762	0.733	0.7	0.498	2.319	1.601	0.771	4.238	0.59	0.811	0.736	0.729	0.573	0.491	0.861	0.411	0.535	0.631	0.468	0.686	0.581	0.645	0.589	0.521	0.632	0.659
9.33881	0.456	2.349	1.13	0.783	4.544	0.99	0.996	0.756	0.579	2.324	1.612	0.802	4.704	0.834	0.698	0.721	0.544	2.603	1.671	0.763	4.652	0.634	0.857	0.548	0.665	0.617	0.51	0.85	0.403	0.607	0.568	0.487	0.705	0.6	0.524	0.55	0.483	0.54	0.622
9.50563	0.409	2.387	1.192	0.817	4.834	1.0	1.085	0.816	0.669	2.39	1.648	0.917	5.157	0.789	0.814	0.7	0.526	2.753	1.818	0.771	4.917	0.617	0.892	0.682	0.702	0.654	0.572	0.943	0.574	0.698	0.631	0.522	0.686	0.744	0.645	0.67	0.494	0.551	0.74
9.67218	0.418	2.529	1.336	0.636	5.271	0.926	0.904	0.799	0.596	2.803	1.764	0.953	5.62	0.824	0.768	0.655	0.479	2.894	1.852	0.834	5.46	0.679	0.955	0.708	0.709	0.662	0.689	1.031	0.474	0.597	0.666	0.531	0.722	0.643	0.624	0.677	0.555	0.612	0.693
9.83887	0.483	2.728	1.455	0.864	5.655	0.99	1.132	0.783	0.633	2.757	1.991	0.883	6.355	0.753	0.779	0.748	0.49	3.28	1.942	0.845	5.708	0.716	0.965	0.467	0.61	0.644	0.592	0.85	0.457	0.661	0.568	0.487	0.651	0.627	0.605	0.577	0.538	0.54	0.703
10.00549	0.469	2.74	1.44	0.932	6.257	0.976	1.037	0.77	0.619	3.012	2.003	1.032	6.524	0.738	0.819	0.734	0.529	3.263	2.089	0.831	6.282	0.701	0.924	0.662	0.758	0.603	0.578	0.97	0.605	0.647	0.661	0.582	0.718	0.613	0.508	0.643	0.631	0.606	0.688
10.17231	0.551	2.771	1.469	0.688	6.541	1.086	0.902	0.878	0.593	3.126	2.087	1.032	7.08	0.822	0.929	0.761	0.558	3.46	2.174	0.831	6.623	0.757	0.953	0.786	0.706	0.551	0.524	0.92	0.58	0.703	0.582	0.447	0.746	0.695	0.621	0.593	0.499	0.609	0.636
10.33895	0.479	3.156	1.639	0.833	7.245	1.04	1.154	0.86	0.628	3.32	2.284	1.095	7.702	0.883	0.91	0.743	0.539	3.681	2.262	0.894	7.352	0.738	0.961	0.676	0.687	0.694	0.668	0.899	0.453	0.575	0.725	0.564	0.727	0.703	0.654	0.707	0.614	0.616	0.779
10.50558	0.402	3.107	1.59	0.837	7.712	0.99	0.969	0.946	0.633	3.759	2.451	1.1	8.142	0.753	0.86	0.802	0.544	3.849	2.402	0.926	8.036	0.716	0.857	0.764	0.692	0.617	0.592	0.904	0.538	0.607	0.676	0.569	0.813	0.708	0.687	0.658	0.565	0.675	0.703
10.67222	0.524	3.551	1.792	0.851	8.421	0.813	1.064	0.986	0.646	3.823	2.814	1.248	8.715	0.82	0.846	0.869	0.719	4.237	2.63	0.966	8.175	0.782	1.086	0.743	0.731	0.63	0.659	0.916	0.524	0.593	0.716	0.555	0.691	0.694	0.589	0.535	0.549	0.606	0.607
10.83894	0.646	3.784	1.807	0.946	8.876	1.153	1.159	1.0	0.66	4.111	2.83	1.208	9.279	0.888	0.86	0.964	0.625	4.526	2.592	0.98	9.282	0.743	1.019	0.873	0.773	0.644	0.673	0.985	0.484	0.661	0.595	0.569	0.732	0.708	0.66	0.55	0.538	0.702	0.676
11.00576	0.598	3.921	2.055	0.925	9.625	1.022	0.976	1.06	0.693	4.409	3.05	1.187	9.541	0.866	0.812	0.863	0.63	4.795	2.73	1.013	9.623	0.883	0.917	0.787	0.724	0.595	0.652	0.908	0.544	0.666	0.708	0.629	0.684	0.606	0.663	0.608	0.596	0.652	0.816
11.1723	0.605	4.227	1.981	0.932	9.935	0.976	1.064	0.932	0.7	4.743	3.274	1.41	10.878	0.955	0.846	0.815	0.637	5.4	3.279	1.101	10.312	0.782	1.032	0.662	0.677	0.63	0.659	0.916	0.551	0.728	0.878	0.717	0.799	0.694	0.671	0.643	0.549	0.66	0.769
11.3389	0.544	4.164	2.136	1.006	11.49	1.022	1.138	0.979	0.693	4.896	3.671	1.43	11.244	0.785	0.839	0.863	0.603	5.525	3.297	1.067	10.785	0.802	0.998	0.733	0.832	0.622	0.598	1.07	0.517	0.666	0.735	0.656	0.792	0.66	0.717	0.608	0.596	0.652	0.762
11.50563	0.632	4.822	2.387	0.932	11.909	1.057	0.956	1.067	0.7	5.662	4.004	1.491	12.041	0.901	0.846	0.951	0.692	6.13	3.576	1.155	11.366	0.782	1.032	0.933	0.839	0.711	0.686	0.997	0.47	0.728	0.716	0.636	0.799	0.667	0.589	0.643	0.604	0.606	0.688
11.67236	0.593	5.077	2.455	0.974	12.886	1.018	1.026	0.975	0.634	6.051	4.152	1.506	13.207	0.943	0.834	0.966	0.625	6.329	3.724	1.17	12.452	0.797	0.993	0.753	0.719	0.672	0.647	0.984	0.431	0.662	0.784	0.705	0.679	0.736	0.711	0.765	0.699	0.728	0.757
11.83907	0.62	5.347	2.698	1.055	14.156	1.099	1.053	1.056	0.715	6.294	4.746	1.722	14.423	0.889	0.969	1.02	0.625	6.923	4.048	1.305	13.208	0.797	1.02	1.023	0.827	0.699	0.674	0.984	0.539	0.716	0.703	0.732	0.787	0.736	0.657	0.684	0.591	0.647	0.838
12.00559	0.769	5.907	2.984	1.096	14.104	1.059	1.148	1.015	0.784	6.801	5.224	1.845	15.319	0.903	1.011	0.899	0.721	7.675	4.364	1.32	14.184	0.866	1.035	0.936	0.733	0.686	0.742	1.054	0.527	0.757	0.88	0.746	0.856	0.778	0.673	0.781	0.714	0.77	0.745
12.17247	0.781	6.113	2.917	1.027	15.97	1.045	1.159	1.027	0.714	7.739	5.619	1.939	16.779	0.915	0.914	0.91	0.733	7.856	4.893	1.413	15.617	0.959	1.047	0.954	0.854	0.699	0.754	1.012	0.538	0.58	0.757	0.677	0.786	0.789	0.741	0.74	0.727	0.756	0.757
12.33901	0.805	6.715	3.378	1.023	16.538	1.096	1.1	1.022	0.684	8.02	6.546	1.991	16.617	0.832	0.938	1.069	0.649	8.871	5.25	1.465	16.512	0.93	1.043	0.827	0.771	0.723	0.778	1.011	0.59	0.686	0.863	0.782	0.756	0.786	0.578	0.657	0.726	0.809	0.782
12.50571	0.748	6.983	3.538	1.129	17.808	1.094	1.152	0.966	0.763	8.613	6.814	2.287	17.615	0.938	0.963	1.066	0.728	9.3	5.925	1.598	17.347	0.819	1.122	1.013	0.877	0.748	0.775	1.036	0.669	0.711	0.833	0.752	0.916	0.702	0.792	0.817	0.723	0.78	0.725
12.67235	0.701	7.509	4.13	1.082	18.803	1.261	1.107	1.002	0.715	9.293	7.718	2.317	19.448	0.97	0.996	0.885	0.706	9.327	6.264	1.63	18.692	0.878	1.155	0.942	0.8	0.699	0.755	1.065	0.539	0.743	0.703	0.732	0.787	0.817	0.63	0.684	0.753	0.674	0.649
12.83908	0.787	8.354	4.325	1.168	20.193	1.212	1.111	1.088	0.774	9.706	8.563	2.511	19.433	0.974	1.001	0.971	0.819	10.39	6.838	1.743	19.974	0.883	1.16	0.922	0.805	0.676	0.76	1.07	0.598	0.91	0.816	0.818	0.927	0.768	0.744	0.77	0.623	0.76	0.897
13.00571	0.875	9.122	4.74	1.283	21.455	1.111	1.145	1.067	0.781	10.286	9.494	2.6	22.399	0.982	1.062	1.14	0.637	11.457	7.498	1.831	21.21	0.863	1.113	1.014	0.812	0.765	0.74	1.078	0.686	0.728	0.824	0.825	0.772	0.748	0.671	0.643	0.712	0.687	0.823
13.17244	0.861	9.099	4.991	1.242	23.551	1.096	1.105	1.081	0.767	11.288	10.605	2.773	24.196	1.075	0.994	1.126	0.731	12.106	8.313	1.978	22.414	0.875	1.18	0.938	0.878	0.831	0.888	1.224	0.753	0.821	0.944	0.865	0.866	0.815	0.817	0.762	0.75	0.806	0.808
13.33907	0.817	10.016	5.644	1.225	25.23	1.16	1.116	1.065	0.75	12.094	12.329	3.052	25.011	0.977	1.058	1.083	0.687	12.775	9.446	2.014	23.851	0.912	1.163	0.967	0.888	0.76	0.79	1.044	0.601	0.858	0.846	0.767	0.903	0.744	0.69	0.663	0.678	0.734	0.818
13.50571	0.827	10.761	6.143	1.397	25.96	1.197	1.179	1.182	0.922	12.409	13.184	3.224	26.092	0.987	1.068	1.092	0.778	13.549	10.569	2.187	25.444	1.03	1.092	1.252	0.898	0.662	0.8	1.217	0.665	0.733	0.802	0.804	0.913	0.808	0.728	0.782	0.77	0.745	0.882
