	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
0.00497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17152	0.182	0.197	0.214	0.192	0.284	0.137	0.276	0.386	0.026	0.244	0.248	0.267	0.218	0.373	0.231	0.248	0.211	0.323	0.35	0.178	0.209	0.195	0.365	0.347	0.226	0.209	0.386	0.205	0.24	0.29	0.259	0.27	0.357	0.256	0.25	0.2	0.277	0.366	0.426	0.211	0.289	0.357	0.395	0.35	0.381
0.33821	0.126	0.209	0.404	0.316	0.402	0.378	0.373	0.456	0.0	0.269	0.321	0.376	0.377	0.29	0.233	0.321	0.352	0.319	0.376	0.47	0.347	0.26	0.43	0.347	0.152	0.206	0.438	0.205	0.319	0.403	0.346	0.235	0.292	0.204	0.378	0.261	0.316	0.373	0.351	0.178	0.29	0.433	0.407	0.3	0.375
0.50488	0.225	0.194	0.389	0.498	0.357	0.504	0.497	0.467	0.101	0.283	0.475	0.332	0.419	0.471	0.33	0.362	0.31	0.416	0.473	0.344	0.275	0.3	0.611	0.444	0.222	0.134	0.396	0.302	0.417	0.5	0.386	0.332	0.276	0.272	0.476	0.386	0.412	0.526	0.421	0.191	0.302	0.446	0.392	0.429	0.445
0.67151	0.234	0.202	0.425	0.59	0.365	0.682	0.674	0.616	0.111	0.264	0.483	0.396	0.37	0.422	0.536	0.427	0.404	0.339	0.565	0.58	0.339	0.392	0.59	0.593	0.343	0.254	0.546	0.366	0.481	0.507	0.479	0.453	0.312	0.449	0.342	0.45	0.476	0.477	0.514	0.283	0.451	0.539	0.485	0.438	0.537
0.83835	0.16	0.356	0.466	0.632	0.492	0.836	0.632	0.574	0.148	0.331	0.411	0.466	0.383	0.549	0.521	0.439	0.443	0.437	0.55	0.561	0.352	0.462	0.604	0.549	0.327	0.324	0.529	0.38	0.409	0.549	0.549	0.494	0.297	0.548	0.553	0.52	0.547	0.604	0.526	0.353	0.464	0.523	0.412	0.589	0.55
1.00495	0.234	0.315	0.255	0.59	0.478	0.796	0.589	0.757	0.252	0.292	0.483	0.481	0.512	0.592	0.592	0.596	0.573	0.508	0.565	0.523	0.537	0.505	0.703	0.593	0.428	0.424	0.49	0.451	0.566	0.649	0.62	0.425	0.482	0.534	0.569	0.563	0.646	0.562	0.457	0.34	0.536	0.567	0.485	0.693	0.565
1.17153	0.321	0.375	0.399	0.677	0.48	0.883	0.648	0.674	0.17	0.436	0.571	0.427	0.486	0.51	0.623	0.599	0.548	0.539	0.624	0.527	0.511	0.507	0.791	0.595	0.516	0.483	0.748	0.453	0.597	0.736	0.623	0.541	0.456	0.537	0.571	0.622	0.563	0.649	0.516	0.371	0.538	0.57	0.516	0.612	0.568
1.33822	0.2	0.309	0.361	0.75	0.525	0.903	0.835	0.634	0.023	0.372	0.59	0.501	0.504	0.782	0.641	0.618	0.568	0.529	0.585	0.549	0.529	0.496	0.807	0.471	0.422	0.444	0.598	0.471	0.53	0.584	0.583	0.53	0.559	0.582	0.59	0.668	0.579	0.666	0.621	0.36	0.584	0.588	0.535	0.577	0.558
1.50511	0.256	0.309	0.361	0.835	0.412	0.874	0.778	0.69	0.136	0.372	0.533	0.671	0.448	0.697	0.697	0.731	0.653	0.529	0.756	0.606	0.529	0.609	0.864	0.527	0.535	0.444	0.825	0.499	0.587	0.669	0.669	0.615	0.474	0.667	0.534	0.668	0.664	0.666	0.564	0.445	0.641	0.559	0.535	0.662	0.586
1.67162	0.358	0.411	0.492	0.939	0.487	1.033	0.683	0.71	0.124	0.53	0.522	0.604	0.579	0.829	0.687	0.55	0.557	0.632	0.745	0.791	0.604	0.656	0.798	0.574	0.496	0.434	0.671	0.546	0.605	0.772	0.659	0.605	0.407	0.544	0.693	0.715	0.683	0.656	0.61	0.463	0.631	0.549	0.609	0.621	0.661
1.83837	0.248	0.527	0.778	1.112	0.433	1.036	0.912	0.769	0.183	0.533	0.525	0.664	0.695	0.831	0.775	0.78	0.588	0.635	0.805	0.596	0.55	0.659	0.942	0.577	0.499	0.579	0.845	0.633	0.664	0.746	0.831	0.551	0.551	0.716	0.667	0.746	0.657	0.744	0.641	0.438	0.661	0.552	0.612	0.539	0.663
2.00517	0.396	0.475	0.441	1.312	0.462	0.928	0.771	0.882	0.052	0.483	0.528	0.865	0.556	0.719	0.72	0.841	0.595	0.552	0.693	0.72	0.552	0.602	0.829	0.55	0.446	0.552	0.596	0.578	0.638	0.777	0.776	0.497	0.44	0.661	0.7	0.747	0.629	0.687	0.56	0.411	0.663	0.611	0.559	0.663	0.609
2.17174	0.321	0.686	0.399	1.385	0.594	1.11	0.761	0.844	0.199	0.606	0.656	0.908	0.656	0.821	0.708	0.797	0.661	0.539	0.653	0.923	0.54	0.819	0.876	0.595	0.488	0.568	0.748	0.538	0.654	0.85	0.821	0.682	0.484	0.65	0.656	0.877	0.761	0.734	0.601	0.456	0.651	0.57	0.601	0.697	0.625
