	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
0.00491	0.0	0.347	0.389	0.0	0.117	0.363	0.0	0.313	0.057	0.882	0.511	0.1	0.0	0.093	0.017	0.0	0.232	0.105	0.036	0.097	0.071	0.274	0.0	0.0	0.726	0.071	0.398	0.168	0.1	0.0	0.0	0.215	0.177	0.177	0.0	0.044	0.0	0.0	0.024	0.0	0.071	0.012	0.0	0.0	0.0
0.1716	0.214	0.145	0.032	0.059	0.0	0.137	0.141	0.166	0.003	0.5	0.481	0.0	0.046	0.0	0.036	0.106	0.191	0.109	0.023	0.006	0.039	0.142	0.068	0.169	0.246	0.0	0.155	0.0	0.0	0.135	0.088	0.0	0.11	0.153	0.125	0.0	0.07	0.073	0.0	0.021	0.0	0.0	0.11	0.259	0.192
0.3382	0.704	0.186	0.0	0.099	0.024	0.237	0.238	0.0	0.098	0.289	0.344	0.066	0.075	0.072	0.0	0.139	0.065	0.037	0.092	0.0	0.092	0.009	0.14	0.237	0.224	0.011	0.176	0.236	0.119	0.148	0.047	0.076	0.063	0.0	0.178	0.068	0.063	0.045	0.223	0.069	0.041	0.155	0.015	0.131	0.154
0.50502	0.707	0.0	0.059	0.155	0.196	0.0	0.377	0.213	0.033	0.234	0.33	0.066	0.117	0.025	0.038	0.215	0.067	0.033	0.018	0.062	0.0	0.0	0.257	0.296	0.096	0.093	0.0	0.113	0.147	0.147	0.239	0.172	0.12	0.075	0.085	0.098	0.641	0.195	1.301	0.191	0.097	0.193	0.068	0.337	0.237
0.67161	0.733	0.111	0.044	0.158	0.13	0.173	0.357	0.238	0.0	0.106	0.311	0.203	0.164	0.06	0.011	0.209	0.0	0.0	0.019	0.262	0.122	0.093	0.209	0.324	0.023	0.064	0.088	0.178	0.258	0.148	0.185	0.182	0.0	0.096	0.126	0.102	0.624	0.155	0.059	0.091	0.128	0.177	0.069	0.278	0.268
0.83821	0.61	0.117	0.104	0.247	0.279	0.233	0.423	0.416	0.158	0.215	0.31	0.127	0.1	0.21	0.069	0.297	0.245	0.116	0.203	0.142	0.229	0.209	0.424	0.37	0.092	0.104	0.279	0.252	0.182	0.316	0.31	0.24	0.108	0.073	0.175	0.275	0.792	0.316	0.114	0.147	0.163	0.277	0.264	0.382	0.413
1.00505	0.874	0.144	0.117	0.191	0.185	0.08	0.48	0.4	0.092	0.0	0.277	0.346	0.201	0.323	0.133	0.254	0.404	0.211	0.0	0.063	0.265	0.124	0.28	0.304	0.201	0.174	0.301	0.341	0.208	0.287	0.216	0.181	0.072	0.139	0.182	0.109	0.651	0.186	1.19	0.142	0.245	0.282	0.152	0.376	0.248
1.17161	0.609	0.195	0.1	0.159	0.366	0.395	0.479	0.6	0.131	0.167	0.323	0.259	0.162	0.324	0.139	0.429	0.393	0.11	0.153	0.174	0.325	0.341	0.241	0.568	0.0	0.297	0.236	0.427	0.259	0.421	0.313	0.284	0.255	0.231	0.325	0.245	0.81	0.356	0.187	0.161	0.242	0.423	0.23	0.338	0.411
1.33831	0.769	0.157	0.031	0.288	0.242	0.243	0.581	0.361	0.108	0.086	0.262	0.444	0.262	0.231	0.109	0.311	0.282	0.13	0.203	0.249	0.261	0.281	0.319	0.451	0.231	0.291	0.286	0.362	0.277	0.383	0.278	0.308	0.45	0.279	0.345	0.207	0.833	0.432	0.372	0.351	0.316	0.387	0.275	0.438	0.457
1.50503	0.934	0.15	0.188	0.225	0.26	0.177	0.435	0.656	0.092	0.206	0.26	0.548	0.225	0.253	0.111	0.39	0.148	0.099	0.284	0.271	0.256	0.336	0.289	0.56	0.021	0.232	0.229	0.301	0.297	0.32	0.387	0.223	0.233	0.303	0.228	0.2	0.777	0.455	0.587	0.155	0.337	0.381	0.184	0.374	0.394
1.67174	0.957	0.187	0.243	0.262	0.261	0.287	0.447	0.435	0.131	0.181	0.288	0.615	0.34	0.433	0.151	0.41	0.168	0.174	0.057	0.172	0.189	0.311	0.456	0.529	0.068	0.311	0.285	0.399	0.222	0.384	0.383	0.168	0.337	0.351	0.272	0.295	0.862	0.472	0.316	0.379	0.32	0.479	0.276	0.295	0.517
1.83836	0.99	0.242	0.181	0.458	0.256	0.253	0.531	0.577	0.181	0.144	0.322	0.698	0.309	0.349	0.162	0.385	0.464	0.121	0.174	0.229	0.359	0.347	0.349	0.478	0.122	0.287	0.263	0.4	0.221	0.327	0.388	0.287	0.24	0.383	0.385	0.294	0.841	0.417	0.23	0.273	0.431	0.424	0.191	0.46	0.488
