	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
4.00523	0.271	0.075	0.275	0.272	0.204	0.97	0.351	0.258	3.53	0.106	0.381	0.24	0.116	0.004	0.582	0.111	0.458	0.06	0.125	0.089	0.22	0.36	0.285	0.339	1.681	0.426	0.297	0.399	0.205	0.483	0.742	0.006	0.412
4.17205	0.212	0.147	0.237	0.369	0.327	0.909	0.395	0.303	3.565	0.098	0.344	0.257	0.105	0.103	0.522	0.16	0.216	0.137	0.171	0.133	0.318	0.246	0.116	0.395	1.682	0.453	0.319	0.502	0.306	0.505	0.76	0.106	0.431
4.33858	0.265	0.07	0.189	0.295	0.2	1.045	0.536	0.253	3.709	0.235	0.241	0.181	0.112	0.08	0.603	0.024	0.342	0.189	0.147	0.084	0.324	0.3	0.009	0.412	1.673	0.391	0.345	0.366	0.2	0.558	0.656	0.0	0.406
4.50532	0.262	0.067	0.214	0.266	0.305	1.123	0.425	0.196	3.542	0.152	0.374	0.314	0.164	0.212	0.6	0.047	0.446	0.213	0.198	0.027	0.294	0.297	0.114	0.435	1.885	0.414	0.341	0.389	0.224	0.501	0.734	0.079	0.458
4.67205	0.235	0.067	0.214	0.266	0.197	1.042	0.425	0.277	3.704	0.098	0.293	0.341	0.191	0.077	0.6	0.129	0.311	0.213	0.063	0.108	0.159	0.27	0.195	0.408	1.75	0.306	0.423	0.281	0.143	0.636	0.761	0.133	0.485
4.83862	0.254	0.137	0.282	0.279	0.237	0.897	0.467	0.212	3.707	0.195	0.335	0.193	0.123	0.174	0.646	0.147	0.2	0.286	0.16	0.015	0.309	0.288	0.132	0.432	1.828	0.438	0.441	0.3	0.295	0.601	0.669	0.068	0.474
5.00545	0.228	0.062	0.29	0.261	0.22	1.036	0.501	0.272	3.721	0.092	0.234	0.228	0.105	0.207	0.486	0.095	0.222	0.098	0.058	0.157	0.316	0.264	0.162	0.426	1.877	0.379	0.335	0.383	0.218	0.576	0.648	0.127	0.452
5.17202	0.343	0.067	0.268	0.239	0.197	1.096	0.506	0.25	3.785	0.179	0.293	0.233	0.164	0.077	0.6	0.02	0.311	0.024	0.198	0.0	0.375	0.297	0.168	0.354	1.885	0.414	0.368	0.389	0.224	0.555	0.68	0.052	0.404
5.3387	0.29	0.09	0.397	0.258	0.163	0.987	0.474	0.301	3.776	0.257	0.261	0.119	0.022	0.154	0.601	0.13	0.347	0.16	0.141	0.049	0.262	0.378	0.141	0.391	2.003	0.422	0.37	0.39	0.249	0.529	0.757	0.184	0.51
5.50536	0.327	0.071	0.323	0.265	0.169	0.996	0.562	0.227	3.791	0.103	0.268	0.126	0.056	0.189	0.556	0.166	0.359	0.143	0.095	0.057	0.242	0.306	0.204	0.539	1.96	0.353	0.379	0.427	0.231	0.592	0.711	0.084	0.491
5.67209	0.29	0.063	0.451	0.204	0.217	1.041	0.636	0.355	3.858	0.203	0.342	0.092	0.184	0.263	0.546	0.076	0.455	0.079	0.141	0.049	0.343	0.243	0.141	0.391	1.867	0.422	0.559	0.417	0.222	0.664	0.703	0.103	0.51
5.83868	0.421	0.081	0.467	0.193	0.232	1.252	0.681	0.319	3.893	0.141	0.251	0.271	0.065	0.172	0.622	0.098	0.429	0.183	0.105	0.039	0.279	0.345	0.297	0.501	2.058	0.477	0.554	0.494	0.324	0.767	0.721	0.095	0.584
6.00545	0.241	0.089	0.42	0.226	0.265	1.179	0.58	0.326	4.043	0.231	0.258	0.197	0.071	0.18	0.739	0.188	0.441	0.111	0.167	0.155	0.368	0.435	0.251	0.568	2.151	0.38	0.591	0.422	0.197	0.559	0.81	0.104	0.511
6.1721	0.381	0.071	0.404	0.184	0.25	0.996	0.59	0.308	3.873	0.211	0.349	0.126	0.137	0.162	0.637	0.085	0.413	0.089	0.149	0.111	0.323	0.333	0.204	0.566	1.96	0.38	0.46	0.427	0.258	0.673	0.765	0.166	0.572
6.33886	0.293	0.093	0.372	0.206	0.327	1.153	0.72	0.357	3.998	0.179	0.236	0.176	0.051	0.076	0.712	0.16	0.351	0.164	0.09	0.052	0.264	0.462	0.143	0.449	1.925	0.453	0.562	0.421	0.252	0.586	0.76	0.079	0.513
6.50541	0.394	0.0	0.332	0.193	0.178	1.089	0.681	0.4	4.028	0.141	0.359	0.19	0.119	0.172	0.73	0.179	0.483	0.075	0.105	0.121	0.333	0.48	0.297	0.42	2.031	0.45	0.473	0.575	0.324	0.686	0.775	0.095	0.502
6.67216	0.384	0.019	0.46	0.105	0.442	1.134	0.673	0.311	4.094	0.187	0.271	0.101	0.112	0.002	0.64	0.142	0.471	0.228	0.097	0.059	0.272	0.498	0.152	0.407	2.1	0.519	0.653	0.511	0.261	0.785	0.795	0.087	0.602
6.83885	0.281	0.083	0.39	0.252	0.291	1.114	0.737	0.374	4.059	0.195	0.227	0.112	0.096	0.093	0.7	0.147	0.47	0.232	0.133	0.096	0.255	0.613	0.132	0.432	2.072	0.41	0.604	0.462	0.241	0.682	0.831	0.149	0.556
7.0055	0.375	0.174	0.453	0.288	0.3	1.071	0.666	0.438	4.079	0.26	0.317	0.176	0.105	0.022	0.739	0.214	0.351	0.164	0.09	0.187	0.318	0.489	0.279	0.53	2.115	0.426	0.616	0.475	0.306	0.775	0.76	0.241	0.594
7.17217	0.32	0.093	0.372	0.206	0.3	1.125	0.828	0.357	4.106	0.26	0.399	0.121	0.213	0.076	0.658	0.241	0.405	0.083	0.144	0.187	0.4	0.625	0.225	0.53	2.115	0.453	0.643	0.556	0.388	0.694	0.868	0.106	0.513
7.33896	0.525	0.116	0.371	0.153	0.274	1.036	0.798	0.326	4.18	0.308	0.369	0.255	0.078	0.153	0.675	0.122	0.249	0.206	0.112	0.022	0.235	0.534	0.243	0.345	2.147	0.379	0.524	0.599	0.353	0.657	0.81	0.154	0.56
7.50553	0.355	0.078	0.466	0.193	0.341	0.973	0.867	0.369	4.157	0.163	0.249	0.188	0.2	0.142	0.775	0.195	0.354	0.307	0.155	0.118	0.304	0.552	0.207	0.586	2.009	0.322	0.705	0.537	0.235	0.676	0.907	0.144	0.577
7.6722	0.379	0.129	0.356	0.272	0.339	1.051	0.946	0.42	4.125	0.241	0.327	0.159	0.035	0.139	0.799	0.192	0.35	0.033	0.071	0.197	0.301	0.468	0.204	0.528	2.168	0.48	0.621	0.534	0.232	0.835	0.931	0.222	0.628
7.83898	0.48	0.09	0.451	0.204	0.406	1.15	0.88	0.382	4.236	0.203	0.342	0.173	0.211	0.236	0.898	0.292	0.374	0.133	0.141	0.185	0.343	0.703	0.195	0.445	2.192	0.341	0.559	0.553	0.222	0.691	0.947	0.266	0.564
8.0056	0.408	0.098	0.458	0.292	0.304	1.077	1.05	0.308	4.252	0.293	0.241	0.261	0.11	0.162	0.799	0.166	0.278	0.089	0.176	0.382	0.323	0.793	0.204	0.539	2.258	0.596	0.65	0.589	0.231	0.782	0.927	0.247	0.654
8.17225	0.446	0.139	0.527	0.281	0.402	1.279	0.956	0.349	4.253	0.252	0.391	0.331	0.18	0.23	0.946	0.069	0.447	0.316	0.217	0.369	0.392	0.778	0.27	0.464	2.157	0.523	0.796	0.628	0.217	0.82	0.86	0.233	0.585
8.33899	0.355	0.078	0.52	0.355	0.395	1.027	1.029	0.45	4.319	0.271	0.303	0.324	0.173	0.223	0.883	0.276	0.327	0.144	0.209	0.415	0.466	0.688	0.18	0.451	2.226	0.43	0.759	0.672	0.208	0.838	0.907	0.306	0.631
8.50569	0.373	0.07	0.459	0.349	0.389	1.126	1.022	0.334	4.223	0.235	0.295	0.397	0.031	0.215	0.928	0.105	0.369	0.108	0.201	0.408	0.486	0.759	0.198	0.412	2.241	0.472	0.912	0.744	0.308	1.126	0.926	0.298	0.731
8.67229	0.46	0.129	0.383	0.353	0.285	0.889	0.973	0.366	4.287	0.268	0.327	0.348	0.171	0.166	0.853	0.192	0.35	0.276	0.233	0.521	0.409	0.766	0.285	0.528	2.086	0.588	0.864	0.669	0.368	0.835	0.904	0.384	0.628
8.83886	0.381	0.098	0.377	0.482	0.413	1.077	1.077	0.389	4.279	0.347	0.322	0.451	0.218	0.0	0.989	0.329	0.386	0.224	0.257	0.544	0.405	0.902	0.231	0.457	2.285	0.542	0.866	0.589	0.393	0.998	0.927	0.247	0.681
9.00559	0.332	0.178	0.427	0.64	0.38	0.998	1.265	0.416	4.411	0.456	0.51	0.557	0.214	0.134	1.074	0.252	0.453	0.202	0.202	0.624	0.538	0.987	0.26	0.526	2.299	0.473	0.817	0.729	0.341	1.057	0.981	0.41	0.682
9.1723	0.504	0.132	0.407	0.592	0.333	1.116	1.165	0.423	4.318	0.329	0.273	0.618	0.302	0.06	0.948	0.207	0.438	0.185	0.183	0.713	0.464	0.915	0.405	0.511	2.257	0.512	0.99	0.739	0.349	1.148	0.961	0.283	0.772
9.33905	0.501	0.102	0.514	0.563	0.439	1.248	1.189	0.421	4.394	0.326	0.352	0.616	0.218	0.112	1.026	0.286	0.597	0.209	0.181	0.738	0.461	1.102	0.185	0.534	2.389	0.427	1.014	0.844	0.265	1.226	0.986	0.28	0.687
9.5057	0.527	0.068	0.505	0.663	0.402	1.109	1.291	0.36	4.354	0.239	0.48	0.69	0.345	0.078	1.106	0.148	0.357	0.153	0.066	0.759	0.536	1.018	0.29	0.486	2.422	0.458	1.013	0.707	0.288	1.007	1.061	0.438	0.737
9.67235	0.574	0.22	0.383	0.84	0.388	1.045	1.307	0.539	4.385	0.256	0.332	0.678	0.332	0.093	1.07	0.222	0.327	0.227	0.245	0.91	0.578	1.146	0.281	0.593	2.392	0.564	1.032	0.89	0.332	1.189	1.077	0.401	0.727
9.83902	0.564	0.076	0.512	0.86	0.463	1.199	1.381	0.45	4.288	0.356	0.488	0.752	0.352	0.14	1.142	0.076	0.396	0.163	0.237	0.984	0.625	1.191	0.217	0.662	2.298	0.443	1.104	0.934	0.215	1.234	1.015	0.338	0.8
10.00575	0.655	0.247	0.465	1.003	0.579	1.208	1.334	0.457	4.412	0.419	0.413	0.868	0.441	0.148	1.233	0.249	0.517	0.336	0.299	1.155	0.632	1.282	0.199	0.484	2.447	0.482	1.277	1.053	0.414	1.353	1.023	0.319	0.809
10.17245	0.655	0.138	0.465	1.03	0.552	1.154	1.47	0.376	4.576	0.337	0.386	1.031	0.441	0.148	1.315	0.249	0.572	0.227	0.218	1.291	0.66	1.228	0.281	0.511	2.365	0.536	1.223	1.053	0.332	1.407	1.159	0.401	0.809
10.33909	0.439	0.189	0.568	1.243	0.517	1.072	1.412	0.318	4.513	0.308	0.518	1.136	0.517	0.253	1.18	0.114	0.281	0.174	0.242	1.398	0.819	1.42	0.308	0.549	2.484	0.49	1.226	1.055	0.331	1.3	1.183	0.426	0.835
10.50573	0.469	0.048	0.508	1.401	0.756	1.344	1.545	0.505	4.396	0.47	0.622	1.241	0.538	0.139	1.345	0.361	0.371	0.231	0.293	1.723	0.842	1.449	0.362	0.587	2.521	0.608	1.365	1.194	0.466	1.493	1.207	0.588	0.806
10.67243	0.551	0.13	0.672	1.51	0.537	1.18	1.6	0.56	4.342	0.306	0.431	1.323	0.62	0.221	1.427	0.279	0.453	0.313	0.211	1.723	0.869	1.422	0.28	0.642	2.549	0.444	1.419	1.112	0.439	1.384	1.207	0.533	0.779
10.83911	0.639	0.053	0.485	1.652	0.706	1.268	1.687	0.51	4.571	0.339	0.518	1.575	0.57	0.145	1.352	0.286	0.571	0.21	0.353	1.893	0.984	1.51	0.286	0.568	2.694	0.534	1.59	1.2	0.445	1.472	1.239	0.539	0.894
11.00581	0.464	0.066	0.443	1.883	0.772	1.283	1.783	0.578	4.597	0.407	0.366	1.834	0.637	0.158	1.313	0.302	0.345	0.172	0.285	2.262	1.051	1.526	0.301	0.699	2.742	0.581	1.607	1.299	0.323	1.516	1.253	0.636	0.881
11.17248	0.48	0.161	0.509	2.033	0.81	1.244	1.797	0.537	4.459	0.449	0.488	2.094	0.813	0.253	1.466	0.263	0.338	0.27	0.298	2.496	1.174	1.543	0.453	0.692	2.763	0.601	1.789	1.398	0.474	1.615	1.239	0.623	1.06
11.33915	0.448	0.19	0.485	2.362	0.87	1.268	1.851	0.592	4.407	0.421	0.463	2.066	0.734	0.227	1.461	0.449	0.407	0.292	0.271	2.548	1.202	1.51	0.423	0.65	2.94	0.561	1.863	1.419	0.472	1.554	1.076	0.512	0.894
11.50574	0.672	0.161	0.454	2.635	0.893	1.216	1.934	0.592	4.459	0.449	0.57	2.34	1.005	0.225	1.548	0.4	0.447	0.161	0.298	3.126	1.503	1.734	0.316	0.72	2.982	0.519	1.898	1.535	0.419	1.834	1.321	0.65	0.895
11.67244	0.427	0.157	0.558	2.934	0.968	1.435	2.013	0.616	4.615	0.474	0.566	2.723	1.054	0.194	1.578	0.347	0.401	0.135	0.267	3.318	1.582	1.627	0.481	0.594	3.048	0.555	1.929	1.593	0.583	1.809	1.263	0.731	1.031
11.83926	0.655	0.169	0.462	3.246	1.064	1.307	1.997	0.627	4.639	0.457	0.633	2.869	1.286	0.233	1.668	0.41	0.377	0.198	0.333	3.546	1.648	1.744	0.408	0.705	3.159	0.531	1.963	1.709	0.51	2.008	1.247	0.576	1.068
12.00582	0.508	0.161	0.509	3.511	1.139	1.326	1.988	0.619	4.568	0.421	0.543	3.189	1.278	0.171	1.685	0.427	0.42	0.161	0.243	3.92	1.804	1.734	0.371	0.72	3.092	0.491	2.062	1.726	0.474	1.916	1.349	0.568	0.978
12.17255	0.511	0.082	0.457	3.815	1.306	1.301	2.073	0.512	4.573	0.452	0.545	3.356	1.445	0.31	1.771	0.65	0.424	0.164	0.465	4.416	1.889	1.738	0.374	0.697	3.343	0.687	2.203	1.949	0.504	2.111	1.406	0.571	1.008
12.33919	0.464	0.203	0.579	4.099	1.319	1.283	2.139	0.578	4.597	0.517	0.476	3.803	1.512	0.294	1.587	0.493	0.482	0.254	0.367	4.56	2.282	1.663	0.438	0.753	3.289	0.581	2.291	1.955	0.541	2.309	1.444	0.636	1.045
12.50591	0.543	0.2	0.604	4.314	1.453	1.226	2.163	0.658	4.537	0.487	0.637	4.101	1.728	0.319	1.912	0.38	0.395	0.141	0.391	4.857	2.498	1.879	0.462	0.776	3.367	0.468	2.424	1.87	0.566	2.333	1.469	0.687	1.124
12.67262	0.6	0.142	0.599	4.89	1.667	1.39	2.243	0.6	4.556	0.457	0.496	4.541	1.861	0.261	1.859	0.492	0.514	0.335	0.333	5.381	2.497	1.909	0.49	0.787	3.516	0.586	2.648	2.202	0.592	2.419	1.494	0.631	1.096
12.83926	0.491	0.121	0.443	5.247	1.729	1.529	2.303	0.606	4.597	0.353	0.558	4.897	2.032	0.24	1.833	0.411	0.345	0.172	0.367	5.736	2.911	2.073	0.52	0.753	3.453	0.581	2.756	2.366	0.569	2.501	1.526	0.608	1.209
13.00588	0.675	0.219	0.594	5.541	1.935	1.411	2.265	0.676	4.628	0.452	0.655	5.164	2.376	0.337	1.908	0.567	0.588	0.191	0.41	6.771	3.148	1.929	0.484	0.888	3.507	0.523	2.778	2.36	0.723	2.741	1.707	0.625	1.145
13.17264	0.625	0.2	0.522	6.01	2.055	1.444	2.245	0.603	4.619	0.487	0.719	5.55	2.33	0.374	2.076	0.544	0.395	0.333	0.364	6.689	2.99	1.988	0.517	0.858	3.64	0.55	3.026	2.335	0.566	2.771	1.551	0.687	1.234
13.3392	0.57	0.2	0.522	6.639	2.137	1.226	2.3	0.685	4.591	0.432	0.774	6.152	2.63	0.374	2.048	0.572	0.423	0.305	0.364	7.346	3.537	2.043	0.462	0.749	3.722	0.55	3.026	2.499	0.703	2.853	1.551	0.605	1.288
13.50598	0.493	0.172	0.464	6.756	2.409	1.557	2.328	0.547	4.644	0.46	0.8	6.243	2.878	0.345	1.863	0.577	0.463	0.448	0.254	7.851	3.87	2.159	0.63	0.709	3.904	0.672	3.364	2.726	0.76	3.08	1.496	0.716	1.4
13.67254	0.56	0.193	0.57	7.475	2.566	1.463	2.455	0.677	4.658	0.423	0.848	6.797	3.032	0.393	1.956	0.562	0.493	0.295	0.356	8.181	3.965	2.197	0.535	0.736	4.037	0.62	3.343	2.734	0.721	3.033	1.679	0.706	1.389
13.8392	0.71	0.121	0.579	8.256	2.741	1.393	2.467	0.77	4.706	0.489	0.886	7.386	3.454	0.458	1.97	0.63	0.482	0.336	0.449	8.744	4.552	2.238	0.629	0.781	4.028	0.663	3.659	2.831	0.733	3.349	1.691	0.718	1.401
14.0059	0.717	0.154	0.529	8.154	2.992	1.727	2.473	0.693	4.717	0.413	0.864	7.75	3.542	0.382	1.894	0.664	0.353	0.397	0.372	8.917	4.723	2.299	0.526	0.789	4.146	0.589	3.83	2.838	0.821	3.438	1.696	0.778	1.379
14.17267	0.757	0.185	0.613	9.16	3.3	1.518	2.726	0.835	4.752	0.474	0.84	8.537	4.016	0.496	2.017	0.703	0.538	0.272	0.487	9.599	5.285	2.422	0.645	0.813	4.255	0.802	3.822	3.046	0.912	3.482	1.894	0.758	1.415
14.33937	0.645	0.216	0.591	10.0	3.521	1.545	2.591	0.728	4.65	0.449	0.899	8.692	4.153	0.335	2.233	0.646	0.447	0.188	0.38	9.97	5.582	2.337	0.7	0.857	4.214	0.683	3.678	3.15	0.912	3.695	1.896	0.869	1.416
14.50604	0.613	0.18	0.608	10.358	3.815	1.347	2.803	0.747	4.66	0.468	1.081	9.16	4.476	0.408	2.174	0.669	0.53	0.266	0.427	11.126	6.457	2.525	0.721	1.161	4.41	0.629	4.225	3.532	0.933	4.078	2.135	0.889	1.546
14.67269	0.704	0.181	0.552	10.515	4.177	1.463	2.45	0.86	4.635	0.555	1.11	9.728	4.786	0.52	2.322	0.788	0.493	0.329	0.457	10.958	6.388	2.618	0.755	0.934	4.543	0.756	4.132	3.327	1.104	3.928	2.167	0.949	1.662
14.8394	0.593	0.219	0.594	11.017	4.646	1.493	3.004	0.786	4.573	0.506	0.984	10.531	5.224	0.502	2.181	0.732	0.424	0.246	0.383	12.111	6.845	2.313	0.757	0.916	4.63	0.742	4.393	3.564	1.079	4.028	2.145	0.899	1.555
15.006	0.562	0.243	0.591	11.588	4.999	1.408	2.919	0.865	4.65	0.503	1.09	10.663	5.686	0.472	2.233	0.674	0.529	0.188	0.544	12.434	7.197	2.474	0.645	1.076	4.543	0.82	4.526	3.67	1.076	4.216	2.225	1.061	1.717
15.17284	0.737	0.251	0.544	12.478	5.146	1.499	2.791	0.901	4.666	0.512	1.098	11.499	6.381	0.48	2.435	0.684	0.432	0.253	0.416	12.888	7.866	2.758	0.818	1.089	4.666	0.86	4.703	3.983	1.14	4.145	2.452	0.987	1.562
15.33936	0.662	0.208	0.529	13.161	5.346	1.727	3.074	0.884	4.771	0.495	1.329	11.443	6.442	0.628	2.305	0.828	0.572	0.178	0.536	13.596	8.006	2.573	0.882	1.035	5.049	0.726	4.87	4.151	1.204	4.751	2.353	0.942	1.68
15.50611	0.678	0.242	0.615	13.69	5.799	1.767	2.949	0.838	4.84	0.559	1.281	12.958	6.982	0.608	2.431	0.899	0.542	0.275	0.49	13.691	8.635	2.673	0.84	1.119	5.083	0.806	4.813	4.367	1.244	4.72	2.5	1.145	1.747
15.6728	0.74	0.309	0.711	14.51	6.217	1.584	3.095	0.986	4.753	0.624	1.32	12.928	7.316	0.647	2.411	0.796	0.518	0.283	0.555	13.961	9.35	2.816	0.904	1.148	5.356	1.001	5.2	4.562	1.253	4.943	2.455	1.127	1.729
15.83945	0.717	0.208	0.612	14.584	6.796	1.59	2.992	1.049	4.853	0.577	1.411	13.933	7.947	0.628	2.442	0.91	0.49	0.397	0.7	14.526	9.593	2.819	0.882	1.063	5.569	0.89	5.089	4.726	1.286	4.834	2.736	1.134	1.872
16.00612	0.685	0.227	0.519	15.579	6.957	1.858	3.095	0.904	4.726	0.597	1.43	13.942	8.221	0.702	2.548	0.796	0.463	0.502	0.638	15.715	10.802	2.761	0.904	1.148	5.767	0.918	5.227	5.055	1.39	4.889	2.62	1.072	1.948
