	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
0.00508	0.0	0.353	0.0	0.071	0.076	0.015	0.0	0.0	0.034	0.428	0.212	0.111	0.093	0.064	0.003	0.0	0.0	0.599	0.153	0.164	0.028	0.05	0.044	0.0	0.07	0.0	0.631	0.115	0.326	0.021	0.543	0.0	0.068	0.0	0.707	0.057	0.287	0.0	0.234	0.019	0.0	0.0	0.512	0.0	0.616	0.089	0.297	0.0
0.17161	0.206	0.122	0.002	0.0	0.0	0.0	0.077	0.123	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.136	0.068	0.329	0.001	0.0	0.0	0.0	0.044	0.088	0.0	0.069	0.358	0.0	0.239	0.0	0.305	0.156	0.0	0.01	0.399	0.0	0.193	0.163	0.217	0.186	0.259	0.227	0.558	0.193	0.56	0.137	0.273	0.06
0.33827	0.305	0.059	0.09	0.195	0.123	0.242	0.095	0.36	0.182	0.0	0.128	0.287	0.17	0.19	0.061	0.299	0.215	0.137	0.0	0.11	0.183	0.114	0.0	0.206	0.231	0.137	0.104	0.179	0.086	0.072	0.124	0.342	0.188	0.102	0.132	0.166	0.028	0.247	0.0	0.104	0.43	0.369	0.134	0.191	0.17	0.04	0.0	0.169
0.50498	0.415	0.001	0.189	0.269	0.283	0.337	0.068	0.45	0.269	0.055	0.241	0.321	0.353	0.257	0.185	0.419	0.321	0.136	0.034	0.231	0.166	0.293	0.151	0.389	0.289	0.137	0.038	0.211	0.017	0.261	0.0	0.329	0.202	0.152	0.0	0.29	0.0	0.233	0.053	0.0	0.586	0.389	0.0	0.384	0.073	0.0	0.075	0.316
0.67167	0.585	0.0	0.186	0.458	0.371	0.412	0.152	0.711	0.362	0.114	0.197	0.469	0.409	0.413	0.181	0.575	0.433	0.0	0.044	0.412	0.395	0.372	0.307	0.69	0.379	0.215	0.0	0.355	0.0	0.458	0.093	0.559	0.327	0.147	0.056	0.338	0.003	0.415	0.138	0.006	0.614	0.356	0.111	0.34	0.0	0.155	0.076	0.306
0.83839	0.595	0.195	0.243	0.49	0.406	0.357	0.241	0.682	0.484	0.231	0.317	0.536	0.496	0.523	0.209	0.74	0.385	0.185	0.165	0.429	0.436	0.484	0.435	0.588	0.416	0.255	0.178	0.393	0.057	0.413	0.297	0.537	0.424	0.211	0.107	0.384	0.117	0.414	0.254	0.123	0.646	0.539	0.145	0.871	0.055	0.209	0.134	0.377
1.00495	0.558	0.181	0.254	0.504	0.589	0.532	0.257	0.718	0.45	0.249	0.336	0.447	0.538	0.589	0.302	0.751	0.538	0.325	0.185	0.399	0.458	0.553	0.38	0.687	0.435	0.243	0.064	0.413	0.092	0.57	0.319	0.712	0.366	0.171	0.275	0.217	0.188	0.45	0.325	0.196	0.743	0.4	0.133	0.812	0.172	0.356	0.231	0.373
1.1718	0.476	0.291	0.418	0.558	0.452	0.5	0.257	0.768	0.509	0.333	0.339	0.534	0.621	0.613	0.215	0.831	0.455	0.559	0.216	0.545	0.408	0.468	0.305	0.687	0.604	0.267	0.319	0.36	0.109	0.572	0.296	0.676	0.4	0.109	0.232	0.307	0.049	0.445	0.271	0.142	0.659	0.492	0.132	1.345	0.215	0.435	0.229	0.323
1.3384	0.646	0.345	0.387	0.585	0.454	0.524	0.341	0.678	0.43	0.419	0.342	0.65	0.62	0.581	0.238	0.911	0.707	0.516	0.192	0.469	0.385	0.493	0.398	0.771	0.523	0.29	0.242	0.362	0.265	0.519	0.496	0.723	0.462	0.215	0.469	0.399	0.271	0.495	0.411	0.227	0.797	0.529	0.243	1.437	0.287	0.459	0.451	0.329
1.50497	0.69	0.501	0.289	0.627	0.554	0.424	0.385	0.662	0.56	0.547	0.359	0.584	0.72	0.623	0.336	0.813	0.583	0.735	0.265	0.6	0.515	0.535	0.446	0.899	0.484	0.262	0.289	0.379	0.233	0.48	0.515	0.609	0.425	0.242	0.436	0.39	0.259	0.563	0.315	0.271	0.672	0.408	0.287	1.261	0.367	0.557	0.523	0.264
1.67175	0.682	0.49	0.36	0.644	0.432	0.522	0.375	0.786	0.553	0.595	0.351	0.661	0.709	0.721	0.406	0.771	0.516	0.624	0.23	0.541	0.537	0.579	0.443	0.889	0.476	0.413	0.369	0.399	0.435	0.612	0.594	0.614	0.448	0.194	0.55	0.359	0.248	0.689	0.445	0.234	0.829	0.489	0.361	1.117	0.456	0.712	0.597	0.427
1.83835	0.707	0.515	0.44	0.781	0.401	0.46	0.371	0.838	0.522	0.706	0.32	0.687	0.649	0.632	0.402	0.907	0.597	0.737	0.369	0.539	0.535	0.603	0.555	0.717	0.557	0.303	0.367	0.424	0.465	0.468	0.536	0.673	0.418	0.225	0.466	0.386	0.357	0.713	0.499	0.259	0.797	0.46	0.386	1.228	0.486	0.652	0.537	0.397
2.00505	0.676	0.567	0.405	0.777	0.51	0.623	0.452	0.773	0.549	0.704	0.374	0.658	0.644	0.682	0.338	0.844	0.678	0.827	0.481	0.682	0.506	0.682	0.784	0.769	0.527	0.37	0.509	0.393	0.444	0.607	0.762	0.652	0.446	0.178	0.442	0.301	0.297	0.592	0.467	0.227	0.764	0.404	0.353	1.257	0.379	0.73	0.504	0.368
2.17177	0.741	0.547	0.442	0.757	0.547	0.517	0.461	0.781	0.558	0.684	0.383	0.667	0.738	0.718	0.375	0.937	0.658	0.723	0.404	0.634	0.543	0.605	0.509	0.863	0.62	0.211	0.376	0.402	0.596	0.615	0.686	0.577	0.54	0.131	0.48	0.395	0.39	0.77	0.475	0.235	0.829	0.442	0.333	1.266	0.559	0.795	0.569	0.434
2.33847	0.642	0.674	0.368	0.684	0.475	0.756	0.389	0.933	0.545	0.67	0.426	0.654	0.694	0.644	0.471	0.92	0.643	0.8	0.476	0.594	0.501	0.532	0.584	0.762	0.606	0.263	0.478	0.359	0.505	0.658	0.816	0.684	0.443	0.098	0.5	0.327	0.46	0.81	0.575	0.278	0.955	0.459	0.375	1.226	0.524	0.75	0.611	0.251
2.50502	0.653	0.627	0.405	0.751	0.543	0.507	0.514	0.798	0.643	0.711	0.466	0.752	0.875	0.596	0.451	0.929	0.74	0.846	0.603	0.637	0.628	0.598	0.513	0.887	0.561	0.313	0.378	0.313	0.609	0.641	0.688	0.675	0.542	0.289	0.546	0.312	0.557	0.79	0.643	0.403	0.852	0.501	0.414	1.269	0.571	0.817	0.65	0.463
2.67184	0.753	0.641	0.505	0.822	0.472	0.52	0.528	0.782	0.657	0.697	0.452	0.766	0.661	0.609	0.436	0.942	0.611	0.948	0.532	0.652	0.557	0.755	0.529	0.787	0.661	0.302	0.393	0.242	0.569	0.627	0.731	0.663	0.5	0.221	0.648	0.327	0.514	0.774	0.629	0.246	0.865	0.46	0.457	1.284	0.531	0.83	0.664	0.393
2.83844	0.727	0.559	0.566	0.797	0.532	0.554	0.531	0.845	0.659	0.756	0.512	0.654	0.693	0.585	0.412	0.947	0.671	0.833	0.563	0.625	0.445	0.644	0.501	0.847	0.607	0.27	0.509	0.273	0.624	0.63	0.875	0.547	0.473	0.189	0.618	0.443	0.545	0.922	0.546	0.334	0.898	0.432	0.317	1.114	0.557	0.806	0.639	0.252
3.00507	0.61	0.556	0.533	0.851	0.614	0.578	0.385	0.811	0.686	0.725	0.481	0.681	0.804	0.78	0.465	0.942	0.668	0.862	0.532	0.624	0.529	0.697	0.614	0.815	0.804	0.331	0.45	0.413	0.541	0.656	0.817	0.606	0.5	0.221	0.676	0.413	0.485	0.803	0.657	0.274	0.865	0.431	0.428	1.227	0.645	0.83	0.664	0.307
3.17181	0.753	0.756	0.59	0.679	0.443	0.606	0.442	0.782	0.6	0.725	0.623	0.681	0.661	0.609	0.465	0.885	0.668	0.862	0.618	0.624	0.443	0.612	0.843	0.873	0.661	0.216	0.393	0.242	0.569	0.656	0.874	0.577	0.5	0.049	0.476	0.242	0.485	0.803	0.629	0.246	1.123	0.374	0.428	1.227	0.531	0.802	0.693	0.221
3.33848	0.753	0.727	0.619	0.736	0.443	0.606	0.528	0.897	0.6	0.725	0.623	0.509	0.661	0.552	0.465	0.771	0.668	0.919	0.618	0.624	0.443	0.669	0.529	0.815	0.661	0.245	0.393	0.213	0.484	0.627	0.731	0.606	0.5	0.164	0.562	0.299	0.485	0.803	0.543	0.274	0.922	0.345	0.428	1.113	0.588	0.887	0.693	0.278
3.50522	0.787	0.79	0.738	0.712	0.563	0.695	0.59	0.899	0.635	0.76	0.659	0.687	0.751	0.669	0.382	0.888	0.644	0.873	0.654	0.574	0.478	0.616	0.48	0.849	0.61	0.259	0.429	0.247	0.61	0.662	0.739	0.561	0.507	0.005	0.544	0.335	0.462	0.835	0.577	0.28	0.87	0.382	0.376	1.063	0.686	0.834	0.64	0.314
3.67184	0.701	0.618	0.738	0.77	0.505	0.724	0.562	0.813	0.807	0.817	0.773	0.716	0.694	0.669	0.411	0.831	0.788	0.987	0.797	0.488	0.507	0.73	0.509	0.734	0.696	0.202	0.487	0.276	0.61	0.605	0.681	0.647	0.45	0.091	0.515	0.249	0.519	0.749	0.577	0.28	0.87	0.382	0.462	1.177	0.542	0.863	0.726	0.257
3.83858	0.899	0.7	0.734	0.737	0.617	0.633	0.587	0.779	0.805	0.758	0.714	0.657	0.719	0.521	0.521	0.913	0.756	1.017	0.767	0.516	0.448	0.64	0.709	0.702	0.779	0.205	0.457	0.387	0.555	0.717	0.766	0.677	0.477	0.065	0.573	0.219	0.573	0.945	0.603	0.334	0.924	0.352	0.401	1.262	0.602	0.888	0.752	0.197
4.00525	0.701	0.79	0.709	0.684	0.563	0.609	0.562	0.756	0.693	0.817	0.745	0.601	0.58	0.641	0.411	0.745	0.644	0.901	0.625	0.431	0.392	0.501	0.566	0.734	0.581	0.116	0.487	0.333	0.61	0.519	0.825	0.561	0.45	0.005	0.429	0.278	0.433	0.835	0.52	0.308	0.87	0.324	0.404	1.149	0.714	0.92	0.698	0.343
