	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
0.00967	0.143	0.125	0.037	0.039	0.0	0.0	0.008	0.0	0.038	0.272	0.328	0.096	0.0	0.0	0.182	0.152	0.104	0.36	0.451	0.243	0.098	0.0	0.125	0.089	0.217	0.388	0.532	0.531	0.33	0.301	0.27	0.272	0.041	0.446	0.445	0.445	0.285	0.277	0.21	0.155	0.115	0.444	0.415	0.474	0.387	0.126	0.241	0.24
0.17144	0.102	0.0	0.0	0.0	0.195	0.224	0.0	0.195	0.0	0.0	0.0	0.0	0.018	0.107	0.0	0.171	0.09	0.0	0.065	0.0	0.0	0.076	0.0	0.02	0.06	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.092	0.026	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33808	0.272	0.401	0.058	0.374	0.317	0.345	0.262	0.287	0.079	0.312	0.106	0.401	0.151	0.359	0.213	0.227	0.148	0.355	0.13	0.23	0.113	0.295	0.137	0.092	0.077	0.177	0.184	0.42	-0.041	0.082	0.035	0.159	0.023	0.409	0.338	0.098	0.0	0.0	0.0	0.12	0.012	0.321	0.234	0.248	0.091	0.068	0.059	0.043
0.50497	0.262	0.481	0.054	0.693	0.35	0.525	0.229	0.169	0.184	0.389	0.15	0.569	0.134	0.346	0.249	0.161	0.141	0.386	0.102	0.312	0.252	0.306	0.094	0.161	0.0	0.441	0.427	0.549	0.0	0.1	0.096	0.286	0.07	0.585	0.5	0.401	0.128	0.168	0.206	0.208	0.119	0.557	0.469	0.438	0.119	0.133	0.204	0.232
0.67151	0.144	0.518	0.157	0.794	0.281	0.576	0.423	0.336	0.248	0.57	0.3	0.637	0.159	0.467	0.272	0.108	0.142	0.608	0.058	0.647	0.347	0.45	0.216	0.124	0.05	0.513	0.389	0.783	0.145	0.161	0.232	0.339	0.071	0.596	0.649	0.454	0.246	0.141	0.341	0.403	0.064	0.602	0.574	0.555	0.343	0.213	0.397	0.44
0.83817	0.097	0.516	0.109	0.795	0.327	0.562	0.376	0.29	0.123	0.494	0.204	0.545	0.2	0.371	0.26	0.105	0.176	0.541	0.0	0.787	0.243	0.34	0.211	0.133	0.078	0.625	0.547	0.794	0.247	0.326	0.266	0.379	0.085	0.707	0.723	0.645	0.328	0.247	0.344	0.407	0.09	0.635	0.607	0.567	0.286	0.31	0.581	0.373
1.00481	0.111	0.457	0.1	0.8	0.321	0.496	0.428	0.283	0.123	0.449	0.264	0.79	0.059	0.462	0.346	0.046	0.084	0.532	0.037	0.593	0.32	0.412	0.181	0.113	0.102	0.615	0.618	0.777	0.259	0.251	0.305	0.511	0.068	0.605	0.738	0.626	0.356	0.323	0.412	0.505	0.0	0.763	0.645	0.641	0.505	0.35	0.406	0.342
1.17145	0.084	0.564	0.157	0.972	0.23	0.559	0.365	0.252	0.043	0.484	0.306	0.655	0.12	0.443	0.412	0.091	0.144	0.578	0.058	0.727	0.297	0.381	0.193	0.11	0.155	0.691	0.647	0.9	0.445	0.257	0.421	0.48	0.073	0.741	0.865	0.779	0.365	0.454	0.435	0.406	0.104	0.634	0.698	0.705	0.437	0.316	0.427	0.504
1.33823	0.039	0.508	0.243	0.858	0.379	0.555	0.42	0.339	0.169	0.441	0.37	0.691	0.073	0.446	0.38	0.157	0.147	0.572	0.129	0.78	0.286	0.426	0.258	0.0	0.152	0.747	0.722	0.886	0.524	0.244	0.34	0.526	0.152	0.734	0.853	0.826	0.552	0.505	0.446	0.385	0.076	0.705	0.832	0.691	0.416	0.36	0.498	0.414
1.50499	0.196	0.475	0.173	0.887	0.28	0.58	0.537	0.178	0.103	0.474	0.428	0.627	0.136	0.381	0.436	0.0	0.063	0.608	0.16	0.63	0.197	0.304	0.223	0.031	0.067	0.721	0.693	0.95	0.31	0.278	0.34	0.682	0.092	0.739	0.794	0.859	0.393	0.447	0.384	0.354	0.104	0.705	0.677	0.632	0.385	0.422	0.498	0.441
1.67153	0.14	0.531	0.127	1.009	0.423	0.537	0.554	0.226	0.096	0.48	0.39	0.716	0.107	0.404	0.426	0.025	0.175	0.589	0.096	0.701	0.11	0.275	0.185	0.095	0.081	0.857	0.726	0.985	0.345	0.377	0.402	0.531	0.067	0.749	0.862	0.956	0.416	0.362	0.507	0.508	0.067	0.703	0.77	0.885	0.446	0.362	0.465	0.464
1.83819	0.207	0.651	0.143	0.976	0.285	0.555	0.509	0.243	0.308	0.517	0.321	0.836	0.141	0.366	0.415	0.019	0.163	0.663	0.157	0.71	0.273	0.434	0.209	0.221	0.158	0.838	0.698	1.178	0.35	0.353	0.558	0.534	0.072	0.729	0.993	0.93	0.407	0.432	0.475	0.476	0.091	0.765	0.801	0.766	0.476	0.332	0.62	0.425
2.00501	0.163	0.599	0.208	1.051	0.415	0.592	0.481	0.121	0.255	0.567	0.267	0.691	0.095	0.594	0.515	0.06	0.097	0.655	0.108	0.668	0.229	0.387	0.25	0.08	0.09	0.799	0.777	1.039	0.461	0.466	0.417	0.488	0.09	0.751	0.981	0.885	0.541	0.483	0.458	0.49	0.069	0.716	0.783	0.815	0.458	0.41	0.477	0.464
2.1716	0.093	0.621	0.289	0.948	0.277	0.61	0.593	0.233	0.118	0.498	0.319	0.838	0.15	0.457	0.44	0.238	0.158	0.65	0.162	0.757	0.223	0.286	0.365	0.041	0.149	0.857	0.706	1.127	0.423	0.523	0.471	0.574	0.052	0.778	0.913	0.909	0.467	0.477	0.48	0.261	0.09	0.738	0.712	0.84	0.481	0.308	0.593	0.39
2.3384	0.168	0.563	0.162	0.986	0.277	0.579	0.593	0.17	0.154	0.479	0.323	0.781	0.035	0.398	0.41	0.306	0.115	0.604	0.169	0.614	0.205	0.422	0.243	0.082	0.104	0.874	0.717	1.17	0.435	0.442	0.385	0.522	0.095	0.699	0.862	0.826	0.47	0.459	0.425	0.394	0.094	0.778	0.688	0.789	0.394	0.443	0.538	0.33
2.50509	0.165	0.587	0.276	1.011	0.329	0.568	0.55	0.284	0.24	0.475	0.345	0.711	0.125	0.484	0.4	0.299	0.118	0.634	0.226	0.675	0.139	0.449	0.266	0.203	0.199	0.841	0.838	1.135	0.463	0.502	0.506	0.581	0.092	0.792	0.985	0.854	0.492	0.457	0.514	0.388	0.117	0.772	0.84	0.912	0.42	0.375	0.564	0.384
2.67159	0.0	0.64	0.198	1.223	0.252	0.587	0.536	0.207	0.197	0.437	0.366	0.732	0.149	0.441	0.324	0.32	0.242	0.757	0.217	0.575	0.164	0.315	0.255	0.195	0.07	0.742	0.894	1.129	0.393	0.496	0.371	0.573	0.117	0.882	1.011	0.815	0.513	0.483	0.442	0.347	0.043	0.795	0.737	0.842	0.379	0.335	0.586	0.468
2.83836	0.104	0.648	0.3	1.042	0.322	0.625	0.574	0.277	0.11	0.447	0.373	0.803	0.158	0.449	0.458	0.359	0.0	0.577	0.163	0.585	0.174	0.324	0.263	0.521	0.08	0.879	0.808	1.17	0.433	0.411	0.38	0.583	0.158	0.766	1.021	0.982	0.425	0.493	0.546	0.356	0.082	0.803	0.872	0.852	0.388	0.344	0.627	0.475
3.00516	0.218	0.537	0.186	0.995	0.336	0.513	0.588	0.322	0.093	0.37	0.389	0.756	0.144	0.527	0.441	0.344	0.118	0.597	0.243	0.732	0.256	0.342	0.278	0.507	0.102	0.805	0.985	1.252	0.452	0.525	0.492	0.601	0.177	0.754	1.135	0.938	0.44	0.417	0.499	0.373	0.098	0.82	0.889	0.934	0.405	0.33	0.612	0.427
3.17176	0.148	0.59	0.331	1.113	0.291	0.626	0.606	0.309	0.304	0.459	0.314	0.873	0.168	0.389	0.396	0.27	0.211	0.561	0.298	0.726	0.218	0.461	0.33	0.341	0.194	0.832	0.946	1.309	0.477	0.456	0.484	0.562	0.107	0.718	1.066	0.931	0.492	0.475	0.586	0.364	0.023	0.684	0.754	0.864	0.427	0.354	0.635	0.415
3.33838	0.059	0.564	0.208	1.087	0.295	0.631	0.515	0.345	0.119	0.402	0.351	0.751	0.174	0.553	0.401	0.212	0.06	0.536	0.208	0.638	0.288	0.34	0.304	0.347	0.201	0.935	0.825	1.284	0.388	0.494	0.426	0.631	0.113	0.883	1.04	0.969	0.402	0.481	0.528	0.369	0.187	0.658	0.759	0.807	0.433	0.391	0.64	0.515
3.5051	0.287	0.596	0.362	1.057	0.323	0.595	0.542	0.277	0.245	0.408	0.35	0.816	0.083	0.52	0.494	0.244	0.169	0.577	0.306	0.709	0.231	0.472	0.335	0.32	0.085	0.785	0.862	1.417	0.521	0.597	0.525	0.573	0.087	0.829	1.079	1.006	0.591	0.425	0.531	0.435	0.059	0.724	0.73	0.94	0.435	0.427	0.579	0.482
3.67173	0.185	0.622	0.262	0.956	0.286	0.686	0.537	0.336	0.081	0.306	0.345	0.81	0.013	0.292	0.425	0.302	0.161	0.507	0.3	0.607	0.161	0.402	0.266	0.314	0.173	0.778	0.983	1.347	0.483	0.495	0.423	0.503	0.081	0.822	1.009	1.095	0.49	0.418	0.429	0.398	0.118	0.719	0.82	0.902	0.43	0.325	0.605	0.636
3.8385	0.22	0.556	0.382	1.05	0.312	0.616	0.658	0.457	0.077	0.436	0.309	0.745	0.142	0.544	0.451	0.332	0.139	0.704	0.332	0.707	0.292	0.403	0.295	0.347	0.181	0.72	0.889	1.383	0.517	0.466	0.36	0.6	0.115	0.796	1.012	1.034	0.518	0.454	0.493	0.365	0.083	0.75	0.82	0.969	0.557	0.422	0.509	0.505
4.00504	0.073	0.631	0.295	1.062	0.225	0.689	0.571	0.37	0.215	0.449	0.479	0.819	0.218	0.522	0.365	0.279	0.154	0.654	0.343	0.721	0.209	0.415	0.305	0.359	0.195	0.894	1.093	1.555	0.658	0.479	0.467	0.644	0.288	0.713	1.153	1.111	0.56	0.531	0.504	0.472	0.189	0.73	0.863	1.046	0.472	0.37	0.616	0.579
4.17175	0.169	0.567	0.359	0.902	0.289	0.689	0.539	0.466	0.119	0.353	0.415	0.723	0.059	0.554	0.429	0.342	0.154	0.622	0.343	0.625	0.305	0.543	0.401	0.264	0.195	0.734	1.029	1.395	0.53	0.543	0.467	0.548	0.128	0.777	0.961	1.111	0.528	0.531	0.504	0.472	0.157	0.761	0.863	0.95	0.472	0.338	0.553	0.483
4.3385	0.166	0.724	0.389	0.899	0.286	0.783	0.537	0.463	0.212	0.382	0.413	0.817	0.119	0.551	0.555	0.372	0.31	0.651	0.277	0.622	0.206	0.349	0.398	0.324	0.192	0.89	1.122	1.552	0.654	0.54	0.4	0.609	0.252	0.71	1.054	1.012	0.526	0.624	0.502	0.534	0.154	0.759	0.828	0.851	0.47	0.335	0.55	0.513
4.50526	0.175	0.572	0.396	1.067	0.325	0.726	0.671	0.374	0.188	0.359	0.516	0.761	0.161	0.527	0.722	0.444	0.226	0.661	0.445	0.664	0.184	0.422	0.31	0.366	0.139	0.805	1.131	1.658	0.632	0.55	0.409	0.555	0.198	0.688	1.128	1.149	0.438	0.538	0.478	0.35	0.194	0.735	0.869	0.988	0.478	0.344	0.558	0.584
4.67183	0.274	0.671	0.302	1.166	0.424	0.888	0.578	0.377	0.287	0.394	0.391	0.732	0.164	0.658	0.468	0.478	0.23	0.632	0.448	0.635	0.123	0.457	0.377	0.241	0.238	0.713	1.134	1.661	0.667	0.553	0.476	0.654	0.201	0.788	1.067	1.248	0.44	0.573	0.513	0.385	0.197	0.674	0.872	0.991	0.481	0.379	0.657	0.427
4.83853	0.156	0.62	0.35	0.987	0.312	0.776	0.658	0.393	0.173	0.372	0.373	0.713	0.11	0.448	0.547	0.268	0.331	0.64	0.332	0.548	0.197	0.435	0.454	0.411	0.181	0.816	1.176	1.67	0.645	0.562	0.455	0.632	0.243	0.572	1.044	1.13	0.55	0.518	0.461	0.365	0.178	0.814	0.915	1.128	0.557	0.326	0.541	0.505
5.00531	0.255	0.553	0.375	1.082	0.337	0.738	0.683	0.674	0.329	0.375	0.497	0.838	0.24	0.54	0.574	0.553	0.341	0.646	0.396	0.584	0.296	0.469	0.387	0.253	0.317	0.758	1.115	1.77	0.68	0.598	0.488	0.666	0.31	0.801	1.048	1.325	0.482	0.49	0.525	0.397	0.207	0.686	0.948	0.972	0.493	0.455	0.637	0.533
5.17187	0.156	0.551	0.213	1.111	0.367	0.736	0.681	0.48	0.199	0.404	0.431	0.772	0.269	0.474	0.572	0.359	0.273	0.643	0.457	0.741	0.293	0.434	0.513	0.346	0.313	0.755	1.112	1.767	0.741	0.563	0.421	0.471	0.403	0.798	1.077	1.354	0.64	0.551	0.586	0.49	0.269	0.683	0.945	1.097	0.586	0.452	0.666	0.531
5.33855	0.185	0.58	0.274	0.916	0.332	0.701	0.742	0.477	0.132	0.401	0.396	0.769	0.266	0.471	0.569	0.484	0.173	0.639	0.486	0.642	0.29	0.367	0.414	0.375	0.309	0.751	1.237	1.7	0.674	0.496	0.482	0.628	0.4	0.794	1.042	1.319	0.445	0.58	0.487	0.487	0.202	0.68	1.006	1.094	0.327	0.449	0.663	0.496
5.50528	0.197	0.655	0.283	1.023	0.309	0.743	0.751	0.519	0.399	0.477	0.438	0.78	0.246	0.545	0.579	0.399	0.348	0.589	0.562	0.591	0.399	0.443	0.393	0.451	0.26	0.765	1.345	1.873	0.75	0.573	0.494	0.576	0.38	0.712	0.991	1.363	0.487	0.593	0.691	0.402	0.213	0.659	1.05	1.074	0.498	0.365	0.642	0.538
5.6719	0.274	0.569	0.228	1.034	0.383	0.752	0.697	0.528	0.249	0.33	0.449	0.695	0.29	0.556	0.589	0.602	0.204	0.699	0.509	0.572	0.251	0.391	0.435	0.367	0.338	0.683	1.326	1.982	0.667	0.586	0.505	0.684	0.329	0.565	1.068	1.441	0.658	0.51	0.606	0.478	0.319	0.703	0.869	1.184	0.51	0.377	0.654	0.517
5.83861	0.242	0.543	0.27	1.07	0.328	0.728	0.738	0.569	0.223	0.394	0.391	0.732	0.164	0.53	0.66	0.447	0.23	0.664	0.544	0.571	0.315	0.457	0.473	0.529	0.43	0.713	1.294	2.141	0.635	0.585	0.476	0.717	0.489	0.788	1.131	1.696	0.536	0.541	0.577	0.449	0.261	0.642	0.872	0.991	0.577	0.379	0.657	0.427
6.00523	0.351	0.649	0.311	1.018	0.369	0.802	0.779	0.674	0.201	0.599	0.401	0.678	0.272	0.572	0.638	0.489	0.373	0.678	0.716	0.648	0.296	0.629	0.579	0.637	0.445	0.822	1.243	2.09	0.744	0.566	0.488	0.73	0.47	0.833	1.176	1.613	0.642	0.554	0.493	0.365	0.463	0.75	0.948	1.196	0.525	0.295	0.637	0.501
6.17199	0.239	0.668	0.396	1.067	0.325	0.726	0.671	0.662	0.188	0.647	0.388	0.665	0.288	0.527	0.722	0.668	0.354	0.629	0.637	0.664	0.312	0.326	0.502	0.43	0.522	0.805	1.483	2.265	0.664	0.646	0.473	0.555	0.486	0.88	1.224	1.597	0.533	0.634	0.574	0.478	0.354	0.639	0.933	1.244	0.51	0.44	0.622	0.584
6.33868	0.223	0.718	0.384	1.053	0.41	0.714	0.66	0.555	0.271	0.663	0.312	0.715	0.209	0.546	0.709	0.558	0.239	0.708	0.654	0.647	0.391	0.406	0.585	0.446	0.504	0.692	1.371	2.248	0.744	0.533	0.394	0.699	0.565	0.895	1.016	1.772	0.648	0.457	0.56	0.464	0.468	0.657	1.078	1.259	0.56	0.457	0.704	0.412
6.5054	0.345	0.74	0.306	1.012	0.3	0.701	0.678	0.669	0.196	0.657	0.332	0.737	0.234	0.631	0.633	0.58	0.333	0.671	0.646	0.833	0.418	0.463	0.478	0.567	0.533	0.719	1.429	2.435	0.674	0.656	0.514	0.66	0.592	0.73	1.138	1.894	0.637	0.644	0.519	0.551	0.49	0.52	1.038	1.254	0.519	0.385	0.663	0.592
6.67206	0.22	0.747	0.382	1.05	0.407	0.808	0.754	0.776	0.3	0.723	0.405	0.745	0.27	0.544	0.707	0.715	0.299	0.704	0.683	0.644	0.452	0.403	0.55	0.507	0.66	0.72	1.4	2.404	0.805	0.626	0.551	0.632	0.658	0.955	1.236	1.96	0.454	0.614	0.557	0.365	0.625	0.622	1.011	1.32	0.461	0.518	0.637	0.505
6.83873	0.31	0.742	0.346	1.045	0.403	0.707	0.749	0.675	0.263	0.845	0.368	0.739	0.264	0.602	0.702	0.614	0.227	0.825	0.773	0.733	0.35	0.525	0.481	0.533	0.684	0.714	1.362	2.589	0.734	0.556	0.481	0.594	0.747	0.948	1.229	2.017	0.449	0.639	0.583	0.36	0.62	0.617	0.846	1.345	0.551	0.32	0.631	0.564
7.00548	0.159	0.814	0.193	1.149	0.442	0.906	0.756	0.842	0.271	0.918	0.471	0.747	0.273	0.706	0.773	0.845	0.303	0.995	0.782	0.711	0.487	0.63	0.68	0.638	0.663	0.788	1.371	2.727	0.712	0.661	0.458	0.635	0.821	0.959	1.048	2.123	0.617	0.553	0.592	0.368	0.66	0.497	1.11	1.355	0.496	0.425	0.704	0.508
7.17202	0.166	0.947	0.261	1.059	0.446	0.815	0.92	0.911	0.212	1.021	0.572	0.753	0.343	0.551	0.746	0.723	0.406	0.938	0.852	0.749	0.462	0.54	0.686	0.612	0.863	0.731	1.409	2.99	0.75	0.668	0.56	0.609	0.923	1.125	1.15	2.322	0.558	0.528	0.502	0.374	0.729	0.727	1.084	1.426	0.565	0.527	0.805	0.481
7.33875	0.271	0.924	0.396	1.163	0.453	0.79	0.959	0.982	0.188	1.222	0.484	0.761	0.288	0.655	0.786	0.859	0.354	1.013	0.893	0.951	0.504	0.549	0.662	0.845	1.002	0.805	1.515	3.096	0.76	0.774	0.473	0.746	0.933	1.232	1.224	2.46	0.47	0.57	0.51	0.446	0.802	0.735	1.093	1.532	0.478	0.472	0.654	0.52
7.50549	0.389	1.071	0.283	1.087	0.438	0.807	0.848	1.127	0.142	1.406	0.406	0.684	0.31	0.642	0.771	1.039	0.284	1.134	0.882	0.847	0.591	0.443	0.617	0.643	0.932	0.829	1.537	3.058	0.943	0.701	0.526	0.672	1.085	1.192	1.183	2.548	0.551	0.561	0.594	0.402	0.821	0.659	1.146	1.747	0.498	0.461	0.674	0.506
7.6722	0.255	1.258	0.471	1.274	0.561	0.802	0.939	1.378	0.201	1.559	0.529	0.742	0.464	0.732	0.894	0.938	0.245	1.222	0.972	0.84	0.616	0.565	0.707	0.861	0.925	0.854	1.595	3.499	0.84	0.662	0.52	0.762	1.078	1.345	1.176	2.765	0.674	0.554	0.525	0.493	0.815	0.686	0.948	1.676	0.525	0.455	0.637	0.597
7.83883	0.313	1.28	0.329	1.04	0.644	0.757	0.99	1.398	0.35	1.715	0.454	0.796	0.393	0.657	0.882	0.896	0.372	1.283	1.028	0.867	0.611	0.493	0.825	0.79	1.212	0.882	1.525	3.817	0.898	0.721	0.447	0.755	1.17	1.502	1.202	2.794	0.599	0.613	0.612	0.419	1.062	0.708	1.132	1.767	0.452	0.479	0.66	0.457
8.00555	0.274	1.403	0.388	1.034	0.575	0.816	0.953	1.65	0.249	1.965	0.417	0.759	0.515	0.588	0.973	0.987	0.268	1.565	0.83	0.86	0.604	0.487	0.884	0.784	1.236	0.875	1.615	3.713	0.859	0.682	0.537	0.684	1.195	1.495	1.26	3.171	0.594	0.574	0.542	0.606	1.024	0.703	1.061	1.857	0.414	0.473	0.654	0.517
8.1721	0.235	1.619	0.342	1.153	0.594	0.771	1.165	1.831	0.27	2.089	0.47	0.813	0.54	0.609	0.93	1.299	0.298	1.691	1.015	0.92	0.631	0.512	0.745	0.809	1.267	1.064	1.576	4.033	0.789	0.805	0.433	0.677	1.319	1.877	1.318	3.297	0.518	0.504	0.565	0.437	1.176	0.726	1.085	1.98	0.565	0.401	0.677	0.633
8.33896	0.309	1.885	0.413	1.323	0.666	0.778	1.108	1.775	0.374	2.518	0.478	0.885	0.517	0.424	1.001	1.211	0.342	1.991	1.024	0.93	0.673	0.585	0.914	0.915	1.375	1.01	1.554	4.366	0.799	0.815	0.57	0.719	1.393	2.177	1.232	3.694	0.622	0.61	0.542	0.542	1.281	0.831	1.094	1.926	0.477	0.442	0.686	0.641
8.50557	0.3	1.908	0.438	1.218	0.755	0.835	1.197	1.863	0.366	2.699	0.534	0.973	0.54	0.673	1.122	1.234	0.298	2.076	1.047	1.016	0.759	0.576	0.938	1.002	1.524	1.192	1.48	4.643	0.982	0.74	0.529	0.773	1.479	2.359	1.318	3.779	0.582	0.6	0.629	0.501	1.368	0.822	1.182	2.269	0.565	0.401	0.581	0.569
