	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
8.67227	0.332	2.1	0.503	1.121	0.883	0.739	1.293	1.767	0.238	2.796	0.47	0.877	0.636	0.673	1.122	1.299	0.33	2.172	1.143	0.984	0.759	0.48	0.938	1.002	1.62	1.16	1.544	4.868	0.789	0.805	0.529	0.677	1.575	2.648	1.222	4.26	0.486	0.6	0.565	0.501	1.561	0.822	1.085	2.43	0.565	0.497	0.773	0.569
8.83891	0.341	2.334	0.413	1.034	0.762	0.843	1.365	1.775	0.278	3.385	0.574	0.982	0.614	0.585	1.194	1.307	0.246	2.409	1.152	0.93	0.834	0.521	1.043	1.043	1.728	1.171	1.457	4.88	0.799	0.75	0.538	0.783	1.779	2.981	1.296	4.433	0.622	0.643	0.574	0.606	1.57	0.799	1.191	2.441	0.477	0.442	0.589	0.577
9.00572	0.335	2.617	0.505	1.06	0.789	0.934	1.392	1.737	0.272	3.699	0.633	0.976	0.607	0.611	1.318	1.43	0.302	2.69	1.242	1.084	0.923	0.611	1.101	1.23	1.913	1.453	1.644	5.643	0.728	0.84	0.628	0.873	1.997	3.23	1.386	4.714	0.681	0.732	0.536	0.536	1.757	0.889	1.281	2.819	0.568	0.5	0.68	0.572
9.17236	0.345	2.82	0.448	1.068	0.893	0.877	1.367	1.938	0.377	3.807	0.673	0.92	0.713	0.684	1.39	1.632	0.314	2.798	1.252	1.126	0.837	0.588	1.142	1.24	1.925	1.496	1.686	5.752	0.834	0.818	0.477	0.786	2.007	3.467	1.396	4.919	0.624	0.646	0.641	0.448	1.83	0.93	1.258	2.862	0.545	0.348	0.689	0.579
9.33896	0.345	3.141	0.544	1.133	0.861	0.877	1.592	1.777	0.248	4.193	0.673	1.113	0.81	0.716	1.486	1.632	0.314	3.28	1.252	1.223	0.933	0.588	1.303	1.207	2.118	1.753	1.654	5.848	0.802	0.818	0.541	0.818	2.104	3.917	1.332	5.433	0.689	0.614	0.577	0.545	1.83	0.93	1.258	3.151	0.545	0.413	0.689	0.579
9.50557	0.239	3.228	0.537	1.06	0.886	0.87	1.52	1.93	0.272	4.406	0.633	1.104	0.832	0.708	1.478	1.719	0.302	3.461	1.242	1.116	1.052	0.419	1.326	1.23	2.202	1.742	1.676	6.478	0.792	0.808	0.468	0.777	2.189	4.097	1.29	5.774	0.52	0.54	0.568	0.504	2.014	1.082	1.185	3.429	0.568	0.436	0.712	0.54
9.67233	0.361	3.512	0.555	1.051	1.002	0.889	1.798	1.951	0.293	4.825	0.654	0.998	0.826	0.697	1.596	1.711	0.236	3.784	1.332	1.143	1.079	0.636	1.413	1.32	2.46	1.997	1.509	7.125	0.818	0.77	0.556	0.898	2.38	4.774	1.413	6.42	0.637	0.727	0.592	0.43	2.296	1.202	1.209	3.621	0.463	0.363	0.735	0.592
9.83906	0.341	3.815	0.629	1.062	1.076	0.867	1.744	1.898	0.304	5.196	0.794	1.235	0.935	0.643	1.736	1.723	0.284	4.058	1.377	1.318	1.254	0.455	1.554	1.366	2.542	2.076	1.812	7.336	0.863	0.848	0.6	0.846	2.62	5.082	1.362	6.695	0.615	0.74	0.603	0.474	2.244	1.311	1.285	4.023	0.667	0.536	0.747	0.603
10.0057	0.328	4.155	0.652	1.051	1.163	0.986	2.087	2.08	0.358	5.694	0.686	1.32	0.922	0.6	1.757	1.904	0.236	4.524	1.428	1.401	1.337	0.54	1.542	1.417	2.718	2.286	1.606	8.09	0.818	0.835	0.556	0.898	2.766	5.45	1.509	7.224	0.637	0.566	0.463	0.43	2.489	1.202	1.305	4.039	0.495	0.46	0.639	0.657
10.17244	0.293	4.542	0.641	1.366	1.218	0.879	2.143	2.008	0.285	6.121	0.807	1.314	0.984	0.656	1.975	2.029	0.4	4.725	1.392	1.529	1.304	0.664	1.633	1.672	2.885	2.611	1.893	9.069	0.944	0.897	0.518	0.862	2.929	5.717	1.282	7.879	0.661	0.693	0.682	0.585	2.711	1.326	1.397	4.397	0.585	0.455	0.826	0.616
10.33899	0.274	4.842	0.627	1.188	1.235	0.897	2.256	2.056	0.269	6.866	0.791	1.425	1.029	0.64	2.216	1.946	0.28	5.246	1.535	1.508	1.25	0.517	1.937	1.556	3.053	2.749	1.776	9.425	0.925	0.845	0.5	1.004	3.228	6.172	1.423	8.494	0.613	0.673	0.6	0.632	2.724	1.34	1.411	4.953	0.568	0.437	0.615	0.665
10.50579	0.348	5.433	0.666	1.068	1.21	0.904	2.426	2.193	0.406	6.816	0.799	1.434	0.974	0.648	2.257	2.084	0.356	6.033	1.48	1.551	1.39	0.623	1.979	1.727	3.517	3.051	1.722	9.376	0.934	0.887	0.509	0.949	3.336	6.831	1.53	9.315	0.717	0.683	0.609	0.383	2.927	1.639	1.42	4.901	0.512	0.446	0.753	0.576
10.67243	0.461	5.775	0.774	1.179	1.32	0.884	2.536	2.078	0.419	8.033	0.877	1.642	1.248	0.629	2.336	2.293	0.408	6.282	1.56	1.633	1.472	0.638	2.091	1.776	3.539	3.264	1.932	10.24	0.886	0.968	0.588	1.03	3.356	7.178	1.482	9.824	0.666	0.603	0.592	0.559	3.04	1.655	1.435	5.502	0.624	0.493	0.768	0.589
