	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
0.00496	0.0	0.167	1.924	0.097	0.28	0.238	0.066	0.068	0.002	0.159	0.012	0.098	0.262	0.269	0.265	0.0	0.295	0.033	0.196	0.12	0.133	0.205	0.039	0.0	0.166	0.061	0.066	0.0	0.0	0.0	0.0	0.035	0.0	0.065	0.094	0.0	0.0	0.176	0.0	0.012	0.0	0.0
0.17157	0.087	0.103	0.931	0.0	0.098	0.06	0.0	0.152	0.0	0.02	0.0	0.169	0.14	0.234	0.152	0.165	0.133	0.0	0.026	0.0	0.012	0.139	0.013	0.069	0.0	0.164	0.0	0.129	0.209	0.106	0.176	0.0	0.102	0.0	0.0	0.185	0.166	0.0	0.105	0.066	0.285	0.187
0.33825	0.163	0.035	0.942	0.152	0.0	0.0	1.573	0.337	0.111	0.121	0.015	0.017	0.099	0.0	0.087	0.017	0.162	0.044	0.043	0.099	0.0	0.098	0.06	0.037	0.251	0.18	0.126	0.2	0.056	0.123	0.17	0.016	0.062	0.183	0.154	0.312	0.184	0.015	0.205	0.0	0.474	0.148
0.50485	0.2	0.108	0.842	0.302	0.061	0.0	1.484	0.258	0.128	0.038	1.79	0.0	0.0	0.131	0.086	0.158	0.048	0.01	0.18	0.171	0.156	0.0	0.011	0.203	0.327	0.032	0.17	0.301	0.123	0.061	0.132	0.008	0.219	0.257	0.224	0.276	0.214	0.086	0.228	0.14	0.492	0.225
0.67158	0.285	0.174	0.75	0.305	0.06	0.015	1.498	0.0	0.102	0.115	1.861	0.033	0.146	0.058	0.02	0.236	0.227	0.08	0.0	0.095	0.165	0.062	0.148	0.302	0.418	0.155	0.347	0.198	0.24	0.272	0.196	0.244	0.032	0.352	0.231	0.54	0.207	0.122	0.299	0.132	0.442	0.211
0.83831	0.34	0.084	0.704	0.233	0.236	0.038	1.615	0.129	0.265	0.071	1.921	0.02	0.22	0.084	0.0	0.137	0.005	0.055	0.063	0.118	0.103	0.166	0.0	0.154	0.276	0.039	0.199	0.278	0.086	0.305	0.122	0.046	0.282	0.434	0.308	0.398	0.193	0.087	0.303	0.287	0.508	0.411
1.00504	0.275	0.185	0.97	0.218	0.25	0.148	1.462	0.205	0.293	0.089	2.08	0.149	0.235	0.043	0.047	0.071	0.035	0.128	0.08	0.19	0.261	0.266	0.076	0.406	0.305	0.055	0.3	0.237	0.271	0.265	0.229	0.204	0.383	0.394	0.324	0.414	0.184	0.273	0.349	0.277	0.558	0.343
1.17154	0.284	0.073	1.07	0.33	0.275	0.164	1.55	0.154	0.231	0.038	1.942	0.148	0.292	0.187	0.051	0.418	0.118	0.074	0.113	0.248	0.318	0.124	0.113	0.393	0.301	0.0	0.244	0.351	0.156	0.212	0.157	0.178	0.499	0.509	0.438	0.359	0.133	0.131	0.295	0.169	0.514	0.345
1.33826	0.147	0.08	1.13	0.358	0.269	0.222	1.479	0.095	0.31	0.032	1.957	0.063	0.467	0.083	0.072	0.359	0.15	0.117	0.016	0.169	0.298	0.213	0.172	0.364	0.356	0.152	0.336	0.417	0.3	0.313	0.202	0.161	0.538	0.607	0.473	0.341	0.329	0.366	0.454	0.278	0.616	0.388
1.50492	0.164	0.065	1.134	0.341	0.338	0.328	1.55	0.226	0.248	0.134	2.058	0.076	0.308	0.183	0.115	0.375	0.176	0.046	0.146	0.182	0.312	0.284	0.16	0.471	0.38	0.252	0.407	0.259	0.312	0.299	0.25	0.261	0.609	0.707	0.486	0.556	0.259	0.293	0.555	0.322	0.663	0.489
1.67167	0.221	0.0	1.101	0.389	0.357	0.218	1.487	0.194	0.2	0.015	1.852	0.182	0.329	0.148	0.054	0.487	0.158	0.126	0.141	0.175	0.333	0.075	0.187	0.561	0.448	0.188	0.371	0.223	0.16	0.322	0.28	0.14	0.747	0.701	0.421	0.406	0.14	0.315	0.579	0.261	0.693	0.34
1.83846	0.238	0.042	1.134	0.632	0.483	0.21	1.502	0.325	0.223	0.002	2.01	0.223	0.313	0.133	0.155	0.33	0.068	0.054	0.242	0.188	0.347	0.231	0.29	0.351	0.386	0.116	0.442	0.322	0.259	0.251	0.212	0.327	0.674	0.715	0.434	0.477	0.214	0.271	0.594	0.162	0.683	0.412
2.005	0.176	0.119	1.21	0.476	0.384	0.268	1.522	0.29	0.17	0.023	1.858	0.328	0.331	0.152	0.148	0.468	0.017	0.161	0.09	0.294	0.395	0.105	0.227	0.466	0.334	0.221	0.317	0.341	0.363	0.271	0.21	0.318	0.752	0.735	0.77	0.439	0.178	0.433	0.643	0.357	0.652	0.288
2.17165	0.185	0.091	1.168	0.504	0.526	0.313	1.583	0.384	0.338	0.0	1.919	0.327	0.475	0.183	0.268	0.388	0.246	0.222	0.152	0.266	0.396	0.278	0.293	0.772	0.532	0.252	0.519	0.284	0.246	0.39	0.252	0.291	0.956	0.708	0.54	0.47	0.271	0.377	0.676	0.247	0.781	0.464
2.33841	0.168	0.164	1.308	0.693	0.6	0.379	1.655	0.31	0.314	0.071	1.904	0.314	0.433	0.169	0.195	0.459	0.221	0.207	0.022	0.425	0.498	0.265	0.334	0.549	0.277	0.267	0.506	0.271	0.407	0.202	0.233	0.248	0.884	0.752	0.613	0.456	0.255	0.277	0.546	0.289	0.733	0.392
2.5051	0.178	0.143	1.357	0.672	0.492	0.392	1.75	0.291	0.213	0.08	1.97	0.437	0.383	0.206	0.176	0.642	0.091	0.302	0.319	0.347	0.39	0.186	0.2	0.33	0.436	0.16	0.427	0.279	0.299	0.297	0.158	0.199	1.037	0.702	0.737	0.435	0.293	0.227	0.584	0.299	0.571	0.371
2.6717	0.1	0.289	1.489	0.757	0.518	0.409	1.696	0.356	0.294	0.202	2.032	0.726	0.412	0.15	0.238	0.533	0.292	0.422	0.092	0.348	0.363	0.244	0.295	0.52	0.432	0.132	0.428	0.309	0.269	0.243	0.055	0.317	1.011	0.734	0.68	0.321	0.3	0.401	0.616	0.334	0.786	0.403
2.83836	0.252	0.265	1.502	0.763	0.696	0.533	1.673	0.304	0.217	0.266	2.125	0.819	0.417	0.127	0.216	0.453	0.302	0.572	0.156	0.469	0.513	0.162	0.215	0.528	0.5	0.225	0.52	0.314	0.274	0.278	0.149	0.322	0.901	0.739	0.656	0.501	0.306	0.319	0.68	0.369	0.794	0.322
