	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
3.00509	0.339	0.352	1.531	0.907	0.725	0.446	1.702	0.333	0.217	0.295	1.922	1.079	0.649	0.127	0.361	0.54	0.041	0.514	0.156	0.556	0.455	0.22	0.331	0.644	0.529	0.138	0.462	0.372	0.447	0.249	0.149	0.38	1.162	0.739	0.772	0.385	0.248	0.348	0.622	0.456	0.707	0.322
3.1717	0.135	0.287	1.586	1.131	0.745	0.306	1.696	0.389	0.226	0.408	2.032	1.13	0.757	0.091	0.328	0.653	0.111	0.538	0.209	0.491	0.39	0.183	0.358	0.649	0.54	0.218	0.542	0.336	0.381	0.185	0.324	0.258	1.127	0.762	0.765	0.436	0.245	0.37	0.646	0.308	0.679	0.345
3.33837	0.259	0.444	1.777	1.202	0.788	0.628	1.737	0.253	0.372	0.272	2.217	1.374	0.857	0.161	0.338	0.691	0.167	0.491	0.017	0.619	0.547	0.138	0.337	0.711	0.539	0.143	0.526	0.407	0.424	0.197	0.07	0.386	1.023	0.832	0.836	0.419	0.254	0.412	0.773	0.375	0.888	0.357
3.50508	0.08	0.551	1.767	1.366	0.834	0.397	1.815	0.276	0.318	0.411	2.064	1.684	0.876	0.239	0.273	0.453	0.0	0.599	0.212	0.726	0.567	0.157	0.361	0.566	0.4	0.25	0.545	0.252	0.354	0.217	0.154	0.406	1.13	0.823	0.942	0.41	0.364	0.46	0.649	0.398	0.741	0.377
3.67178	0.252	0.526	1.792	1.544	0.957	0.417	1.731	0.536	0.275	0.353	2.211	2.151	0.967	0.127	0.245	0.511	0.157	0.601	0.185	0.73	0.687	0.162	0.417	0.702	0.413	0.196	0.52	0.227	0.361	0.191	0.12	0.467	1.162	0.71	0.83	0.501	0.219	0.435	0.912	0.456	0.823	0.409
3.8385	0.283	0.551	1.68	1.859	1.066	0.571	1.757	0.363	0.26	0.411	2.035	2.438	1.079	0.239	0.36	0.627	0.261	0.686	0.183	0.929	0.799	0.186	0.448	0.566	0.574	0.337	0.487	0.397	0.47	0.275	0.241	0.493	1.217	0.765	0.884	0.613	0.277	0.518	0.649	0.369	0.857	0.377
4.0052	0.135	0.49	1.818	2.175	1.093	0.538	1.841	0.389	0.168	0.495	2.148	3.016	1.221	0.178	0.328	0.624	0.198	0.712	0.296	0.839	0.825	0.154	0.445	0.736	0.54	0.218	0.629	0.307	0.468	0.214	0.237	0.519	1.214	0.82	0.968	0.494	0.361	0.428	0.82	0.453	0.911	0.432
4.17175	0.222	0.548	1.731	2.407	1.296	0.451	1.841	0.36	0.313	0.495	2.206	3.451	1.221	0.178	0.328	0.537	0.111	0.712	0.296	1.1	0.912	0.183	0.416	0.765	0.366	0.247	0.658	0.394	0.468	0.185	0.179	0.49	1.301	0.82	0.939	0.349	0.332	0.515	0.791	0.395	0.853	0.461
4.33848	0.201	0.56	1.98	2.998	1.368	0.628	1.795	0.543	0.285	0.707	2.275	3.808	1.465	0.248	0.367	0.604	0.254	0.868	0.336	1.17	1.156	0.341	0.424	0.653	0.539	0.317	0.7	0.465	0.51	0.371	0.243	0.589	1.197	0.803	1.096	0.419	0.399	0.441	0.86	0.375	1.033	0.415
4.50516	0.241	0.627	1.913	3.384	1.52	0.641	1.89	0.466	0.415	0.659	2.371	4.803	1.561	0.315	0.26	0.614	0.269	0.935	0.461	1.411	1.281	0.349	0.493	0.723	0.554	0.297	0.621	0.415	0.605	0.264	0.313	0.569	1.35	0.812	1.047	0.428	0.322	0.449	0.811	0.53	0.987	0.453
4.67182	0.317	0.676	2.182	3.694	1.628	0.599	1.91	0.717	0.285	0.707	2.362	5.054	1.668	0.219	0.338	0.604	0.138	0.926	0.539	1.662	1.33	0.225	0.482	0.74	0.684	0.23	0.7	0.32	0.539	0.168	0.417	0.647	1.428	0.919	1.038	0.593	0.399	0.528	0.918	0.694	0.888	0.444
4.83855	0.23	0.763	2.182	4.331	1.773	0.686	1.91	0.456	0.314	0.736	2.449	5.749	1.842	0.248	0.251	0.691	0.225	1.042	0.597	1.836	1.417	0.399	0.482	0.711	0.713	0.317	0.786	0.552	0.626	0.255	0.33	0.589	1.457	0.977	1.125	0.506	0.515	0.615	0.947	0.665	1.033	0.444
5.00517	0.187	0.81	2.328	5.041	1.878	0.698	1.899	0.616	0.381	0.839	2.611	6.168	2.033	0.324	0.441	0.707	0.321	1.116	0.584	2.287	1.521	0.475	0.468	0.694	0.78	0.364	0.631	0.54	0.587	0.243	0.373	0.751	1.272	1.081	1.114	0.553	0.502	0.517	1.022	0.594	0.96	0.49
5.1719	0.23	0.937	2.356	5.808	1.918	0.686	1.881	0.601	0.314	1.171	2.71	7.255	2.218	0.335	0.425	0.691	0.138	1.303	0.771	2.647	1.706	0.399	0.511	0.884	0.684	0.404	0.729	0.725	0.51	0.429	0.475	0.734	1.602	1.064	1.212	0.564	0.573	0.846	1.092	0.694	0.917	0.502
5.33853	0.209	1.064	2.575	6.423	2.22	0.863	1.864	0.523	0.285	1.237	2.691	8.302	2.374	0.434	0.348	0.787	0.282	1.457	0.839	3.004	1.949	0.557	0.548	0.801	0.856	0.474	0.683	0.709	0.582	0.324	0.626	0.832	1.7	1.075	1.195	0.547	0.64	0.656	0.929	0.761	1.097	0.513
5.50526	0.206	1.09	0.051	7.027	2.333	0.772	1.89	0.606	0.367	1.349	2.688	9.021	2.631	0.344	0.576	0.668	0.305	1.541	1.183	3.58	2.09	0.381	0.487	0.884	0.736	0.356	0.709	0.735	0.608	0.234	0.477	0.829	1.523	1.217	1.279	0.487	0.55	0.595	1.099	0.903	1.093	0.481
5.67203	0.214	1.333	0.012	7.986	2.577	0.718	1.929	0.557	0.511	1.56	2.785	9.168	2.7	0.414	0.413	0.908	0.275	1.637	1.192	3.877	2.158	0.451	0.582	0.859	0.908	0.368	0.837	0.862	0.737	0.39	0.541	0.811	1.679	1.315	1.06	0.528	0.646	0.752	1.081	0.912	1.185	0.464
5.83858	0.207	1.529	0.0	8.469	2.773	0.911	1.924	0.58	0.473	1.9	2.75	10.083	2.982	0.553	0.407	0.844	0.265	1.977	1.388	4.563	2.354	0.533	0.46	0.994	0.869	0.42	0.774	0.683	0.674	0.413	0.677	0.892	1.586	1.28	1.314	0.868	0.784	0.804	1.161	0.963	1.148	0.545
6.00536	0.224	1.718	0.205	8.924	3.163	0.846	1.938	0.741	0.353	2.322	3.17	10.973	3.432	0.567	0.393	0.774	0.348	2.428	1.722	5.246	2.457	0.662	0.65	0.958	0.923	0.463	0.845	0.871	0.687	0.515	0.813	0.82	1.514	1.324	1.271	0.825	0.801	0.761	1.263	1.095	1.11	0.588
6.17205	0.387	2.026	0.446	9.98	3.386	1.007	2.016	0.817	0.569	2.542	3.248	10.901	3.653	0.587	0.471	0.85	0.275	2.677	1.886	5.726	2.794	0.654	0.669	0.945	1.081	0.599	0.779	0.862	0.679	0.39	0.714	0.869	1.65	1.373	1.262	0.701	0.935	0.752	1.052	0.999	1.156	0.579
6.33872	0.341	2.299	0.529	10.621	3.862	0.985	1.943	0.858	0.487	2.957	3.462	11.743	4.012	0.66	0.484	0.834	0.249	3.007	1.955	6.284	3.211	0.785	0.536	0.982	0.969	0.671	0.852	0.877	0.638	0.548	0.666	0.854	1.75	1.358	1.219	0.715	1.005	0.796	1.123	1.155	1.137	0.622
6.50537	0.337	2.585	0.839	11.078	4.032	1.183	2.027	0.653	0.483	3.271	3.719	12.171	4.297	0.801	0.481	0.946	0.417	3.465	2.385	7.463	3.294	0.811	0.561	1.006	1.051	0.581	0.907	1.047	0.721	0.488	0.922	1.14	1.718	1.47	1.303	0.799	0.944	0.909	1.149	1.325	1.219	0.648
6.67199	0.341	3.107	1.106	11.429	4.468	1.274	2.117	0.743	0.401	3.707	3.924	12.205	4.733	0.717	0.57	0.949	0.336	3.959	2.735	8.593	3.672	0.785	0.796	1.097	1.2	0.613	0.91	1.021	0.666	0.548	1.128	1.056	1.75	1.56	1.335	0.802	1.178	0.969	1.209	1.502	1.425	0.796
6.83871	0.392	3.449	1.327	11.554	4.954	1.201	2.144	0.709	0.353	4.014	4.323	12.471	5.073	0.804	0.539	1.002	0.343	4.527	3.131	8.433	3.897	0.844	0.79	1.256	1.063	0.585	0.968	1.166	0.871	0.634	0.973	1.026	1.72	1.587	1.364	0.745	1.058	0.941	1.294	1.525	1.184	0.708
7.00531	0.403	4.093	1.693	12.087	5.252	1.243	2.095	1.008	0.627	4.891	4.679	12.803	5.4	0.899	0.606	1.012	0.473	4.999	3.546	9.455	4.167	0.852	0.714	1.183	1.424	0.68	1.063	1.174	0.792	0.528	1.1	1.179	1.815	1.712	1.401	0.926	1.184	0.978	1.274	1.622	1.225	0.688
7.172	0.518	4.439	1.953	11.915	5.425	1.445	2.095	0.691	0.8	5.64	4.938	12.515	5.689	0.985	0.548	1.07	0.56	5.72	3.718	9.945	4.772	0.967	0.771	1.154	1.367	0.766	1.092	1.29	0.879	0.643	1.186	1.179	1.7	1.856	1.372	0.926	1.414	0.892	1.361	1.564	1.283	0.804
7.33875	0.569	5.238	2.342	11.3	6.052	1.523	2.233	0.914	0.646	6.063	5.162	13.052	6.056	1.123	0.6	1.15	0.463	6.547	4.402	10.54	5.14	1.048	0.764	1.318	1.356	0.904	1.057	1.428	0.902	0.867	1.265	1.26	1.895	1.965	1.482	0.949	1.58	1.03	1.268	1.816	1.39	0.798
7.50528	0.594	5.839	2.767	11.698	6.567	1.489	2.144	0.911	0.871	6.779	5.82	12.673	6.657	1.034	0.625	1.175	0.66	7.09	4.83	10.68	5.568	1.218	0.876	1.17	1.524	0.757	1.083	1.54	0.957	0.72	1.318	1.285	1.806	2.019	1.45	1.033	1.404	1.143	1.38	1.957	1.271	0.939
7.672	0.67	6.547	3.207	12.173	6.758	1.735	2.135	0.958	0.972	7.456	6.097	12.139	6.76	1.112	0.76	1.05	0.558	7.48	5.25	11.097	5.844	1.152	0.75	1.128	1.739	0.921	1.161	1.589	0.949	0.798	1.565	1.363	1.97	2.039	1.47	1.168	1.681	1.134	1.601	2.033	1.432	1.045
7.83877	0.63	7.081	3.559	11.756	7.092	1.664	2.241	1.322	1.015	8.247	6.718	12.555	7.093	1.304	0.577	1.126	0.772	8.445	6.015	11.312	6.235	1.317	0.826	1.231	1.666	1.057	1.21	1.839	0.884	0.932	1.726	1.411	2.018	2.173	1.376	1.188	1.815	1.126	1.62	2.166	1.449	1.036
8.00539	0.832	8.261	4.135	11.439	7.121	1.808	2.327	1.063	1.015	10.088	7.15	12.268	6.978	1.304	0.606	1.155	0.686	9.25	6.619	11.513	6.695	1.23	0.769	1.403	1.954	1.057	1.124	1.695	1.028	0.961	1.726	1.584	1.932	2.432	1.721	1.159	1.728	1.327	1.62	2.281	1.506	1.093
8.17201	0.727	8.705	4.732	11.626	7.65	2.023	2.336	1.246	1.144	9.989	7.853	12.456	7.451	1.428	0.846	1.309	0.817	10.157	7.179	12.133	6.852	1.498	0.952	1.416	1.969	0.979	1.42	1.934	1.064	0.97	1.882	1.593	2.171	2.614	1.528	1.369	1.998	1.451	1.63	2.349	1.461	1.189
8.33876	0.792	9.656	5.205	11.597	7.627	2.255	2.433	1.226	1.115	10.878	8.403	12.281	7.714	1.467	0.769	1.231	0.843	11.075	7.755	11.412	7.172	1.538	0.931	1.275	2.11	1.076	1.403	2.031	1.135	1.096	1.972	1.661	2.354	2.509	1.712	1.179	2.293	1.491	1.869	2.673	1.351	1.199
8.50535	0.789	10.341	5.399	11.248	7.652	2.279	2.315	1.222	1.196	11.821	8.398	12.621	7.853	1.637	0.68	1.314	0.838	11.3	8.211	11.119	7.541	1.564	1.071	1.386	2.22	1.131	1.314	2.2	1.103	1.092	2.025	1.744	2.322	2.793	1.68	1.435	2.232	1.517	1.78	2.612	1.347	1.254
8.6722	0.825	10.926	6.449	11.171	7.746	2.202	2.35	1.229	0.947	12.781	9.241	11.941	7.775	1.643	0.83	1.378	0.935	12.489	8.91	11.561	7.464	1.656	0.906	1.538	2.403	1.166	1.492	2.436	1.195	1.214	2.206	1.836	2.27	2.771	1.772	1.498	2.584	1.609	1.959	2.849	1.441	1.461
8.83879	1.004	12.46	7.011	10.893	7.753	2.355	2.5	1.207	1.216	12.993	9.537	11.865	8.071	1.678	0.836	1.414	0.859	13.852	9.38	11.657	7.904	1.748	1.028	1.49	2.385	1.229	1.642	2.385	1.229	1.277	2.387	1.958	2.421	3.065	1.807	1.447	2.649	1.758	1.85	2.971	1.535	1.381
9.00549	1.181	13.012	7.594	11.358	7.498	2.532	2.532	1.585	1.221	13.546	10.894	11.928	8.076	1.94	0.868	1.417	1.065	14.491	11.025	11.576	7.591	1.981	1.031	1.638	2.563	1.433	1.558	2.82	1.289	1.338	2.679	1.874	2.28	3.126	1.867	1.593	2.595	1.79	1.968	3.234	1.683	1.298
9.1721	0.95	13.242	7.681	11.329	7.728	2.618	2.618	1.441	1.48	15.042	11.21	12.186	7.874	1.997	0.926	1.561	1.152	14.75	11.715	11.346	7.649	1.923	1.175	1.667	2.649	1.606	1.817	2.791	1.376	1.424	2.679	2.191	2.51	3.241	1.954	1.795	2.94	1.934	2.055	3.378	1.683	1.7
9.33886	1.05	14.537	8.924	10.977	7.909	2.64	2.642	1.428	1.466	16.063	12.517	12.63	7.963	2.049	0.976	1.635	1.305	15.003	11.55	11.332	8.08	2.209	1.104	1.723	3.087	1.631	1.787	2.956	1.407	1.447	2.823	2.384	2.618	3.174	2.067	1.963	3.009	1.96	2.161	3.789	1.689	1.637
9.50543	1.183	14.52	8.9	11.421	8.012	3.085	2.604	1.59	1.709	15.672	12.874	12.329	8.122	2.154	0.967	1.711	1.289	16.159	13.051	11.46	8.067	2.228	1.265	1.796	3.156	1.765	1.921	3.204	1.513	1.581	3.067	2.317	2.466	3.422	2.0	2.04	3.227	2.151	2.266	3.892	1.706	1.714
9.67224	1.372	14.646	9.419	11.578	7.628	3.242	2.795	1.78	1.665	16.024	14.032	11.799	8.024	2.402	1.071	1.843	1.502	15.74	13.32	11.731	8.054	2.391	1.34	1.868	3.283	1.756	2.084	3.423	1.505	1.572	3.226	2.394	2.599	3.841	2.249	1.973	3.502	2.4	2.285	4.138	1.751	1.733
9.83895	1.394	15.397	10.099	11.693	7.852	3.099	2.814	1.772	1.695	16.292	14.208	11.456	7.992	2.593	1.062	1.778	1.477	16.178	14.042	11.504	8.281	2.466	1.305	2.095	3.431	2.032	2.016	3.558	1.693	1.763	3.424	2.671	2.561	3.833	2.095	2.078	3.783	2.533	2.305	4.42	1.603	1.752
10.00549	1.53	15.557	11.256	11.426	7.758	3.261	2.979	1.794	1.628	16.394	14.798	12.591	8.041	2.845	1.084	1.943	1.695	15.679	14.747	11.15	8.444	2.632	1.383	2.115	3.82	2.054	2.124	3.78	1.602	1.871	3.587	2.55	2.698	4.026	2.347	2.157	3.861	2.412	2.642	4.669	1.796	1.918
10.17221	1.549	16.016	12.189	11.679	7.95	3.285	2.995	1.783	1.94	16.369	15.915	12.474	8.004	2.575	1.187	1.904	1.55	15.881	16.067	11.318	8.007	2.676	1.545	1.937	3.848	2.3	2.054	3.711	1.645	1.973	4.04	2.939	2.743	4.531	2.362	2.345	4.11	2.743	2.745	4.69	1.787	1.991
10.33888	1.474	16.092	12.445	11.349	7.875	3.844	3.033	1.908	1.955	16.102	16.564	12.03	7.931	2.843	1.196	2.058	1.681	16.33	16.602	11.763	7.876	2.858	1.584	2.208	4.037	2.252	2.378	3.98	1.796	2.04	3.881	3.064	2.752	4.542	2.457	2.326	4.236	2.838	2.812	4.759	1.828	2.173
10.5056	1.597	15.462	12.909	11.511	7.828	3.721	2.979	2.117	1.92	15.649	16.078	12.195	7.886	3.106	1.229	2.266	1.878	16.451	16.839	10.894	7.804	3.234	1.621	2.253	4.18	2.341	2.265	4.215	1.825	2.159	4.358	3.184	2.957	4.981	2.546	2.444	4.851	2.928	2.703	5.174	1.954	2.378
10.6723	1.813	15.486	13.032	11.991	7.757	3.798	3.136	2.131	2.372	16.02	17.971	12.215	8.047	3.263	1.415	2.28	1.842	16.217	18.016	11.403	7.937	3.161	1.722	2.271	4.49	2.786	2.508	4.632	2.008	2.201	4.607	3.629	2.97	4.766	2.644	2.658	5.299	3.229	2.889	5.507	2.114	2.535
10.83885	1.813	15.572	13.578	11.415	7.671	4.373	3.251	2.218	2.199	16.538	17.712	12.733	7.989	3.292	1.386	2.223	1.986	16.562	18.217	11.432	8.196	3.477	1.635	2.299	4.634	2.786	2.537	4.661	1.951	2.374	4.808	3.485	3.2	5.341	2.759	2.802	4.954	3.142	2.889	5.766	2.028	2.563
11.00563	2.097	15.653	13.914	11.583	7.725	4.253	3.248	2.07	2.625	16.56	17.879	12.728	7.956	3.547	1.469	2.478	2.239	16.297	17.836	11.312	8.019	3.474	1.919	2.554	5.089	2.869	2.533	5.146	2.092	2.601	4.976	3.741	3.283	5.539	2.67	3.0	5.439	3.628	3.145	5.934	2.024	2.819
11.17234	1.907	15.786	14.575	11.252	7.851	4.527	3.401	2.426	2.555	16.839	18.876	12.945	8.084	3.529	1.652	2.46	2.083	16.604	18.547	11.01	8.089	3.656	1.844	2.654	5.452	3.138	2.629	5.186	2.101	2.697	5.048	3.924	3.409	5.867	2.737	3.154	5.797	3.897	3.328	6.35	2.238	2.973
11.33905	2.297	16.04	14.527	11.818	7.78	4.662	3.501	2.412	2.749	16.145	18.902	11.9	7.986	3.918	1.694	2.417	2.451	16.859	18.776	11.808	7.962	3.785	2.032	2.672	5.303	3.238	3.045	5.345	2.199	2.826	5.413	4.255	3.566	5.882	3.095	3.023	6.074	4.055	3.428	6.281	2.254	3.016
11.50566	2.429	16.051	14.527	11.833	8.143	4.82	3.635	2.401	2.963	16.471	19.919	12.835	8.059	4.08	1.742	2.694	2.376	16.696	19.389	11.246	8.093	3.804	2.193	2.802	5.803	3.515	3.035	5.42	2.363	2.988	5.743	4.158	3.412	5.899	3.201	3.243	6.233	4.217	3.389	6.988	2.386	3.264
11.67244	2.442	16.113	14.432	12.475	7.638	5.001	3.708	2.645	3.114	16.79	20.525	14.166	7.812	4.238	1.814	2.65	2.757	16.556	20.051	11.686	8.364	4.279	2.264	2.957	6.009	4.019	3.109	5.779	2.523	3.32	5.839	4.575	3.801	6.373	3.188	3.575	5.928	4.721	3.403	6.855	2.398	3.25
11.83893	2.512	15.843	14.95	11.885	7.909	5.074	3.718	2.8	3.073	16.839	20.171	12.628	8.17	4.537	1.911	3.007	2.63	16.575	19.267	10.981	8.118	4.405	2.42	2.798	5.941	4.174	3.493	6.136	2.647	3.561	6.66	4.759	3.639	6.759	3.255	3.672	6.459	4.818	3.817	7.789	2.382	3.434
12.00566	2.73	15.912	14.921	12.302	7.84	5.26	3.794	2.473	3.028	16.733	20.899	12.901	7.956	4.583	2.016	2.737	2.843	17.275	19.159	12.002	8.45	4.308	2.351	3.244	6.613	4.192	3.109	6.297	2.782	3.492	5.983	5.035	3.657	6.718	3.59	3.604	7.366	4.98	3.749	7.286	2.657	3.768
12.17239	3.034	16.353	14.317	11.684	7.885	5.244	3.87	2.749	3.501	16.713	19.067	13.172	7.886	4.687	2.034	2.927	2.855	16.824	20.03	11.412	7.977	4.7	2.569	3.144	6.623	4.44	3.473	6.774	2.859	3.711	6.916	5.11	3.992	7.309	3.724	4.025	7.352	5.256	4.025	7.445	2.615	3.901
12.33902	2.816	16.257	15.266	12.389	7.753	6.065	4.111	2.847	3.431	16.646	20.899	13.188	7.956	4.784	2.044	2.909	3.217	16.93	20.137	11.341	7.817	4.883	2.667	3.33	7.16	4.508	3.483	7.16	2.897	4.067	6.587	5.524	4.146	7.494	3.648	4.093	7.05	5.67	4.209	7.948	2.743	4.085
12.50572	2.986	16.825	15.638	12.343	7.867	6.014	4.174	2.991	3.608	16.978	21.054	13.454	7.836	5.015	2.079	3.111	3.304	17.092	20.116	12.183	8.011	5.289	2.781	3.604	7.065	4.998	3.519	7.241	2.995	3.783	7.198	5.58	3.95	7.718	4.114	4.126	7.812	5.699	4.268	7.905	2.881	4.202
