	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
0.0051	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.0	0.0
0.17173	0.0	0.165	0.103	0.163	0.093	0.202	0.227	0.0	0.296	0.302	0.372	0.302	0.304	0.112	0.21	0.215	0.486	0.294	0.323	0.312	0.17	0.307	0.117	0.293	0.289	0.352	0.245	0.365	0.551	0.226	0.39	0.209	0.24	0.282	0.361	0.45	0.386	0.256	0.193	0.256	0.377	0.336	0.39	0.292	0.324
0.33845	0.004	0.334	0.369	0.264	0.062	0.336	0.196	0.101	0.432	0.337	0.473	0.304	0.207	0.213	0.311	0.382	0.49	0.33	0.26	0.182	0.337	0.408	0.119	0.395	0.523	0.222	0.346	0.435	0.555	0.394	0.393	0.279	0.31	0.416	0.53	0.452	0.587	0.457	0.197	0.226	0.445	0.306	0.228	0.295	0.228
0.5051	0.029	0.523	0.238	0.267	0.165	0.206	0.2	0.065	0.391	0.371	0.472	0.173	0.372	0.113	0.277	0.281	0.54	0.29	0.32	0.279	0.305	0.539	0.248	0.388	0.352	0.284	0.377	0.327	0.671	0.387	0.452	0.432	0.266	0.479	0.489	0.58	0.548	0.517	0.247	0.286	0.41	0.365	0.354	0.289	0.189
0.67173	0.019	0.382	0.33	0.326	0.225	0.297	0.358	0.155	0.25	0.396	0.431	0.199	0.529	0.303	0.434	0.338	0.595	0.478	0.377	0.435	0.363	0.564	0.174	0.379	0.442	0.407	0.468	0.284	0.66	0.444	0.509	0.257	0.388	0.536	0.414	0.571	0.473	0.606	0.203	0.212	0.435	0.356	0.345	0.411	0.213
0.83848	0.081	0.674	0.352	0.281	0.245	0.253	0.279	0.378	0.41	0.419	0.455	0.32	0.486	0.228	0.326	0.462	0.365	0.407	0.502	0.361	0.518	0.456	0.265	0.406	0.403	0.301	0.492	0.412	0.792	0.504	0.47	0.354	0.22	0.561	0.508	0.597	0.5	0.535	0.368	0.238	0.459	0.383	0.306	0.372	0.339
1.00506	0.065	0.658	0.504	0.269	0.266	0.241	0.301	0.364	0.361	0.505	0.541	0.176	0.473	0.412	0.346	0.382	0.61	0.392	0.487	0.282	0.406	0.64	0.383	0.555	0.585	0.386	0.512	0.396	0.51	0.555	0.587	0.468	0.401	0.448	0.426	0.582	0.682	0.52	0.25	0.322	0.413	0.302	0.455	0.423	0.192
1.17179	0.239	0.667	0.578	0.243	0.339	0.347	0.308	0.076	0.469	0.578	0.483	0.315	0.547	0.222	0.354	0.555	0.522	0.566	0.398	0.455	0.513	0.483	0.391	0.499	0.496	0.427	0.586	0.406	0.818	0.465	0.464	0.446	0.378	0.655	0.534	0.69	0.593	0.693	0.262	0.298	0.553	0.278	0.365	0.366	0.135
1.33845	0.16	0.72	0.436	0.333	0.396	0.304	0.463	0.164	0.457	0.601	0.472	0.404	0.668	0.212	0.343	0.379	0.54	0.751	0.485	0.444	0.502	0.374	0.446	0.684	0.55	0.317	0.607	0.327	0.77	0.65	0.584	0.366	0.463	0.479	0.39	0.777	0.647	0.418	0.313	0.418	0.41	0.299	0.386	0.289	0.123
1.50515	0.38	0.776	0.585	0.283	0.478	0.354	0.38	0.118	0.479	0.751	0.556	0.289	0.588	0.329	0.526	0.3	0.566	0.773	0.538	0.463	0.487	0.656	0.301	0.475	0.505	0.502	0.429	0.349	0.796	0.408	0.407	0.39	0.52	0.564	0.412	0.633	0.602	0.505	0.372	0.439	0.561	0.221	0.374	0.474	0.144
1.67181	0.189	0.98	0.524	0.453	0.515	0.359	0.385	0.222	0.419	0.822	0.463	0.294	0.56	0.368	0.532	0.503	0.673	0.878	0.544	0.369	0.624	0.596	0.372	0.58	0.478	0.739	0.599	0.422	0.936	0.48	0.512	0.496	0.527	0.603	0.451	0.804	0.608	0.544	0.347	0.544	0.467	0.293	0.381	0.381	0.15
1.83858	0.189	0.947	0.623	0.387	0.515	0.326	0.418	0.222	0.584	0.822	0.76	0.327	0.692	0.302	0.532	0.371	0.64	0.911	0.643	0.402	0.591	0.662	0.57	0.712	0.609	0.607	0.533	0.158	0.738	0.579	0.479	0.562	0.494	0.603	0.319	0.837	0.575	0.609	0.38	0.544	0.467	0.194	0.315	0.447	0.15
2.00531	0.278	1.135	0.517	0.347	0.409	0.418	0.51	0.378	0.508	0.814	0.554	0.32	0.75	0.294	0.425	0.396	0.727	0.868	0.634	0.592	0.616	0.654	0.463	0.67	0.666	0.598	0.492	0.313	0.727	0.603	0.635	0.486	0.583	0.66	0.343	0.63	0.599	0.502	0.368	0.535	0.459	0.218	0.404	0.471	0.207
2.17188	0.245	1.135	0.583	0.38	0.673	0.418	0.378	0.214	0.574	0.913	0.686	0.287	0.684	0.327	0.524	0.495	0.628	1.0	0.502	0.493	0.814	0.489	0.397	0.703	0.6	0.796	0.624	0.214	0.792	0.57	0.47	0.486	0.682	0.561	0.409	0.729	0.599	0.6	0.467	0.666	0.525	0.185	0.503	0.537	0.207
2.3386	0.239	1.129	0.676	0.474	0.504	0.446	0.505	0.373	0.601	1.039	0.581	0.447	0.745	0.354	0.716	0.358	0.654	0.994	0.694	0.488	0.809	0.549	0.49	0.663	0.66	0.79	0.586	0.307	0.884	0.564	0.695	0.643	0.773	0.688	0.337	0.888	0.56	0.594	0.459	0.693	0.651	0.081	0.497	0.531	0.3
2.50531	0.245	1.168	0.681	0.479	0.673	0.517	0.279	0.378	0.508	1.144	0.587	0.518	0.75	0.458	0.622	0.462	0.661	1.099	0.733	0.559	0.781	0.555	0.463	0.703	0.666	0.73	0.525	0.346	0.825	0.57	0.503	0.584	0.813	0.693	0.211	0.927	0.665	0.502	0.533	0.798	0.558	0.087	0.503	0.537	0.207
2.67197	0.248	1.237	0.684	0.448	0.609	0.322	0.315	0.414	0.577	1.146	0.556	0.421	0.785	0.296	0.625	0.465	0.665	1.069	0.703	0.694	0.718	0.59	0.465	0.673	0.768	0.733	0.495	0.119	0.829	0.606	0.539	0.588	0.817	0.663	0.346	0.798	0.7	0.636	0.438	0.801	0.627	0.122	0.506	0.474	0.111
2.83867	0.291	1.445	0.692	0.554	0.682	0.461	0.486	0.291	0.389	1.253	0.597	0.429	0.76	0.436	0.732	0.506	0.776	1.475	0.811	0.504	1.022	0.565	0.606	0.781	0.81	0.841	0.437	0.227	0.742	0.582	0.614	0.664	0.827	0.573	0.256	0.84	0.578	0.547	0.548	1.008	0.536	0.0	0.614	0.45	0.153
3.00534	0.173	1.655	0.709	0.54	0.8	0.545	0.571	0.471	0.568	1.5	0.647	0.447	0.876	0.354	0.65	0.555	0.818	1.521	0.793	0.685	0.776	0.681	0.49	0.894	0.792	0.823	0.619	0.109	0.884	0.663	0.629	0.676	0.905	0.589	0.435	0.822	0.659	0.496	0.459	0.99	0.454	0.212	0.596	0.531	0.135
3.1719	0.239	1.754	0.775	0.54	0.701	0.314	0.571	0.406	0.601	1.698	0.779	0.545	0.975	0.321	0.65	0.555	0.654	1.685	0.925	0.652	0.908	0.483	0.589	0.795	0.693	0.888	0.586	0.241	0.818	0.597	0.497	0.742	1.103	0.688	0.238	0.986	0.757	0.594	0.525	1.056	0.553	0.212	0.398	0.432	0.135
3.33872	0.16	2.234	0.699	0.826	0.889	0.436	0.661	0.46	0.588	1.983	0.637	0.535	0.866	0.343	0.836	0.577	0.54	1.968	0.715	0.74	0.963	0.572	0.643	0.881	0.78	0.975	0.476	0.294	0.901	0.486	0.485	0.761	0.99	0.577	0.423	0.81	0.745	0.582	0.51	0.944	0.64	0.266	0.584	0.42	0.123
3.50535	0.433	2.376	0.904	0.636	0.798	0.641	0.668	0.403	0.565	2.255	0.645	0.51	1.071	0.417	0.746	0.618	0.65	2.275	0.79	0.682	0.806	0.645	0.783	0.957	0.756	1.116	0.682	0.337	0.814	0.66	0.593	0.837	1.066	0.75	0.597	0.885	0.688	0.493	0.62	1.184	0.451	0.473	0.659	0.528	0.198
3.67207	0.309	2.84	0.851	0.617	0.845	0.621	0.78	0.38	0.375	2.79	0.821	0.49	0.918	0.527	0.921	0.596	0.784	2.739	0.798	0.726	0.95	0.723	0.826	0.931	0.929	0.993	0.659	0.18	0.784	0.536	0.503	0.711	1.137	0.629	0.605	0.894	0.632	0.666	0.589	1.126	0.495	0.645	0.667	0.635	0.109
3.83881	0.334	3.397	0.904	0.669	0.798	0.542	0.898	0.732	0.664	3.308	0.743	0.74	0.939	0.417	1.009	0.552	0.716	3.196	0.922	0.781	1.004	0.678	1.08	0.957	0.855	1.116	0.583	0.337	0.88	0.66	0.593	0.772	1.363	0.652	0.696	1.016	0.656	0.69	0.653	1.283	0.649	0.703	0.659	0.627	0.297
4.00549	0.315	4.163	0.856	0.655	0.784	0.692	0.884	0.517	0.579	3.749	0.727	0.692	1.022	0.533	1.19	0.568	0.726	3.733	1.002	0.764	1.054	0.662	1.029	0.97	0.935	1.065	0.665	0.317	0.89	0.674	0.509	0.751	1.177	0.733	0.775	0.801	0.572	0.573	0.597	1.33	0.435	0.75	0.575	0.608	0.18
4.1722	0.437	4.906	1.045	0.812	0.974	0.618	1.172	0.607	0.668	4.331	1.015	0.619	1.047	0.525	1.083	0.691	0.715	4.543	0.959	0.854	1.079	0.851	1.02	0.961	0.926	1.056	0.591	0.505	0.846	0.632	0.565	0.904	1.264	0.659	0.897	0.956	0.727	0.597	0.684	1.452	0.591	0.872	0.73	0.599	0.171
4.33876	0.506	5.699	0.982	0.748	0.976	0.686	1.306	0.61	0.638	5.419	0.821	0.72	1.148	0.527	1.184	0.891	1.014	5.533	0.897	1.021	1.048	0.657	1.155	0.865	0.765	1.289	0.462	0.508	0.784	0.733	0.568	0.809	1.367	0.629	0.999	0.795	0.927	0.567	0.622	1.521	0.594	1.04	0.733	0.504	0.109
