Strain,Mutations,Duplications,Compound
12PD4-6,5.0,103691.0,12PD
12PD6-3,6.0,0.0,12PD
12PD6-9,4.0,62672.0,12PD
23BD1-6,9.0,0.0,23BD
23BD1-9,9.0,0.0,23BD
23BD2-4,9.0,0.0,23BD
23BD2-7,7.0,0.0,23BD
23BD2-9,7.0,0.0,23BD
23BD4-3,9.0,674.0,23BD
23BD4-4,6.0,682156.0,23BD
23BD4-7,4.0,0.0,23BD
23BD5-1,7.0,699296.0,23BD
23BD5-7,8.0,0.0,23BD
23BD5-10,4.0,0.0,23BD
23BD6-1,7.0,0.0,23BD
23BD7-4,11.0,0.0,23BD
23BD7-5,9.0,0.0,23BD
23BD7-7,11.0,0.0,23BD
23BD8-2,6.0,157043.0,23BD
23BD8-7,7.0,0.0,23BD
GLUT1-3,6.0,0.0,GLUT
GLUT1-9,5.0,0.0,GLUT
GLUT1-10,8.0,1425.0,GLUT
GLUT2-1,6.0,0.0,GLUT
GLUT2-9,4.0,1352.0,GLUT
GLUT2-10,6.0,679.0,GLUT
GLUT3-5,3.0,0.0,GLUT
GLUT3-7,3.0,0.0,GLUT
GLUT3-9,7.0,0.0,GLUT
GLUT4-1,4.0,687.0,GLUT
GLUT4-4,7.0,1411.0,GLUT
GLUT4-10,5.0,0.0,GLUT
GLUT5-4,6.0,0.0,GLUT
GLUT5-5,5.0,0.0,GLUT
GLUT5-9,5.0,0.0,GLUT
GLUT6-4,5.0,651.0,GLUT
GLUT6-5,6.0,0.0,GLUT
GLUT6-10,6.0,0.0,GLUT
GLUT7-2,5.0,0.0,GLUT
GLUT7-6,4.0,0.0,GLUT
GLUT7-7,24.0,0.0,GLUT
GLUT8-5,5.0,702.0,GLUT
GLUT8-6,6.0,1232.0,GLUT
GLUT8-9,9.0,0.0,GLUT
ADIP1-1,8.0,671.0,ADIP
ADIP1-9,9.0,1355.0,ADIP
ADIP2-5,4.0,700.0,ADIP
ADIP2-6,4.0,1416.0,ADIP
ADIP2-10,4.0,658.0,ADIP
ADIP3-2,8.0,0.0,ADIP
ADIP3-4,10.0,0.0,ADIP
ADIP3-8,6.0,1342.0,ADIP
ADIP4-8,10.0,0.0,ADIP
ADIP6-3,7.0,0.0,ADIP
ADIP6-9,8.0,0.0,ADIP
ADIP6-10,7.0,0.0,ADIP
ADIP7-2,7.0,0.0,ADIP
ADIP7-5,6.0,679.0,ADIP
ADIP8-3,5.0,1374.0,ADIP
ADIP8-7,5.0,1384.0,ADIP
ADIP8-10,5.0,1383.0,ADIP
PUTR2-4,3.0,0.0,PUTR
PUTR2-6,3.0,0.0,PUTR
PUTR3-1,10.0,0.0,PUTR
PUTR3-9,7.0,0.0,PUTR
PUTR3-10,10.0,0.0,PUTR
PUTR4-3,5.0,0.0,PUTR
PUTR4-7,5.0,0.0,PUTR
PUTR4-8,9.0,0.0,PUTR
PUTR5-1,8.0,0.0,PUTR
PUTR5-6,3.0,0.0,PUTR
PUTR5-8,2.0,0.0,PUTR
PUTR6-2,5.0,0.0,PUTR
PUTR6-7,11.0,0.0,PUTR
PUTR6-10,11.0,1388.0,PUTR
PUTR7-1,4.0,0.0,PUTR
PUTR7-7,3.0,1738.0,PUTR
PUTR7-9,4.0,5020.0,PUTR
PUTR8-3,7.0,2122.0,PUTR
PUTR8-6,9.0,0.0,PUTR
PUTR8-10,9.0,0.0,PUTR
HMDA1-10,7.0,0.0,HMDA
HMDA2-1,4.0,671.0,HMDA
HMDA2-8,4.0,678.0,HMDA
HMDA3-4,4.0,0.0,HMDA
HMDA3-5,6.0,1369.0,HMDA
HMDA3-6,5.0,686.0,HMDA
HMDA5-4,5.0,1410.0,HMDA
HMDA5-5,4.0,1395.0,HMDA
HMDA5-10,5.0,0.0,HMDA
HMDA7-1,4.0,0.0,HMDA
HMDA7-7,3.0,0.0,HMDA
HMDA7-10,4.0,0.0,HMDA
HMDA8-5,8.0,0.0,HMDA
HMDA8-9,6.0,0.0,HMDA
HMDA8-10,7.0,0.0,HMDA
IBUA1-7,5.0,0.0,IBUA
IBUA1-9,6.0,0.0,IBUA
IBUA2-1,8.0,0.0,IBUA
IBUA2-6,7.0,0.0,IBUA
IBUA2-9,8.0,0.0,IBUA
IBUA3-10,4.0,0.0,IBUA
IBUA4-1,4.0,131940.0,IBUA
IBUA4-8,4.0,0.0,IBUA
IBUA4-9,6.0,135361.0,IBUA
IBUA5-2,4.0,27226.0,IBUA
IBUA5-6,4.0,114651.0,IBUA
IBUA6-7,7.0,0.0,IBUA
IBUA6-9,7.0,0.0,IBUA
IBUA7-6,3.0,39067.0,IBUA
IBUA7-7,5.0,0.0,IBUA
IBUA7-9,3.0,84743.0,IBUA
IBUA8-3,6.0,0.0,IBUA
IBUA8-4,5.0,0.0,IBUA
IBUA8-10,6.0,0.0,IBUA
COUM1-2,8.0,0.0,COUM
COUM2-3,6.0,1096364.0,COUM
COUM2-4,10.0,0.0,COUM
COUM2-7,6.0,0.0,COUM
COUM3-1,9.0,0.0,COUM
COUM3-9,8.0,0.0,COUM
COUM3-10,8.0,0.0,COUM
COUM4-2,5.0,82281.0,COUM
COUM4-5,6.0,82664.0,COUM
COUM4-10,4.0,83389.0,COUM
COUM5-3,9.0,0.0,COUM
COUM5-5,6.0,0.0,COUM
COUM5-8,9.0,0.0,COUM
COUM6-2,7.0,12685.0,COUM
COUM6-5,7.0,14650.0,COUM
COUM6-9,9.0,243649.0,COUM
COUM7-5,9.0,611.0,COUM
COUM7-6,7.0,0.0,COUM
COUM8-1,5.0,640.0,COUM
COUM8-6,6.0,0.0,COUM
BUT1-2,7.0,0.0,BUT
BUT1-3,6.0,0.0,BUT
BUT1-5,7.0,0.0,BUT
BUT2-9,5.0,0.0,BUT
BUT3-3,6.0,0.0,BUT
BUT3-6,7.0,0.0,BUT
BUT3-7,7.0,0.0,BUT
BUT4-4,6.0,1399.0,BUT
BUT4-7,7.0,0.0,BUT
BUT4-9,7.0,0.0,BUT
BUT5-2,8.0,694.0,BUT
BUT5-3,7.0,0.0,BUT
BUT6-1,6.0,0.0,BUT
BUT6-3,5.0,0.0,BUT
BUT6-8,6.0,0.0,BUT
BUT7-6,6.0,0.0,BUT
BUT7-7,6.0,0.0,BUT
BUT7-9,5.0,0.0,BUT
BUT9-7,6.0,0.0,BUT
BUT9-10,6.0,0.0,BUT
OCTA1-3,5.0,700.0,OCTA
OCTA1-5,6.0,0.0,OCTA
OCTA1-9,4.0,0.0,OCTA
OCTA2-10,5.0,0.0,OCTA
OCTA2-14,3.0,0.0,OCTA
OCTA2-16,3.0,0.0,OCTA
OCTA4-9,3.0,0.0,OCTA
OCTA4-10,3.0,0.0,OCTA
OCTA4-13,3.0,0.0,OCTA
OCTA5-4,5.0,0.0,OCTA
OCTA5-8,6.0,0.0,OCTA
OCTA5-9,4.0,0.0,OCTA
OCTA7-2,5.0,0.0,OCTA
OCTA7-9,6.0,0.0,OCTA
OCTA7-10,5.0,0.0,OCTA
OCTA8-5,2.0,1377.0,OCTA
OCTA8-7,3.0,667.0,OCTA
HEXA1-1,6.0,0.0,HEXA
HEXA1-4,6.0,0.0,HEXA
HEXA1-5,5.0,0.0,HEXA
HEXA2-3,4.0,139812.0,HEXA
HEXA2-9,3.0,150236.0,HEXA
HEXA2-10,3.0,0.0,HEXA
HEXA3-1,6.0,0.0,HEXA
HEXA3-7,6.0,0.0,HEXA
HEXA3-9,5.0,0.0,HEXA
HEXA4-4,5.0,0.0,HEXA
HEXA4-7,5.0,0.0,HEXA
HEXA4-10,4.0,0.0,HEXA
HEXA6-5,4.0,0.0,HEXA
HEXA6-6,3.0,0.0,HEXA
HEXA6-7,5.0,0.0,HEXA
HEXA6-9,5.0,5862.0,HEXA
HEXA7-2,7.0,26974.0,HEXA
HEXA8-1,8.0,0.0,HEXA
HEXA8-2,6.0,0.0,HEXA
HEXA8-5,7.0,1456.0,HEXA
