strain,"1,2-propanediol","2,3-butanediol",HMDA,M9,NaCl,adipate,butanol,coumarate,glutarate,hexanoate,isobutyrate,octanoate,putrescine,evolved_compound
12PD4-6,0.6496515249801682,0.44168820980348505,0.0,0.769154178674427,0.0,0.18053463832694364,0.0,0.13948339111323035,0.18273826202774165,0.6020232986528057,0.0,0.3448905248085611,0.0,"1,2-propanediol"
12PD6-3,0.5741518729283602,0.38138775805023917,0.07250424192580661,0.7307505563289652,0.03946226509298783,0.22124108990156013,0.0,0.5026176462855405,0.15009923183575308,0.5310555639506953,0.0,0.06370420088952593,0.0,"1,2-propanediol"
12PD6-9,0.5730400951167338,0.3921654586011751,0.22442944285529004,0.6847072079384855,0.1061104003172289,0.1973083294222202,0.10021368310176847,0.4909268366294507,0.1504308783186322,0.5070873910556525,0.0,0.16653622973986223,0.0,"1,2-propanediol"
23BD1-6,0.5222546849561637,0.35538005537821854,0.16716390474807596,0.5750596353955576,0.1528860222406059,0.22958688832908788,0.46497179906552466,0.0,0.18773096957369872,0.43704232181100827,0.08750036746418477,0.38800319846828857,0.2385170229562219,"2,3-butanediol"
23BD1-9,0.5063885923641699,0.3203705485779435,0.057716399842604134,0.5851848017795981,0.14893211554156682,0.21415468451853056,0.46538761015101143,0.0,0.17544146172442768,0.4254119881916893,0.08951117892926068,0.4081478437848354,0.21883837186117108,"2,3-butanediol"
23BD2-4,0.47471059640799046,0.3193478437122302,0.17730289301048976,0.5634198889314997,0.10111076564277804,0.0,0.2955664877457296,0.0,0.0,0.2905297562235758,0.24577737170918287,0.0,0.09436400608833018,"2,3-butanediol"
23BD2-7,0.5015141755806457,0.31727448007311276,0.19196665094795676,0.6886361124543048,0.1137610347833828,0.0,0.3050830068376646,0.0,0.0,0.28199658906967273,0.22245991996670686,0.0,0.09986056598252595,"2,3-butanediol"
23BD2-9,0.49025669680523976,0.3433203879297648,0.181366336879075,0.6384684041727163,0.1169691830617926,0.0,0.3293720224970811,0.0,0.0,0.27895908560558447,0.19921063088128707,0.10983270931961191,0.11357771616507843,"2,3-butanediol"
23BD4-3,0.5490828141777625,0.35601763991279123,0.20553627373246366,0.6785835160499701,0.1614438283777683,0.1779011650992688,0.5207535642665281,0.0,0.15099897844015261,0.4255917508414193,0.0,0.4135979141859494,0.23914716969278024,"2,3-butanediol"
23BD4-4,0.5081553535398743,0.37503592032602473,0.18370384419441382,0.5121032300499299,0.14455873368063704,0.10935204978583864,0.4685894082027783,0.0,0.10911228978503162,0.43730637535122446,0.0,0.0,0.19235070645599736,"2,3-butanediol"
23BD4-7,0.5016900360352164,0.43311071675486784,0.1055902395584973,0.6619449739304466,0.030299455507259567,0.0,0.0,0.1396142955716181,0.0,0.3330316666630464,0.2185636838798617,0.0,0.132408648593358,"2,3-butanediol"
23BD5-1,0.4858683073805579,0.37205796479781245,0.22847770884818552,0.6278498755000647,0.1210579359285207,0.11197349959177154,0.2110039230381956,0.0,0.10780663479330772,0.4735531714441843,0.2894901314936402,0.39228894691934224,0.21434340468658705,"2,3-butanediol"
23BD5-10,0.483151150656733,0.3613902512041851,0.22492265454818963,0.6595542736175163,0.14252706039204263,0.13703231886684564,0.0,0.3802680440336902,0.1093815519024414,0.4537351346852729,0.30305174851058597,0.4118957306005877,0.2091832335115993,"2,3-butanediol"
23BD5-7,0.48013563238158735,0.3758562652027711,0.2265180170866594,0.7279578789135898,0.1343092881626102,0.13670799837568434,0.0,0.12870374519694883,0.1103285795256837,0.5079466092463752,0.3043517646191984,0.40626323358594485,0.23937929329979524,"2,3-butanediol"
23BD6-1,0.5697825629478965,0.39570442489879243,0.30232025030012943,0.7620222028635283,0.07781238708270541,0.1733783641173597,0.2060310011445586,0.1398393257016565,0.11792355122388676,0.3992653430936832,0.07652746412092384,0.22837457715976903,0.10042847187620765,"2,3-butanediol"
