,12PD_A4_F50_I1_R1,12PD_A6_F50_I1_R1,23BD_A1_F50_I1_R1,23BD_A2_F50_I1_R1,23BD_A4_F50_I1_R1,23BD_A5_F50_I1_R1,23BD_A6_F50_I1_R1,23BD_A7_F50_I1_R1,23BD_A8_F50_I1_R1,ADIP_A1_F50_I1_R1,ADIP_A2_F50_I1_R1,ADIP_A3_F50_I1_R1,ADIP_A4_F50_I1_R1,ADIP_A6_F50_I1_R1,ADIP_A7_F50_I1_R1,ADIP_A8_F50_I1_R1,COUM_A1_F50_I1_R1,COUM_A2_F50_I1_R1,COUM_A3_F50_I1_R1,COUM_A4_F50_I1_R1,COUM_A5_F50_I1_R1,COUM_A6_F50_I1_R1,COUM_A7_F50_I1_R1,COUM_A8_F50_I1_R1,GLUT_A1_F50_I1_R1,GLUT_A2_F50_I1_R1,GLUT_A3_F50_I1_R1,GLUT_A4_F50_I1_R1,GLUT_A5_F50_I1_R1,GLUT_A6_F50_I1_R1,GLUT_A7_F50_I1_R2,GLUT_A8_F50_I1_R2,HMDA_A1_F50_I1_R1,HMDA_A2_F50_I1_R1,HMDA_A3_F50_I1_R1,HMDA_A5_F50_I1_R1,HMDA_A7_F50_I1_R1,HMDA_A8_F50_I1_R1,HEXA_A1_F50_I1_R1,HEXA_A2_F50_I1_R1,HEXA_A3_F50_I1_R1,HEXA_A4_F50_I1_R1,HEXA_A5_F50_I1_R1,HEXA_A6_F50_I1_R1,HEXA_A7_F50_I1_R1,IBUA_A1_F50_I1_R1,IBUA_A2_F50_I1_R1,IBUA_A3_F50_I2_R1,IBUA_A4_F50_I1_R1,IBUA_A5_F50_I1_R1,IBUA_A6_F50_I1_R1,IBUA_A7_F50_I1_R1,IBUA_A8_F50_I1_R1,BUT_A1_F50_I1_R1,BUT_A2_F50_I1_R1,BUT_A3_F50_I1_R1,BUT_A4_F50_I1_R1,BUT_A5_F50_I1_R1,BUT_A6_F50_I1_R1,BUT_A7_F50_I1_R1,BUT_A8_F50_I1_R1,OCTA_A1_F50_I1_R1,OCTA_A2_F50_I1_R1,OCTA_A3_F50_I1_R1,OCTA_A4_F50_I1_R1,OCTA_A6_F50_I1_R1,OCTA_A7_F50_I1_R1,PUTR_A1_F50_I1_R1,PUTR_A2_F50_I1_R1,PUTR_A3_F50_I1_R1,PUTR_A4_F50_I1_R1,PUTR_A5_F50_I1_R1,PUTR_A6_F50_I1_R1,PUTR_A7_F50_I1_R1,NaCl_A1_F82_I1_R1,NaCl_A2_F82_I1_R1,NaCl_A3_F82_I1_R1,NaCl_A4_F82_I1_R1,NaCl_A5_F82_I1_R1,NaCl_A6_F85_I1_R1,GLUC_A3_F412_I1_R1,GLUC_A4_F403_I1_R1,GLUC_A5_F150_I1_R1,GLUC_A6_F406_I1_R1,GLUC_A7_F88_I1_R1,GLUC_A8_F380_I1_R1,GLUC_A9_F433_I1_R1,GLUC_A10_F418_I1_R1
thrA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insB1-insA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,1,1,1
rpsT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leuA-leuL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilvH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murG-murC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
rrlH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mltD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
