Gene,Function
barA,Stress signaling
cspC,Stress signaling
gudD,Metabolism
kgtP,Transport
manY,Transport
marC,Membrane components
mdtK,Transport
metJ,Metabolism
mprA,Transport
nadR,Metabolism
nagA,Membrane components
nagC,Membrane components
nanK,Membrane components
proV,Transport
pstS,Transport
purT,Metabolism
pyrE,Metabolism
relA,Stress signaling
rho,Tc/Tl machineries
rlmD,Tc/Tl machineries
rnb,Tc/Tl machineries
rnt,Tc/Tl machineries
rob,Stress signaling
rpoA,Tc/Tl machineries
rpoC,Tc/Tl machineries
rpsA,Tc/Tl machineries
sapB,Transport
spoT,Stress signaling
sspA,Stress signaling
ybjL,Transport
yobF,Stress signaling
pykF,Metabolism
yeaR,Unknown
hns,Tc/Tl machineries
rpoB,Tc/Tl machineries
mreB,Membrane components
