Gene,A1 F0 I1 R1,A1 F82 I1 R1,A2 F82 I1 R1,A3 F82 I1 R1,A4 F82 I1 R1,A5 F82 I1 R1,A6 F85 I1 R1
nagC,,1,1,,1,1,
nagA,,,,,1,,
mprA,,1,,,,1,
yobF,,,1,1,1,,
proV,,1,,,1,1,
